"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Todd Frazier","PIT","13","40","0","3","4","0","7.5%","15.0%",".029",".103",".086",".200",".114",".163",".261","-2","0.4","-4.8","-0.3","-0.4","785"
"Austin Romine","CHC","28","62","1","5","5","0","3.2%","35.5%",".083",".324",".217",".242",".300",".237",".184","44","-1.3","-5.8","-0.1","-0.4","5491"
"Wilson Ramos","- - -","44","163","8","15","20","0","5.5%","22.1%",".192",".213",".205",".248",".397",".275",".304","72","-1.3","-6.9","-2.5","-0.4","1433"
"Kurt Suzuki","LAA","72","247","6","17","16","0","4.9%","17.8%",".119",".250",".224",".294",".342",".282",".263","76","-1.9","-9.1","-3.1","-0.4","8259"
"Jonathan Davis","- - -","64","103","1","20","4","4","11.7%","25.2%",".046",".164",".126",".252",".172",".210",".284","25","0.3","-9.1","1.8","-0.4","15104"
"Gerardo Parra","WSN","53","107","2","13","10","1","5.6%","28.0%",".113",".318",".237",".292",".351",".282",".253","73","-1.4","-5.1","-2.4","-0.4","8553"
"Rio Ruiz","- - -","62","141","3","11","10","2","8.5%","27.0%",".104",".209",".168",".243",".272",".231",".250","37","0.0","-11.0","2.2","-0.4","14103"
"Luke Raley","LAD","33","72","2","5","4","0","2.8%","34.7%",".106",".256",".182",".250",".288",".236",".298","47","0.1","-4.8","-1.6","-0.4","19354"
"Vimael Machin","OAK","15","37","0","1","1","0","8.1%","27.0%",".000",".182",".125",".200",".125",".160",".191","-2","-0.5","-5.1","-0.3","-0.4","17684"
"Sam Haggerty","SEA","35","94","2","15","5","5","6.4%","29.8%",".105",".250",".186",".247",".291",".240",".285","53","0.0","-5.4","-2.0","-0.4","18054"
"Scott Schebler","LAA","14","34","0","3","0","0","0.0%","50.0%",".088",".294",".147",".147",".235",".161",".158","-5","0.7","-3.7","-1.7","-0.4","12225"
"Mike Moustakas","CIN","62","206","6","21","22","0","8.7%","22.3%",".164",".239",".208",".282",".372",".284",".276","70","-0.4","-8.2","-2.9","-0.4","4892"
"John Nogowski","- - -","52","143","1","14","14","0","8.4%","15.4%",".078",".271",".233",".301",".310",".273",".279","70","-1.8","-7.3","-1.8","-0.4","16852"
"Luis Rengifo","LAA","54","190","6","22","18","1","4.7%","20.0%",".109",".220",".201",".246",".310",".244",".293","50","1.1","-10.5","-0.4","-0.4","19858"
"Drew Ellis","ARI","28","83","1","10","5","0","12.0%","32.5%",".072",".195",".130",".277",".203",".230",".229","39","-0.1","-6.5","-0.7","-0.5","19873"
"Alex Jackson","- - -","52","151","3","13","12","0","8.6%","48.3%",".099",".273",".137",".252",".237",".227",".222","41","-0.2","-11.5","2.0","-0.5","17276"
"Richie Martin","BAL","37","105","1","9","8","0","3.8%","26.7%",".051",".314",".235",".269",".286",".246",".238","51","-1.7","-8.1","-0.1","-0.5","17736"
"Vidal Brujan","TBR","10","26","0","3","2","1","0.0%","30.8%",".000",".111",".077",".077",".077",".068",".172","-63","0.6","-4.6","-1.0","-0.5","20536"
"Andrelton Simmons","MIN","131","451","3","37","31","1","7.1%","13.7%",".051",".256",".223",".283",".274",".252",".261","56","-1.5","-25.5","5.5","-0.5","10847"
"Zach McKinstry","LAD","60","172","7","19","29","1","5.8%","29.1%",".190",".262",".215",".263",".405",".282",".273","77","-0.5","-5.5","-5.0","-0.5","19392"
"Kean Wong","LAA","32","66","0","3","6","0","3.0%","25.8%",".067",".233",".167",".194",".233",".187",".250","12","-0.2","-7.3","0.1","-0.5","15994"
"Kevan Smith","- - -","33","106","0","8","3","0","9.4%","29.2%",".032",".250",".168",".248",".200",".196",".217","17","-0.1","-11.3","2.9","-0.5","12284"
"Skye Bolt","- - -","34","60","1","5","4","2","1.7%","25.0%",".070",".098",".088",".103",".158",".113",".204","-33","0.8","-9.0","1.9","-0.5","17723"
"Dominic Smith","NYM","145","493","11","43","58","2","6.5%","22.7%",".119",".298",".244",".304",".363",".291",".324","86","-4.0","-12.7","-8.6","-0.5","15653"
"Shogo Akiyama","CIN","88","183","0","16","12","2","7.7%","21.9%",".049",".268",".204",".282",".253",".243",".277","44","1.0","-12.0","0.8","-0.5","27461"
"Phillip Evans","PIT","76","247","5","23","16","1","11.3%","21.5%",".093",".250",".206",".312",".299",".278",".312","73","0.0","-8.6","-4.7","-0.5","12950"
"Shed Long Jr.","SEA","34","121","4","13","17","1","7.4%","32.2%",".162",".265",".198",".258",".360",".268",".261","72","-1.1","-5.2","-4.1","-0.5","16542"
"Victor Robles","WSN","107","369","2","37","19","8","8.9%","23.0%",".092",".271",".203",".310",".295",".274",".288","67","-3.4","-18.7","1.2","-0.5","18363"
"Edwin Rios","LAD","25","60","1","4","1","0","11.7%","30.0%",".059",".094",".078",".217",".137",".182",".256","12","-0.2","-6.9","-0.4","-0.5","18316"
"Josh VanMeter","ARI","112","310","6","26","36","3","10.6%","26.8%",".142",".278",".212",".297",".354",".287",".275","75","-1.5","-11.2","-4.4","-0.5","15170"
"Nomar Mazara","DET","50","181","3","12","19","0","8.3%","24.9%",".109",".271",".212",".276",".321",".264",".272","64","0.1","-7.9","-3.7","-0.5","14553"
"Jarren Duran","BOS","33","112","2","17","10","2","3.6%","35.7%",".121",".318",".215",".241",".336",".247",".246","49","0.6","-6.4","-2.8","-0.5","24617"
"Josh Naylor","CLE","69","250","7","28","21","1","5.6%","18.0%",".146",".287",".253",".301",".399",".302",".308","90","-1.4","-4.4","-9.6","-0.6","18839"
"Willie Calhoun","TEX","75","284","6","26","25","0","7.4%","12.0%",".131",".267",".250",".310",".381",".301",".323","91","-4.0","-7.2","-8.0","-0.6","17838"
