pick,round,player,team,position
13,19,Ji-Hwan Bae,PIT,SS
14,19,Frank Mozzicato,KC,SP
15,19,Yiddi Cappe,MIA,SS
1,20,Brailyn Marquez,CHC,SP
2,20,Otto Lopez,TOR,2B
3,20,Luis Rodriguez,LAD,CF
4,20,Michael Massey,KC,2B
5,20,Freddy Zamora,MIL,SS
6,20,Allan Cerda,CIN,CF
7,20,Christian Franklin,CHC,CF
8,20,Kameron Misner,TB,LF
9,20,Samad Taylor,TOR,2B
10,20,Brenton Doyle,COL,CF
11,20,Maikol Hernandez,BAL,SS
12,20,Leonardo Jimenez,TOR,SS
13,20,Carmen Mlodzinski,PIT,P
14,20,Miguel Amaya,CHC,C
15,20,Joey Estes,ATL,P
1,21,Joe Gray,MIL,CF
2,21,Endy Rodriguez,PIT,C
3,21,Jordan Wicks,CHC,SP
4,21,Louie Varland,MIN,SP
5,21,Kala'i Rosario,MIN,OF
6,21,Bubba Thompson,TEX,CF
7,21,Josh Mears,SD,RF
8,21,Dax Fulton,MIA,P
9,21,Ryan Cusick,ATL,SP
10,21,Clarke Schmidt,NYY,RP
11,21,Edouard Julien,MIN,2B
12,21,Euribiel Angeles,SD,2B
13,21,Alexander Suarez,SF,CF
14,21,Spencer Henson,NYY,1B
15,21,Ruben Cardenas,TB,LF
1,22,Bryce Elder,ATL,P
2,22,Hudson Head,PIT,CF
3,22,Brendan McKay,TB,SP
4,22,Norge Vera,CHW,SP
5,22,Hayden Wesneski,NYY,P
6,22,Ryan Murphy,SF,P
7,22,Ismael Mena,CHC,CF
8,22,Bubba Chandler,PIT,SP
9,22,Colin Barber,HOU,CF
10,22,Glenn Otto,TEX,SP
11,22,Ryne Nelson,ARI,P
12,22,Jackson Chourio,MIL,SS
13,22,Tanner Burns,CLE,P
14,22,Ken Waldichuk,NYY,P
15,22,Daylen Lile,WSH,CF
1,23,Korey Lee,HOU,C
2,23,Eddy Beltre,SD,RF
3,23,Bo Naylor,CLE,C
4,23,Denzel Clarke,OAK,CF
5,23,Ky Bush,LAA,SP
6,23,Ivan Herrera,STL,C
7,23,Jordan Nwogu,CHC,OF
8,23,Junior Caminero,TB,SS
9,23,Kody Hoese,LAD,3B
10,23,Jake Burger,CHW,3B
11,23,Tommy Romero,TB,SP
12,23,J.P. Sears,NYY,SP
13,23,Canaan Smith-Njigba,PIT,LF
14,23,Tekoah Roby,TEX,P
15,23,Ricky Vanasco,TEX,SP
1,24,Brendan Donovan,STL,3B
2,24,Oscar Gonzalez,CLE,LF
3,24,Mike Baumann,BAL,RP
4,24,Yasel Antuna,WSH,SS
5,24,Jonathan Bowlan,KC,SP
6,24,Jhailyn Ortiz,PHI,RF
7,24,Cade Marlowe,SEA,LF
8,24,Eguy Rosario,SD,3B
9,24,Andre Jackson,LAD,SP
10,24,Jackson Rutledge,WSH,SP
11,24,Seth Johnson,TB,SP
12,24,Tobias Myers,CLE,SP
13,24,Rayne Doncon,LAD,SS
14,24,Tsung-Che Cheng,(N/A),2B
15,24,Sandy Gaston,TB,SP
1,25,Gavin Stone,LAD,P
2,25,Miguel Yajure,PIT,RP
3,25,Nick Allen,OAK,SS
4,25,Joel Diaz,NYM,RP
5,25,Konnor Pilkington,CLE,SP
6,25,Anthony Solometo,PIT,SP
7,25,Aaron Bracho,CLE,2B
8,25,Tucker Bradley,KC,LF
9,25,Tyler Callihan,CIN,2B
10,25,Alexander Vargas,NYY,SS
11,25,Jared Jones,PIT,P
12,25,Maddux Bruns,LAD,SP
13,25,Mason Martin,PIT,CF
14,25,Darryl Collins,KC,CF
15,25,Ryan Bliss,ARI,SS
1,26,Levi Stoudt,SEA,P
2,26,Daulton Jefferies,OAK,RP
3,26,Peyton Wilson,KC,2B
4,26,Emmanuel Rodriguez,MIN,LF
5,26,Jose Butto,NYM,SP
6,26,Jake McCarthy,ARI,RF
7,26,Jake Vogel,LAD,LF
8,26,Ryan Kreidler,DET,SS
9,26,Nick Swiney,SF,P
10,26,Trevor Hauver,TEX,2B
11,26,Peter Heubeck,LAD,RP
12,26,Freddy Tarnok,ATL,SP
13,26,Kaden Polcovich,SEA,2B
14,26,Joe Mack,MIA,C
15,26,Maikol Escotto,PIT,SS
1,27,Bryan Lavastida,CLE,C
2,27,Leonardo Balcazar,CIN,SS
3,27,Kyle Manzardo,TB,1B
4,27,Alberto Rodriguez,SEA,RF
5,27,Alex Santos,HOU,SP
6,27,Matt Vierling,PHI,LF
7,27,Dillon Dingler,DET,C
8,27,Brandon Pfaadt,ARI,P
9,27,Corbin Martin,ARI,RP
10,27,Alex De Jesus,LAD,2B
11,27,Doug Nikhazy,CLE,SP
12,27,Buddy Kennedy,ARI,3B
13,27,George Feliz,SEA,CF
14,27,Eddinson Paulino,BOS,2B
15,27,Yosy Galan,TEX,RF
1,28,Hyun-il Choi,LAD,RP
2,28,Alexander Mojica,PIT,3B
3,28,Brent Honeywell Jr.,OAK,RP
4,28,Yolbert Sanchez,CHW,SS
5,28,Robert Gasser,SD,SP
6,28,Kevin Smith,TOR,SS
7,28,Jared Kelley,CHW,P
8,28,Warming Bernabel,COL,SS
9,28,Hans Crouse,PHI,SP
10,28,David Hamilton,BOS,SS
11,28,Michael Burrows,PIT,P
12,28,Elijah Dunham,NYY,LF
13,28,Alexeis Azuaje,PHI,2B
14,28,Shawn Dubin,HOU,SP
15,28,Ben Hernandez,KC,P
1,29,Jhostynxon Garcia,BOS,LF
2,29,Misael Urbina,MIN,CF
3,29,Bryan Mata,BOS,SP
4,29,Chris Vallimont,MIN,SP
5,29,Ismael Munguia,SF,LF
6,29,T.J. White,WSH,LF
7,29,Kyle Hurt,LAD,SP
8,29,Alec Marsh,KC,SP
9,29,Seth Corry,SF,SP
10,29,Jeremiah Jackson,LAA,SS
11,29,Dominic Hamel,NYM,SP
12,29,Mishael Deson,BAL,CF
13,29,Corey Rosier,SD,CF
14,29,Jacob Lopez,TB,SP
15,29,J.C. Correa,HOU,SS
1,30,Drew Rom,BAL,P
2,30,Brayan Buelvas,OAK,CF
3,30,Yusniel Diaz,BAL,CF
4,30,Spencer Horwitz,TOR,LF
5,30,Jose Torres,CIN,SS
6,30,Lawrence Butler,OAK,LF
7,30,Gage Workman,DET,3B
8,30,Jesse Franklin,ATL,OF
9,30,Ryan Rolison,COL,SP
10,30,Tucker Davidson,ATL,SP
11,30,Wilkelman Gonzalez,BOS,SP
12,30,Esmerlyn Valdez,PIT,CF
13,30,Roberto Campos,DET,RF
14,30,Brandon Walter,BOS,SP
15,30,Shay Whitcomb,HOU,SS
