Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"COL-H-7","",,"Michael Curialle","SS","21.0","6' 3""","198","R","R","UCLA","","35+","","","",
"COL-H-8","",,"Chandler Freeman","3B","21.7","6' 0""","190","R","R","Dallas Baptist","","35+","","","",
"COL-H-9","",,"Nathaniel LaRue","C/RHP","20.9","6' 3""","205","R","R","Auburn","","35+","","","",
"COL-H-10","",,"Jonathan French","C","21.6","5' 11""","210","R","R","Clemson","","35+","","","",
"COL-H-11","",,"Tucker Flint","LF","21.2","6' 2""","202","L","L","Maryland","","35","","","",
"COL-H-12","",,"Brock Jones","LF","21.2","6' 1""","185","L","L","Stanford","","35","","","",
"COL-H-13","",,"Cesar Valero","SS","20.6","6' 2""","185","R","R","Oregon State","","35","","","",
"COL-H-14","",,"Blaine McIntosh","CF","21.0","6' 4""","175","L","L","Vanderbilt","","35","","","",
"COL-H-15","",,"Jaden Brown","CF","20.6","6' 1""","186","R","R","Kentucky","","35","","","",
"COL-H-16","",,"Nathan Stevens","C","21.5","6' 0""","200","L","R","Arkansas","","35","","","",
"COL-H-17","",,"John Rhys Plumlee","CF","21.4","6' 0""","185","R","R","Georgia","","35","","","",
"COL-H-18","",,"Chad Knight","C","21.5","6' 0""","205","R","R","Duke","","35","","","",
"COL-H-19","",,"Ethan Vecrumba","CF","21.8","6' 4""","200","L","R","Indiana","","35","","","",
"COL-H-20","",,"Bobby Zmarzlak","RF","21.5","6' 5""","205","R","R","Maryland","","35","","","",
"COL-H-21","",,"Jordan Beck","LF","21.1","6' 4""","205","R","R","Tennessee","","35","","","",
"COL-H-22","",,"Nate Rombach","C","21.5","6' 3""","210","R","R","Texas Tech","","35","","","",
"COL-H-23","",,"Austin Plante","1B","21.3","6' 4""","215","L","L","TCU","","35","","","",
"COL-H-24","",,"Hylan Hall","RF","21.4","6' 2""","190","R","R","Miami","","35","","","",
"COL-H-25","",,"Armani Sanchez","SS","21.3","6' 2""","170","R","R","Oklahoma","","35","","","",
"COL-H-26","",,"Darius Perry","C","21.1","6' 2""","210","R","R","UCLA","","35","","","",
"COL-H-27","",,"Hayden Travinski","C","21.6","6' 3""","235","R","R","LSU","","35","","","",
"COL-H-28","",,"Mason Auer","CF/RHP","21.3","6' 1""","185","R","R","Missouri State","","35","","","",
"COL-H-29","",,"Michael Dixon","CF","21.1","6' 0""","190","R","R","San Diego","","35","","","",
