Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"COL-P-15",,,"Wyatt Olds","RHP","21.8361111","6' 0""","166","R","R","Oklahoma",,"35",,,,
"COL-P-16",,,"Daniel Paret","LHP","21.6916666","6' 3""","210","L","L","Stetson",,"35",,,,
"COL-P-17",,,"Camden Sewell","RHP","21.4333333","6' 5""","185","L","R","Tennessee",,"35",,,,
"COL-P-18",,,"Tyler Thornton","RHP","20.9111111","6' 3""","180","L","R","Arizona State",,"35",,,,
"COL-P-19",,,"Joe Rock","LHP","20.8527777","6' 5""","180","L","L","Ohio",,"35",,,,
"COL-P-20",,,"Rodney Boone","LHP","21.1583333","6' 2""","175","L","L","UC Santa Barbara",,"35",,,,
"COL-P-21",,,"Will Bednar","RHP","20.9805555","6' 2""","215","R","R","Mississippi State",,"35",,,,
"COL-P-22",,,"Jonathan Childress","LHP","21.3722222","6' 4""","215","L","L","Texas A&M",,"35",,,,
"COL-P-23",,,"Trae Robertson","LHP","21.5722222","6' 5""","190","L","L","Missouri",,"35",,,,
"COL-P-24",,,"Daniel Lloyd","RHP","20.8277777","6' 3""","218","R","R","South Carolina",,"35",,,,
"COL-P-25",,,"Richard Fitts","RHP","21.4694444","6' 3""","185","R","R","Auburn",,"35",,,,
"COL-P-26",,,"Cooper Stinson","RHP","21.8","6' 6""","245","R","R","Duke",,"35",,,,
"COL-P-27",,,"Alec Baker","RHP","21.5055555","6' 3""","190","R","R","Dallas Baptist",,"35",,,,
"COL-P-28",,,"Tyler Ras","RHP","21.575","6' 4""","200","S","R","Alabama",,"35",,,,
"COL-P-29",,,"Jesse Bergin","RHP","21.6611111","6' 4""","195","R","R","UCLA",,"35",,,,
"COL-P-30",,,"Seth Tomczak","RHP","20.9166666","6' 4""","180","L","R","Arizona State",,"35",,,,
"COL-P-31",,,"Marcelo Perez","RHP","21.5555555","5' 10""","175","R","R","TCU",,"35",,,,
"COL-P-32",,,"Blake Burzell","RHP","21.5916666","6' 6""","210","R","R","Arizona State",,"35",,,,
"COL-P-33",,,"Mack Anglin","RHP","20.9194444","6' 5""","185","R","R","Clemson",,"35",,,,
"COL-P-34",,,"K.C. Hunt","RHP","20.8944444","6' 3""","177","L","R","Mississippi State",,"35",,,,
"COL-P-35",,,"Jeff Massey","RHP","21.1805555","6' 5""","170","R","R","Minnesota",,"35",,,,
"COL-P-36",,,"Seth Halvorsen","RHP/SS","21.3","6' 1""","198","R","R","Missouri",,"35",,,,
"COL-P-37",,,"Billy Seidl","RHP","21.575","6' 0""","187","R","R","Duke",,"35",,,,
"COL-P-38",,,"Ryan Bergert","RHP","21.2444444","6' 2""","195","R","R","West Virginia",,"35",,,,
"COL-P-39",,,"Connor Shamblin","RHP","21.8166666","6' 1""","195","R","R","Alabama",,"35",,,,
"COL-P-40",,,"Cort Roedig","RHP","21.6833333","6' 2""","195","R","R","Georgia Tech",,"35",,,,
"COL-P-41",,,"Mason Ronan","LHP","21.2583333","6' 2""","210","L","L","Pittsburgh",,"35",,,,
"COL-P-42",,,"Max Rippl","RHP","20.9944444","6' 1""","185","R","R","Kent State",,"35",,,,
"COL-P-43",,,"Garrett Wade","LHP","21.8472222","6' 2""","180","L","L","Auburn",,"35",,,"LkJNq_6kTNw",
"COL-P-44",,,"J.P. Gates","LHP/1B","21.5055555","6' 1""","210","L","L","Miami",,"35",,,,
"COL-P-45",,,"Angel Tiburcio","RHP/1B","21.0083333","6' 2""","235","R","R","Florida International",,"35",,,,
"COL-P-46",,,"Dawson Merryman","RHP","21.4944444","6' 1""","215","L","R","Texas",,"35",,,,
"COL-P-47",,,"Stephen Restuccio","RHP","20.9444444","6' 2""","190","R","R","Virginia Tech",,"35",,,,
"COL-P-48",,,"Kyle Luckham","RHP","21.6805555","6' 2""","185","L","R","Fullerton",,"35",,,,
"COL-P-49",,,"Elijah Pleasants","RHP","21.0888888","6' 5""","180","R","R","Tennessee",,"35",,,,
"COL-P-50",,,"Sean Mullen","RHP","21.7166666","6' 2""","185","R","R","UCLA",,"35",,,,
"COL-P-51",,,"Ian Villers","RHP","20.7638888","6' 5""","235","R","R","Cal",,"35",,,,
"COL-P-52",,,"Chance Huff","RHP","21.1305555","6' 4""","210","R","R","Vanderbilt",,"35",,,,
"COL-P-53",,,"Austin Smith","RHP","21.9555555","6' 4""","190","R","R","Southwestern",,"35",,,,
"COL-P-54",,,"Davis Heller","RHP","20.8666666","6' 8""","220","R","R","Oklahoma",,"35",,,,
"COL-P-55",,,"Jack Filby","RHP","21.6027777","6' 0""","180","L","R","UCLA",,"35",,,,
"COL-P-56",,,"Andre Duplantier","RHP","20.8694444","6' 2""","195","R","R","Texas",,"35",,,,
"COL-P-57",,,"Nolan Lepkoske","RHP","21.7638888","6' 5""","240","R","R","UCF",,"35",,,,
"COL-P-58",,,"Ben Harris","LHP","21.2888888","6' 1""","190","L","L","Georgia",,"35",,,,
"COL-P-59",,,"Connor McCullough","RHP","21.6694444","6' 0""","190","R","R","Kansas State",,"35",,,,
"COL-P-60",,,"Ryan Cardona","RHP","21.0805555","6' 0""","170","R","R","Marist",,"35",,,,
"COL-P-61",,,"Davis Palermo","RHP","21.4722222","6' 3""","195","R","R","North Carolina",,"35",,,,
"COL-H-1",,,"Randon Jernigan","CF","21.6027777","6' 0""","179","R","R","Georgia",,"35",,,,
"COL-H-2",,,"Jared Poland","3B/RHP","21.4","6' 0""","190","R","R","Louisville",,"35",,,,
"COL-H-3",,,"Tony Bullard","3B/RHP","21.3027777","6' 4""","194","R","R","Arizona",,"35",,,,
"COL-H-4",,,"Christian Franklin","LF","21.5166666","5' 11""","180","R","R","Arkansas",,"35",,,,
"COL-H-5",,,"Cody Morissette","2B","21.3888888","6' 0""","175","L","R","Boston College",,"35",,,,
"COL-H-6",,,"Jacob Campbell","C","21.0416666","6' 0""","205","R","R","Illinois",,"35",,,,
"COL-H-7",,,"Spencer Schwellenbach","SS","21.0166666","6' 0""","185","R","R","Nebraska",,"35",,,,
"COL-H-8",,,"Porter Brown","LF","20.8305555","5' 11""","190","L","L","TCU",,"35",,,,
"COL-H-9",,,"Zack Gelof","3B","21.6305555","6' 3""","180","R","R","Virginia",,"35",,,,
"COL-H-10",,,"Dakota Kotowski","RF","21.1944444","6' 4""","230","R","R","Missouri State",,"35",,,,
"COL-H-11",,,"Emanuel Dean","RF","20.9777777","6' 3""","210","R","R","UCLA",,"35",,,,
"COL-H-12",,,"Joshua Hood","SS","20.875","6' 1""","185","R","R","Penn",,"35",,,,
"COL-H-13",,,"J.T. Schwartz","3B","21.4694444","6' 4""","200","L","R","UCLA",,"35",,,,
"COL-H-14",,,"Ryan Holgate","RF","20.9944444","6' 1""","213","L","L","Arizona",,"35",,,,
"COL-H-15",,,"Ryan Bliss","2B","21.4805555","5' 9""","165","R","R","Auburn",,"35",,,,
"COL-H-16",,,"Cade Beloso","1B","20.9361111","6' 0""","227","L","L","LSU",,"35",,,,
"COL-H-17",,,"Wes Clarke","C","21.6472222","6' 3""","200","R","R","South Carolina",,"35",,,,
"COL-H-18",,,"Giovanni DiGiacomo","LF","21.05","6' 1""","175","L","L","LSU",,"35",,,,
"COL-H-19",,,"Tim Borden","SS","21.7638888","6' 2""","190","R","R","Louisville",,"35",,,,
"COL-H-20",,,"Mark Coley","CF","20.5388888","6' 0""","170","R","R","Rhode Island",,"35",,,,
"COL-H-21",,,"Trevon Flowers","CF","21.4777777","6' 1""","180","R","R","Tennessee",,"35",,,,
