last,first,skls,age,organization,position,fg_id,pl,p365,bp,ba,pl_fypd,info,carded,19 WAR,20 WAR,notes,j2_year,rank,adp,interest,pl_fv,pl_lv,fg_fv,draft_year,card?,kl_mid,pl_mid,mlb_mid,fg_100_stash,ba_mid
Burdick,Peyton,,22,MIA,OF,sa3009876,,,,,48,low,,,,"Great college, CCL, pro debut",,,,x,50,40,45.0,2019,,,,,,
Busch,Michael,,21,LAD,IF,sa3011540,,132,*,*,19,med,,,,"Playing 2B now, power and patience.",,,,,,,,,,,,,,
Cabrera,Edward,87,21,MIA,P,sa920423,68,79,*,68,,high,,,,"Huge stuff, highly regarded",,,,x,55,50,50.0,,,,,,,90
Callihan,Tyler,,19,CIN,IF,,,,,,34,low,,,,,,,,,,,,,,,,,,
Campos,Roberto,,16,DET,OF,,,,,,80,low,,,,Mysterious but might be good?,,,,,,,,,,,,,,
Campusano,Luis,50,20,SDP,C,sa3004041,83,110,*,79,,high,,,,"Magnificent performance, good body, good org",,,,xx,60,50,,,,,,,,
Canario,Alexander,,19,SFG,OF,,,128,80,,,med,,,,,,,,,,,,,,,,,,
Cantillo,Joey,,19,SDP,P,sa3005246,,173,,,,low,,,,"Big guy, pitching well.",,,,,50,45,,,,,,,,
Castro,Rodolfo,,20,PIT,IF,sa917362,,170,,,,low,,,,,,,,,,,,,,,,,,
Cavaco,Keoni,,17,MIN,IF,sa3010706,,165,*,,29,med,,,,"Highly regarded 1st rounder; good bat, very young, can play ss.",,,,,55,40,45.0,2019,,,81,,77,
Contreras,Roansy,,19,NYY,P,sa3003020,,176,,*,,med,,,,"Good performance, good system for arms",,,,,,,,,,,,,,
Crowe,Wil,,25,WAS,P,sa738488,,,,*,,med,,,,,,,,,,,45.0,,,,,,,
Diaz,Jhon,,16,TBR,OF,,,,,,58,low,,,,,,,,,,,,,,,,,,
Diaz,Eddy,,19,COL,IF,sa3004979,,,,,,low,,,,,,,,,,,40.0,,,,,,,
Duran,Jhoan,,21,MIN,P,sa873347,,93,*,96,,med,,,,"Huge stuff, highly regarded",,,,x,55,50,50.0,,,,,,,
Duran,Eziquel,,20,NYY,IF,,,167,,,,low,,,,,,,,,,,,,,,,,,
Escotto,Maikol,,17,NYY,IF,sa3008878,,,,,,low,,,,,2018,,,,,,,,,,,,,
Fraley,Jake,,24,SEA,OF,19260,,,,,,med,,,,,,,,,55,45,,,,,,,,
Frias,Luis,,21,ARI,P,sa917588,,175,,*,,med,,,,"Big 'ol fastball and slider, no idea where it goes",,,,,60,45,40.0,,,,,,,
Frisbee,Matt,,22,SFG,P,sa3006801,,,,,,low,,,,"Big body, college",,,,,,,35.5,,,,,,,
Garcia,Jose,,21,CIN,IF,sa3005385,100,96,*,,,low,,,,"Great year, tough league, many tools",,,,xx,60,55,,,,,,,,
Garcia,Eduardo,,17,MIL,IF,sa3008751,,,,,,low,,,,,2018,,,,50,40,,,,,,,,
Gil,Luis,,21,NYY,P,sa877821,,,,,,low,,,,"Huge stuff, highly regarded",,,,x,,,,,,,,,,
Ginkel,Kevin,,25,ARI,P,19876,,,,,,med,x,0.5,0.5,,,,,x,,,,,,,,,,
Gonsolin,Tony,,25,LAD,P,19388,,72,*,82,,high,x,0.6,0.2,6.9 RAAT,,,,,,,,,,,,,,
Gray,Josiah,,21,LAD,P,sa3007475,71,109,76,84,,high,,,,"Huge stuff, highly regarded",,,,x,,,,,,,,,,
Grisham,Trent,,23,SDP,OF,18564,,,,,,high,x,0.6,1.6,,,,,,,,,,,,,,,
Head,Hudson,,18,SDP,OF,,,151,,,17,med,,,,,,,,,,,,,,,,,,
Henderson,Gunnar,,18,BAL,IF,,,,,,31,low,,,,,,,,,,,,,,,,,,
Hernandez,Heriberto,,19,TEX,Of,,,,*,,,med,,,,,,,,,,,,,,,,,,
Herrera,Ivan,,19,STL,C,sa3003191,,,,*,,med,,,,"Young, switch hitter, strong hit tool and power, plays defense",,,,x,55,50,,,,,,,,
Hiraldo,Miguel,,18,TOR,IF,sa3005486,,,*,,,low,,,,"Hit tool, some defense, some speed",2017,,,,50,45,,,,,,,,
Hjelle,Sean,,22,SFG,P,sa3007989,,,,,,low,,,,"Big body, college",,,,,,,40.5,,,,,,,
Hoese,Kody,,21,LAD,IF,sa3010021,,140,*,*,14,med,,,,,,,,,,,,,,,,,,
Huff,Sam,93,21,TEX,C,sa918046,,,,99,,high,,,,"Big split, hit well, but mixed reviews at best",,,,,,,,,,,,79,,
Ivey,Tyler,,23,HOU,P,sa3004574,,,,,,low,,,,"Big body, college, pitches in 2020",,,,,,,,,,,,,,
Jefferies,Daulton,,24,OAK,P,sa738964,,,,,,low,,,,"Good perf, meh stuff, very old, injury history",,,,,,,,,,,,,,
Jimenez,Gilberto,,19,BOS,OF,sa3005507,,102,*,*,,high,,,,Everyone is hot on this guy for some reason,,,,,55,45,45.0,,,,,,,
Jones,Greg,85,21,TBY,IF,sa3010151,99,117,70,,9,high,,,,"Remarkable tools, good organziation for bat development.",,,,,,,,2019,,,77,,,
Kelly,Levi,,20,ARI,P,sa3008500,,,,,,low,,,,Big bodied starter,,,,,50,40,40.5,,,,,,,
Kim,Kwang-hyun,,31,STL,P,,,,,,,low,,,2.5,,,,,xx,,,,,,,,,,
Kirby,George,71,21,SEA,P,sa3011526,80,103,*,*,15,low,,,,"Huge stuff, big body, great debut",,,,xx,60,50,,2019,,,,,,
Kirk,Alejandro,,20,TOR,C,sa3005337,,,,*,,low,,,,Thicc but maybe a DH if necessary?,,,,,45,40,,,,,,,,
Kloffenstein,Adam,,19,TOR,P,sa3008578,,,,*,,low,,,,,,,,,55,50,,,,,,,,
Kremer,Dean,,23,BAL,P,sa876350,,183,,,,low,,,0.8,"Big body, college, pitches in 2020",,,,,50,45,,,,,,,,
Lee,Korey,*,21,HOU,C,,,,,,72,low,,,,,,,,,,,,,,,,,,
Lindblom,Josh,,31,MIL,P,7882,,,,,,low,,,2.2,,,,,x,,,,,,,,,,
Lorenzo,Dauri,,16,HOU,IF,,,,,,55,low,,,,,,,,,,,,,,,,,,
