prospect_year,player_id,player_first_name,player_last_name,rank,position,preseason100,preseason20,team_file_code,thumb,thumb62x75,thumb124x150,photo180x218,photo360x436
2018,663586,Austin,Riley,43,3B,97,8,ATL,/assets/images/9/8/2/287298982/cuts/74x74/cut.jpg,/assets/images/9/8/2/287298982/cuts/62x75/cut.jpg,/assets/images/9/8/2/287298982/cuts/124x150/cut.jpg,/assets/images/9/8/2/287298982/cuts/180x218/cut.jpg,/assets/images/9/8/2/287298982/cuts/360x436/cut.jpg
2018,673357,Luis,Robert,44,OF,28,3,CWS,/assets/images/9/7/6/292696976/cuts/74x74/cut.jpg,/assets/images/9/7/6/292696976/cuts/62x75/cut.jpg,/assets/images/9/7/6/292696976/cuts/124x150/cut.jpg,/assets/images/9/7/6/292696976/cuts/180x218/cut.jpg,/assets/images/9/7/6/292696976/cuts/360x436/cut.jpg
2018,664314,Estevan,Florial,45,OF,44,2,NYY,/assets/images/1/8/4/271462184/cuts/74x74/cut.jpg,/assets/images/1/8/4/271462184/cuts/62x75/cut.jpg,/assets/images/1/8/4/271462184/cuts/124x150/cut.jpg,/assets/images/1/8/4/271462184/cuts/180x218/cut.jpg,/assets/images/1/8/4/271462184/cuts/360x436/cut.jpg
2018,670970,Adrian,Morejon,46,LHP,50,6,SD,/assets/images/5/2/2/280630522/cuts/74x74/cut.jpg,/assets/images/5/2/2/280630522/cuts/62x75/cut.jpg,/assets/images/5/2/2/280630522/cuts/124x150/cut.jpg,/assets/images/5/2/2/280630522/cuts/180x218/cut.jpg,/assets/images/5/2/2/280630522/cuts/360x436/cut.jpg
2018,669221,Sean,Murphy,47,C,,8,OAK,/assets/images/3/5/6/295473356/cuts/74x74/cut.JPG,/assets/images/3/5/6/295473356/cuts/62x75/cut.JPG,/assets/images/3/5/6/295473356/cuts/124x150/cut.JPG,/assets/images/3/5/6/295473356/cuts/180x218/cut.JPG,/assets/images/3/5/6/295473356/cuts/360x436/cut.JPG
2018,663647,Ke'Bryan,Hayes,48,3B,,4,PIT,/assets/images/7/3/4/276439734/cuts/74x74/cut.jpg,/assets/images/7/3/4/276439734/cuts/62x75/cut.jpg,/assets/images/7/3/4/276439734/cuts/124x150/cut.jpg,/assets/images/7/3/4/276439734/cuts/180x218/cut.jpg,/assets/images/7/3/4/276439734/cuts/360x436/cut.jpg
2018,663611,Nick,Madrigal,49,2B/SS,,,CWS,/assets/images/1/8/2/289611182/cuts/74x74/cut.jpg,/assets/images/1/8/2/289611182/cuts/62x75/cut.jpg,/assets/images/1/8/2/289611182/cuts/124x150/cut.jpg,/assets/images/1/8/2/289611182/cuts/180x218/cut.jpg,/assets/images/1/8/2/289611182/cuts/360x436/cut.jpg
2018,664761,Alec,Bohm,50,3B,,,PHI,/assets/images/5/7/8/287464578/cuts/74x74/cut.jpg,/assets/images/5/7/8/287464578/cuts/62x75/cut.jpg,/assets/images/5/7/8/287464578/cuts/124x150/cut.jpg,/assets/images/5/7/8/287464578/cuts/180x218/cut.jpg,/assets/images/5/7/8/287464578/cuts/360x436/cut.jpg
2018,663697,Jonathan,India,51,3B,,,CIN,/assets/images/2/8/4/287433284/cuts/74x74/cut.jpg,/assets/images/2/8/4/287433284/cuts/62x75/cut.jpg,/assets/images/2/8/4/287433284/cuts/124x150/cut.jpg,/assets/images/2/8/4/287433284/cuts/180x218/cut.jpg,/assets/images/2/8/4/287433284/cuts/360x436/cut.jpg
2018,666783,Yusniel,Diaz,52,OF,,5 - LAD,BAL,/assets/images/4/2/8/287311428/cuts/74x74/cut.jpg,/assets/images/4/2/8/287311428/cuts/62x75/cut.jpg,/assets/images/4/2/8/287311428/cuts/124x150/cut.jpg,/assets/images/4/2/8/287311428/cuts/180x218/cut.jpg,/assets/images/4/2/8/287311428/cuts/360x436/cut.jpg
