level,pos,G,H,R,-1,2B,3B,AB,BB,CS,HR,PA,SB,SO,AVG,BsR,Def,Fld,HBP,OBP,OPS,Off,RBI,SLG,WAR,Name,Team,wOBA,wRC+,playerid
A,IF-OF,32,25,12,,5,0,110,12,1,3,125,2,30,.228,0.1,0.1,-0.4,1,.308,.662,-3.0,12,.354,0.1,Ryan Flaherty,,.289,79,7888
B,OF,28,22,12,,4,0,98,8,1,3,110,3,30,.226,0.1,-0.7,0.1,2,.296,.652,-2.3,11,.355,0.1,Michael Hermosillo,Angels,.286,82,16285
B,C,8,6,3,,1,0,27,2,0,1,29,0,7,.217,0.0,0.5,-0.1,0,.276,.652,-0.9,3,.376,0.1,Kyle Higashioka,Yankees,.283,75,5517
B,IF-OF,10,10,4,,2,0,36,3,0,1,39,0,5,.268,0.0,-0.3,-0.4,0,.317,.704,-0.4,4,.387,0.1,Corban Joseph,Orioles,.307,92,5503
B,IF-OF,26,23,10,,5,0,93,6,1,2,102,2,25,.252,0.1,-0.5,-0.5,1,.305,.685,-1.5,10,.380,0.1,Kevin Kramer,Pirates,.298,87,17689
A,C,15,12,5,,2,0,52,5,0,1,58,0,14,.223,-0.1,1.1,-0.2,0,.298,.656,-1.7,6,.357,0.1,Jose Lobaton,,.287,78,4243
A,IF-OF,97,84,47,,14,2,366,32,1,20,405,3,128,.230,-0.1,-10.8,-0.6,2,.293,.735,-1.1,55,.442,0.1,Daniel Palka,White Sox,.313,98,14897
B,OF,8,7,4,,1,0,27,4,0,1,32,1,9,.250,0.0,-0.2,0.2,0,.342,.732,0.0,3,.390,0.1,Michael Reed,Twins,.322,100,13228
B,IF-OF,16,15,7,,3,0,62,3,1,2,67,1,16,.241,0.0,0.4,0.0,0,.283,.674,-1.4,7,.391,0.1,Jose Rondon,White Sox,.291,83,14140
B,C,8,7,3,,2,0,28,2,0,0,30,0,6,.250,0.0,0.6,0.0,0,.296,.655,-0.8,3,.359,0.1,Jacob Stallings,Pirates,.285,78,13723
A,C,30,25,10,,4,1,107,9,0,1,118,1,19,.234,-0.2,1.5,-1.0,1,.297,.618,-4.6,10,.321,0.1,Chris Stewart,,.274,69,3878
B,C,23,16,7,,4,0,80,7,0,2,90,0,27,.204,0.1,1.8,0.0,1,.276,.598,-3.5,8,.321,0.1,Chad Wallach,Marlins,.265,68,17161
A,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.248,0.0,0.0,0.0,0,.296,.671,0.0,0,.375,0.0,Jim Adduci,,.292,81,6448
B,IF,6,7,3,,1,0,25,1,0,0,26,0,3,.276,0.0,0.2,0.1,0,.303,.689,-0.7,3,.386,0.0,Hanser Alberto,Rangers,.298,79,11902
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.237,0.0,0.0,0.0,0,.311,.686,0.0,0,.375,0.0,Abraham Almonte,,.300,87,5486
V,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.234,0.0,0.0,0.0,0,.297,.731,0.0,0,.434,0.0,Pedro Alvarez,,.314,96,2495
B,OF,5,3,2,,1,0,17,2,0,0,19,1,6,.206,0.0,-0.1,-0.1,0,.295,.594,-0.6,2,.299,0.0,John Andreoli,Mariners,.268,71,13012
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.220,0.0,0.0,0.0,0,.277,.615,0.0,0,.338,0.0,Brandon Barnes,Indians,.270,63,629
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.213,0.0,0.0,0.0,0,.274,.566,-0.1,0,.292,0.0,Steven Baron,Cardinals,.253,57,9787
B,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.233,0.0,0.0,0.0,0,.280,.598,0.0,0,.318,0.0,Rafael Bautista,Astros,.264,67,15769
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.234,0.0,0.0,0.0,0,.297,.640,0.0,0,.343,0.0,Jon Berti,Blue Jays,.282,76,12037
A,OF,10,7,5,,1,0,33,5,0,2,39,1,14,.204,0.0,-0.8,-0.3,1,.307,.699,-0.2,5,.391,0.0,Jabari Blash,Angels,.307,95,11247
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.240,0.0,0.0,0.0,0,.296,.642,0.0,0,.346,0.0,Christopher Bostick,Marlins,.282,79,13718
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.236,0.0,0.0,0.0,0,.285,.662,0.0,0,.377,0.0,Peter Bourjos,Giants,.286,80,2578
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.235,0.0,0.0,0.0,0,.308,.656,0.0,0,.348,0.0,Dan Butler,Red Sox,.290,77,9968
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.253,0.0,0.0,0.0,0,.290,.627,0.0,0,.337,0.0,Daniel Castro,,.273,68,15450
