Rank,Top 100,Draft,Name,Pos,Age,Ht,Wt,Bats,Thr,School,College Commit,Athl,Frame,Perf,FV,Risk,Report,Video
"","",,"Joseph Charles","RHP","19.2","6' 3""","190","R","R","First Academy HS FL","North Carolina",0,0,0,"40","","",""
"","",,"Mack Anglin","RHP","18.9","6' 5""","185","R","R","Highland HS OH","Clemson",0,0,0,"40","","",""
"","",,"Hunter Bishop","RF","21.0","6' 5""","210","L","R","Arizona State","",0,0,0,"40","","",""
"","",,"Bryant Packard","LF","21.7","6' 3""","200","L","R","East Carolina","",0,0,0,"40","","",""
"","",,"Andrew Daschbach","RF","21.6","6' 3""","220","R","R","Stanford","",0,0,0,"40","","",""
"","",,"Cameron Cannon","3B","21.7","6' 7""","196","R","R","Arizona","",0,0,0,"40","","",""
"","",,"Spencer Brickhouse","RF","21.2","6' 4""","225","L","R","East Carolina","",0,0,0,"40","","",""
"","",,"Nick Lodolo","LHP","21.3","6' 6""","195","L","L","TCU","",0,0,0,"40","","",""
"","",,"Evan McKendry","RHP","21.3","6' 3""","210","R","R","Miami","",0,0,0,"40","","",""
"","",,"Ryan Garcia","RHP","21.4","6' 0""","180","R","R","UCLA","",0,0,0,"40","","",""
"","",,"Garrett Stallings","RHP","21.8","6' 2""","200","R","R","Tennessee","",0,0,0,"40","","",""
"","",,"Matt Cronin","LHP","21.7","6' 2""","197","L","L","Arkansas","",0,0,0,"40","","",""
