"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Dave Concepcion","Reds","1288","5112","47","512","505","120","8.1 %","12.0 %",".085",".294",".265",".323",".351",".304","86","2.1","-80.1","54.9","14.8","1002494"
"Jose Oquendo","- - -","1190","3737","14","339","254","35","12.0 %","10.1 %",".061",".284",".256",".346",".317",".303","88","-7.5","-61.4","82.2","14.7","1009827"
"Tim Teufel","- - -","1073","3563","86","415","379","23","10.9 %","14.9 %",".150",".279",".254",".336",".404",".331","106","-3.8","22.8","3.5","14.7","1012940"
"Kelly Gruber","- - -","939","3442","117","431","443","80","5.7 %","14.6 %",".173",".272",".259",".307",".432",".327","102","1.9","7.3","20.6","14.7","1005107"
"Glenn Hubbard","- - -","1310","4943","68","530","435","33","10.7 %","12.5 %",".107",".268",".244",".328",".351",".307","86","-7.7","-88.0","68.1","14.7","1006120"
"Rey Sanchez","- - -","1490","5246","15","549","389","55","4.4 %","9.7 %",".062",".299",".272",".308",".334",".286","66","-1.2","-229.1","197.0","14.6","213"
"Alex Avila","- - -","995","3465","103","341","386","8","14.4 %","29.1 %",".161",".320",".235",".348",".396",".329","105","-27.1","-8.3","33.8","14.6","7476"
"Hal Morris","- - -","1246","4443","76","535","513","45","8.0 %","12.3 %",".129",".334",".304",".361",".433",".349","111","-1.2","57.1","-58.6","14.6","1009209"
"Jermaine Dye","- - -","1763","7214","325","984","1072","46","8.3 %","18.1 %",".214",".296",".274",".338",".488",".354","110","-26.2","64.8","-162.0","14.6","911"
"Randy Milligan","- - -","703","2594","70","305","284","16","17.2 %","16.6 %",".159",".296",".261",".391",".420",".370","131","-4.5","89.7","-35.4","14.6","1008946"
"Jason Castro","- - -","825","3022","86","332","292","5","10.0 %","27.9 %",".159",".302",".231",".313",".390",".308","93","-6.8","-30.4","71.0","14.5","8722"
"Brandon Inge","- - -","1532","5617","152","563","648","45","7.9 %","23.3 %",".152",".281",".233",".301",".384",".301","81","-4.0","-135.0","88.6","14.5","470"
"Trea Turner","Nationals","482","2124","63","332","216","159","7.5 %","18.6 %",".176",".338",".291",".348",".467",".348","113","28.2","64.0","10.7","14.3","16252"
"Rob Deer","- - -","1155","4513","230","578","600","43","12.7 %","31.2 %",".223",".275",".220",".324",".442",".341","110","-4.8","48.4","-57.9","14.3","1003137"
"Ender Inciarte","- - -","760","3194","39","418","243","113","6.9 %","12.5 %",".104",".319",".286",".338",".390",".317","94","17.8","-3.3","41.2","14.3","4922"
"Darryl Hamilton","- - -","1328","5177","51","707","454","163","9.5 %","9.5 %",".094",".316",".291",".360",".385",".336","98","1.7","-11.5","-16.4","14.2","1005272"
"Yan Gomes","- - -","749","2780","99","306","351","4","5.8 %","25.0 %",".175",".294",".245",".297",".420",".308","90","-6.7","-41.2","83.8","14.2","9627"
"Rick Wilkins","- - -","720","2435","81","280","275","9","11.4 %","23.4 %",".167",".293",".244",".332",".410",".326","97","-3.4","-13.4","74.6","14.2","1013960"
"Todd Hundley","- - -","1225","4305","202","495","599","14","10.5 %","23.0 %",".209",".261",".234",".320",".443",".328","99","-6.4","-6.4","15.9","14.2","284"
"Dave Hollins","- - -","983","3911","112","578","482","47","11.9 %","17.6 %",".160",".294",".260",".358",".420",".348","110","-2.1","39.5","-35.9","14.2","1391"
"Ted Simmons","- - -","1160","4318","123","490","645","11","8.1 %","7.4 %",".154",".263",".268",".328",".422",".329","105","-0.6","26.9","-30.9","14.1","1011986"
"Graig Nettles","- - -","1167","4024","146","451","522","3","11.2 %","11.9 %",".164",".239",".241",".326",".405",".326","104","-4.0","13.3","-10.3","14.1","1009517"
"Mike Gallego","- - -","1111","3379","42","374","282","24","9.6 %","13.8 %",".089",".269",".239",".320",".328",".298","84","-8.2","-72.7","101.2","14.1","1004458"
"Ray Knight","- - -","1318","5108","82","474","576","13","6.5 %","10.7 %",".119",".291",".273",".322",".392",".317","99","-7.3","-12.0","-18.9","14.1","1007043"
"Morgan Ensberg","- - -","731","2580","110","340","347","22","12.9 %","16.9 %",".205",".280",".263",".362",".468",".360","116","-12.1","39.9","17.6","14.1","556"
"Lee Lacy","- - -","976","3346","62","446","295","157","7.6 %","14.0 %",".128",".329",".295",".348",".422",".343","113","6.1","55.8","-31.2","14.1","1007243"
"Kolten Wong","Cardinals","799","2836","52","325","265","83","7.5 %","15.3 %",".128",".294",".260",".332",".388",".313","96","21.6","10.0","37.9","14.0","12532"
"Michael Conforto","Mets","578","2268","109","308","310","14","12.3 %","24.2 %",".229",".294",".253",".353",".481",".353","125","6.1","76.7","-10.2","14.0","16376"
"Reggie Jackson","- - -","1170","4615","223","578","671","26","12.8 %","23.8 %",".216",".290",".252",".350",".468",".360","124","-6.2","124.8","-144.1","14.0","1006308"
"Javier Baez","Cubs","665","2473","110","344","354","60","4.9 %","28.1 %",".214",".339",".270",".310",".484",".332","105","12.9","30.5","30.0","13.9","12979"
