"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jason McDonald","- - -","286","822","11","113","51","33","12.8 %","18.9 %",".101",".295",".241",".347",".342",".317","86","-1.7","-17.3","6.1","1.8","1008460"
"Wiki Gonzalez","- - -","295","932","17","75","103","3","8.4 %","12.0 %",".117",".257",".239",".310",".356",".293","77","-4.7","-33.2","20.4","1.8","1033"
"Ronald Torreyes","- - -","236","631","4","68","57","5","3.8 %","13.2 %",".091",".316",".279",".308",".370",".293","81","2.6","-12.3","8.2","1.8","11400"
"Tony Campana","- - -","257","477","1","70","16","66","5.7 %","21.6 %",".039",".323",".249",".296",".288",".263","59","14.5","-8.1","10.6","1.8","4964"
"Tim Bogar","- - -","701","1710","24","180","161","13","8.4 %","15.9 %",".105",".259",".228",".298",".332",".281","64","-2.7","-82.8","42.6","1.8","1001120"
"Nomar Mazara","Rangers","537","2189","79","253","308","7","7.4 %","21.2 %",".174",".300",".261",".320",".435",".321","92","-6.7","-29.4","-28.3","1.7","14553"
"Rick Manning","- - -","1081","3792","39","424","312","112","8.6 %","10.1 %",".083",".268",".249",".313",".332",".293","78","6.1","-91.8","-14.5","1.7","1008068"
"Kelby Tomlinson","Giants","273","687","3","77","47","19","8.4 %","20.2 %",".066",".336",".265",".331",".332",".294","85","4.5","-8.9","3.9","1.7","13005"
"Mark Sweeney","- - -","1218","2131","42","220","250","16","12.2 %","19.9 %",".134",".306",".254",".347",".387",".326","94","-2.0","-18.1","-33.2","1.7","1408"
"Mike Brown","- - -","315","996","23","105","113","5","7.7 %","13.6 %",".146",".288",".265",".321",".411",".324","102","-2.4","-0.3","-15.4","1.7","1001546"
"Cody Ransom","- - -","383","858","30","111","105","6","10.3 %","31.9 %",".188",".290",".213",".303",".400",".310","89","3.5","-8.0","-2.8","1.7","1126"
"Oscar Mercado","Indians","115","482","15","70","54","15","5.8 %","17.4 %",".174",".300",".269",".318",".443",".321","95","3.5","0.3","0.4","1.7","16375"
"Aaron Ledesma","- - -","284","813","2","94","76","11","5.4 %","13.7 %",".069",".343",".296",".338",".365",".315","82","-1.3","-21.2","9.9","1.7","1007444"
"Joe McEwing","- - -","754","1964","25","217","158","33","5.8 %","17.9 %",".104",".298",".251",".302",".355",".288","69","0.0","-78.9","31.2","1.7","887"
"Chris Bando","- - -","497","1467","27","134","142","1","9.4 %","13.4 %",".102",".246",".227",".300",".329",".286","73","-2.0","-50.7","19.2","1.7","1000504"
"Collin Cowgill","- - -","318","759","12","83","57","14","7.6 %","26.0 %",".096",".310",".234",".297",".329",".282","79","2.6","-15.9","7.1","1.7","7250"
"Travis Ishikawa","- - -","488","1050","23","114","137","3","8.1 %","24.5 %",".136",".325",".255",".321",".391",".312","91","-2.9","-13.8","-2.2","1.7","4793"
"Cesar Geronimo","- - -","376","917","12","84","87","11","7.9 %","13.6 %",".104",".271",".244",".304",".348",".289","76","0.7","-24.5","11.7","1.7","1004639"
"Kevin Maas","- - -","406","1448","65","171","169","10","12.6 %","21.4 %",".192",".251",".230",".329",".422",".335","107","-0.2","10.7","-41.5","1.7","1007895"
"Jemile Weeks","- - -","260","1068","4","121","62","41","7.3 %","14.5 %",".097",".297",".254",".316",".352",".296","86","4.1","-13.6","-6.3","1.7","2498"
"Jake Arrieta","- - -","255","396","6","22","27","0","3.5 %","45.7 %",".089",".314",".167",".198",".256",".199","17","-0.1","-40.4","43.9","1.7","4153"
"Eli Whiteside","- - -","216","563","10","52","45","4","5.5 %","24.5 %",".117",".265",".210",".265",".327",".261","61","-0.9","-26.7","25.5","1.7","3536"
"Orlando Miller","- - -","297","1017","24","95","113","8","4.2 %","21.9 %",".143",".314",".259",".305",".402",".306","86","-3.5","-21.8","6.1","1.7","1008917"
"Greg Litton","- - -","374","893","13","78","97","1","6.5 %","18.7 %",".114",".287",".241",".293",".355",".293","83","-2.3","-20.3","7.6","1.7","1007668"
"Tom O'Malley","- - -","466","1366","13","117","131","2","9.7 %","11.1 %",".085",".281",".256",".329",".340",".302","88","-3.0","-22.3","-7.1","1.6","1009798"
"Lou Piniella","Yankees","490","1556","27","164","173","4","6.1 %","6.1 %",".118",".298",".294",".337",".412",".330","105","-1.9","7.5","-42.9","1.6","1010356"
"Miguel Dilone","- - -","590","1815","5","257","115","196","6.4 %","9.0 %",".074",".302",".276",".324",".350",".307","88","18.7","-6.6","-37.4","1.6","1003309"
"Max Scherzer","- - -","372","466","1","31","29","3","2.8 %","28.5 %",".022",".284",".193",".221",".215",".196","11","0.4","-51.2","52.5","1.6","3137"
"Randy Kutcher","- - -","244","497","10","83","40","13","7.2 %","22.5 %",".150",".281",".228",".285",".377",".297","84","-1.1","-10.6","10.9","1.6","1007222"
"Pat Putnam","- - -","646","2098","62","216","250","10","6.7 %","12.0 %",".152",".265",".257",".308",".409",".317","95","-3.2","-14.6","-37.4","1.6","1010577"
"Gary Woods","- - -","451","871","13","95","93","13","9.0 %","16.6 %",".109",".296",".254",".321",".364",".308","89","-1.0","-12.0","-0.4","1.6","1014237"
"Christian Villanueva","Padres","122","416","24","47","53","3","5.5 %","27.4 %",".230",".285",".245",".303",".475",".332","110","-1.3","3.9","-1.1","1.6","11738"
"Eduardo Perez","- - -","754","2039","79","238","294","19","9.5 %","19.3 %",".184",".273",".247",".326",".431",".331","98","-7.5","-13.7","-37.1","1.6","1409"
"Alexi Casilla","- - -","578","1893","12","225","157","80","6.9 %","13.0 %",".084",".279",".247",".302",".331",".283","71","15.5","-50.4","0.6","1.6","5248"
"Randy Bush","Twins","1219","3481","96","388","409","33","10.0 %","14.5 %",".162",".269",".251",".334",".413",".331","100","-5.8","-5.0","-94.0","1.6","1001756"
"Enos Cabell","- - -","1000","3713","29","396","350","110","4.1 %","10.7 %",".085",".304",".277",".307",".362",".299","88","-5.8","-55.3","-49.6","1.6","1001804"
"Kevin Sefcik","- - -","425","884","6","92","56","21","9.0 %","11.5 %",".096",".308",".275",".351",".371",".325","89","-0.3","-13.1","0.9","1.6","1011722"
"Larry Bigbie","- - -","392","1367","31","164","137","25","8.7 %","22.1 %",".128",".329",".267",".331",".395",".319","92","10.9","-1.9","-28.3","1.6","128"
"Nolan Reimold","- - -","480","1556","56","179","174","18","9.6 %","22.9 %",".176",".288",".246",".323",".422",".325","99","-1.7","-3.4","-33.7","1.6","3441"
"Doug Drabek","- - -","385","808","2","42","46","0","2.1 %","25.6 %",".041",".230",".166",".193",".207",".183","8","-0.5","-88.3","77.4","1.6","1003473"
"Brian Hunter","- - -","699","1742","67","187","259","4","8.1 %","19.2 %",".196",".252",".234",".298",".430",".317","88","-3.1","-30.9","-12.0","1.6","1006197"
"Humberto Quintero","- - -","471","1423","20","95","127","1","3.3 %","20.7 %",".093",".285",".234",".267",".327",".261","57","-12.5","-86.6","57.1","1.6","1824"
"Bryan Little","- - -","327","1072","3","126","77","8","11.2 %","7.4 %",".061",".263",".245",".333",".306",".298","85","-2.5","-21.2","1.1","1.6","1007658"
"Bill Almon","- - -","907","2437","33","266","223","87","7.2 %","17.6 %",".100",".294",".251",".305",".351",".295","83","-0.5","-47.9","-17.0","1.6","1000174"
"Kevin Newman","Pirates","161","628","12","68","70","16","5.1 %","13.5 %",".120",".325",".293",".337",".413",".320","97","-1.4","-2.9","-0.7","1.6","17696"
"Tony Womack","- - -","1303","5389","36","739","368","363","5.7 %","12.0 %",".084",".305",".273",".317",".356",".299","73","55.5","-132.5","-26.2","1.6","78"
"Scott Sizemore","- - -","166","614","14","72","74","5","11.1 %","26.4 %",".143",".318",".240",".327",".383",".318","98","0.9","-0.4","-5.6","1.6","2881"
"George Kottaras","- - -","313","858","32","92","101","3","14.1 %","23.7 %",".197",".248",".215",".326",".411",".325","100","-1.3","-1.8","-10.7","1.6","5506"
"Jack Voigt","- - -","294","676","20","84","83","7","11.5 %","19.1 %",".167",".266",".235",".324",".401",".322","90","0.2","-9.5","1.7","1.6","1013446"
"Junior Kennedy","- - -","336","977","4","90","84","8","8.9 %","11.3 %",".054",".276",".249",".313",".303",".282","71","-1.5","-33.4","17.4","1.5","1006845"
"Jerry Reuss","- - -","263","508","1","26","22","0","3.7 %","32.7 %",".030",".294",".184",".219",".214",".201","22","0.0","-45.1","43.4","1.5","1010853"
"Aaron Guiel","- - -","307","1099","35","151","128","8","7.6 %","19.8 %",".168",".280",".246",".322",".414",".322","89","1.4","-13.5","-8.5","1.5","1503"
"Tyler Houston","- - -","700","1947","63","197","253","10","6.1 %","21.0 %",".158",".311",".265",".312",".423",".317","87","-0.8","-34.7","-12.3","1.5","689"
"Cory Snyder","- - -","1068","3933","149","439","488","28","5.7 %","25.2 %",".178",".296",".247",".291",".425",".314","93","-2.7","-35.0","-81.5","1.5","1012244"
"Abraham Almonte","- - -","369","1138","18","141","97","24","7.8 %","23.3 %",".134",".301",".239",".298",".373",".293","81","2.8","-22.0","-0.7","1.5","5486"
"Garrett Cooper","- - -","134","504","15","57","58","0","7.5 %","26.6 %",".155",".363",".280",".341",".435",".332","108","-2.7","2.5","-3.2","1.5","15279"
"Charles Thomas","- - -","113","322","7","39","32","3","8.1 %","16.5 %",".131",".297",".259",".349",".390",".320","91","3.1","-0.3","5.2","1.5","2962"
"Bradley Zimmer","Indians","144","460","10","56","48","22","7.4 %","32.6 %",".129",".330",".230",".293",".359",".284","70","7.7","-9.1","8.5","1.5","16221"
"Pat Kelly","- - -","205","504","13","71","67","22","13.5 %","17.5 %",".154",".296",".262",".359",".416",".349","117","0.1","10.6","-12.3","1.5","1006810"
"Ricky Ledee","- - -","855","2307","63","290","318","29","10.6 %","21.5 %",".169",".289",".243",".325",".412",".321","89","3.1","-30.4","-33.2","1.5","1407"
"Julio Borbon","- - -","294","878","8","112","76","47","5.6 %","13.8 %",".074",".313",".273",".318",".347",".298","76","7.0","-17.5","2.1","1.5","3209"
"Bill Fahey","- - -","240","669","5","48","56","4","7.3 %","6.7 %",".056",".266",".256",".308",".312",".278","75","0.1","-19.2","12.4","1.5","1003897"
"Tim Corcoran","- - -","338","739","8","70","86","1","13.5 %","8.9 %",".096",".285",".270",".366",".366",".330","104","-1.5","1.9","-12.0","1.5","1002621"
"Jason Jennings","- - -","234","378","2","18","26","0","5.0 %","21.2 %",".061",".266",".207",".251",".267",".234","21","-0.1","-38.5","40.9","1.5","434"
"Steve Lyons","- - -","853","2388","19","264","196","42","6.5 %","15.2 %",".088",".292",".252",".301",".340",".289","76","-5.2","-73.3","10.2","1.5","1007886"
"Donell Nixon","- - -","208","438","4","56","35","47","8.0 %","17.6 %",".058",".333",".275",".337",".333",".307","93","1.9","-1.8","2.0","1.5","1009607"
"David Howard","- - -","645","1795","11","169","148","23","7.6 %","17.3 %",".075",".275",".229",".291",".303",".270","56","-3.7","-105.0","57.6","1.5","1006075"
"Jarrett Parker","- - -","140","397","15","48","51","3","9.3 %","32.0 %",".192",".344",".249",".330",".441",".331","108","1.1","4.2","-2.8","1.5","11624"
"Jon Niese","- - -","216","413","0","27","19","0","8.5 %","39.7 %",".026",".284",".150",".228",".176",".193","16","-0.3","-40.6","41.9","1.5","4424"
"Alberto T. Castillo","- - -","418","1173","12","98","101","3","8.8 %","18.7 %",".077",".266",".220",".293",".297",".270","54","-3.4","-72.7","47.4","1.5","812"
"Shelley Duncan","- - -","330","997","43","117","144","2","9.7 %","24.4 %",".193",".259",".226",".305",".419",".317","98","-4.2","-6.3","-13.5","1.5","3620"
"Pat Listach","- - -","503","1991","5","250","143","116","8.4 %","17.0 %",".059",".305",".251",".316",".309",".289","71","7.4","-68.9","13.7","1.5","1007655"
"Brian Giles","- - -","287","791","10","74","50","27","8.8 %","19.1 %",".080",".275",".228",".298",".309",".279","72","0.1","-25.6","14.3","1.5","1004702"
"Tim Hudson","- - -","489","710","4","35","42","0","3.7 %","26.8 %",".054",".223",".160",".196",".214",".186","6","-0.3","-81.7","73.5","1.5","921"
"DeWayne Wise","- - -","576","1184","31","149","115","55","3.9 %","20.7 %",".153",".264",".228",".264",".381",".279","65","12.1","-38.6","12.0","1.4","1554"
"Alex Arias","- - -","775","2010","18","203","196","10","9.0 %","10.5 %",".085",".290",".265",".338",".350",".310","83","-0.1","-43.7","-7.7","1.4","123"
"Lee Stevens","- - -","1012","3724","144","440","531","9","9.3 %","22.3 %",".194",".294",".254",".323",".448",".331","94","-7.7","-33.1","-75.1","1.4","796"
"Dane Iorg","- - -","666","1623","14","138","206","5","6.0 %","10.0 %",".106",".300",".278",".318",".384",".312","93","-1.4","-15.2","-24.1","1.4","1006267"
"Chris Getz","- - -","459","1574","3","176","111","89","7.1 %","11.0 %",".057",".281",".250",".309",".307",".278","66","12.0","-50.1","10.9","1.4","3388"
"Hernan Perez","- - -","638","1819","45","191","180","69","4.1 %","21.2 %",".134",".299",".252",".282",".387",".286","73","8.4","-51.7","8.2","1.4","5751"
"Tim Spehr","- - -","363","656","19","76","72","9","10.2 %","23.3 %",".162",".234",".198",".298",".360",".296","72","1.8","-21.0","13.3","1.4","1012315"
"Al Woods","- - -","434","1479","26","156","136","14","8.1 %","8.0 %",".121",".280",".271",".330",".393",".324","94","-3.0","-12.4","-20.9","1.4","1014234"
"Del Unser","Phillies","272","372","6","46","45","2","10.8 %","17.5 %",".133",".286",".247",".324",".380",".313","91","0.0","-3.4","5.5","1.4","1013286"
"Rodney Scott","- - -","424","1761","3","203","115","139","11.0 %","11.1 %",".056",".254",".224",".311",".280",".279","71","15.4","-42.1","-1.8","1.4","1011693"
"Matt Morris","- - -","309","652","2","35","38","0","4.1 %","33.1 %",".044",".276",".169",".208",".214",".193","8","-0.5","-77.2","70.4","1.4","1172"
"Chris Richard","- - -","280","1006","34","132","122","18","8.1 %","18.2 %",".190",".282",".255",".323",".445",".329","100","-4.9","-4.9","-15.2","1.4","163"
"Mike Carp","- - -","318","1000","27","97","127","2","9.0 %","24.3 %",".160",".317",".254",".330",".414",".328","107","-4.5","4.3","-24.0","1.4","7480"
"Butch Huskey","- - -","642","2277","86","259","336","21","7.2 %","16.9 %",".175",".287",".267",".318",".442",".328","94","-3.3","-19.4","-40.5","1.4","1006228"
"Lee Tinsley","- - -","361","979","13","131","79","41","9.0 %","23.6 %",".093",".313",".241",".313",".334",".294","68","-1.3","-42.6","21.8","1.4","1013077"
"Mark Johnson","- - -","428","1162","38","142","137","12","13.3 %","23.4 %",".170",".278",".232",".338",".402",".328","95","-0.9","-8.7","-14.1","1.4","1376"
"T.J. Rivera","Mets","106","344","8","37","43","1","3.5 %","14.2 %",".141",".332",".304",".335",".445",".333","109","1.4","5.3","-2.6","1.4","12495"
"Jose Rijo","Reds","268","511","2","25","29","2","1.6 %","19.8 %",".043",".243",".191",".205",".234",".199","14","0.0","-51.3","48.2","1.4","349"
"Quintin Berry","- - -","132","345","3","53","33","29","7.5 %","24.9 %",".102",".355",".262",".333",".364",".311","93","8.3","5.1","-3.6","1.4","9414"
"Renato Nunez","- - -","241","891","40","101","116","1","7.2 %","24.2 %",".196",".284",".245",".310",".441",".318","96","-2.6","-6.6","-10.5","1.4","14503"
"Nelson Liriano","- - -","823","2487","25","296","240","59","8.5 %","12.1 %",".106",".288",".260",".324",".366",".309","84","-1.0","-49.4","-19.8","1.4","1007650"
"Andres Blanco","- - -","536","1321","18","137","109","5","6.0 %","15.3 %",".122",".293",".256",".310",".378",".302","82","-5.6","-35.9","5.9","1.4","1907"
"Taylor Teagarden","- - -","180","563","21","57","70","0","6.6 %","34.5 %",".175",".276",".202",".260",".376",".280","64","-1.6","-25.7","20.8","1.4","5199"
"Reggie Willits","Angels","414","1014","0","146","58","40","12.7 %","16.7 %",".044",".319",".258",".356",".302",".307","84","7.9","-11.3","-9.7","1.4","5590"
"Steve Braun","- - -","439","670","9","55","55","1","15.8 %","10.1 %",".093",".273",".252",".371",".345",".333","107","-0.2","5.0","-14.3","1.4","1001366"
"Wilmer Difo","Nationals","361","1042","15","132","78","23","8.0 %","19.1 %",".102",".300",".250",".311",".352",".285","72","5.0","-32.1","12.2","1.4","14320"
"Alex Escobar","- - -","125","439","13","53","52","5","9.3 %","25.5 %",".157",".325",".258",".328",".415",".323","95","1.1","-1.4","0.5","1.4","383"
"Daniel Descalso","- - -","1080","2893","48","326","294","26","10.5 %","20.7 %",".127",".288",".235",".320",".362",".299","82","12.0","-50.4","-26.4","1.4","8392"
"Brad Komminsk","- - -","376","1119","23","140","105","39","10.2 %","23.1 %",".118",".270",".218",".301",".336",".293","78","-0.4","-28.9","6.0","1.4","1007092"
"Andy Stankiewicz","- - -","429","957","4","105","59","17","8.4 %","14.7 %",".075",".283",".241",".313",".315",".289","75","-0.4","-30.6","12.2","1.4","1012405"
"Tom Prince","- - -","519","1357","24","113","140","9","7.7 %","18.6 %",".123",".242",".208",".286",".331",".277","66","-2.1","-58.5","28.2","1.4","747"
"Calvin Murray","- - -","288","723","8","108","54","22","9.8 %","15.4 %",".102",".266",".229",".313",".331",".292","72","2.3","-23.3","13.2","1.4","1262"
"Cole Hamels","- - -","429","778","2","40","34","1","2.4 %","36.8 %",".038",".283",".169",".195",".206",".181","3","-1.3","-93.9","82.3","1.4","4972"
"Jayson Nix","- - -","466","1465","38","143","130","36","7.4 %","25.3 %",".133",".264",".212",".282",".345",".279","68","5.4","-50.3","14.1","1.4","3790"
"Mike Diaz","- - -","293","771","31","70","102","1","9.2 %","16.6 %",".182",".258",".247",".319",".429",".328","104","-0.9","2.6","-14.7","1.3","1003268"
"Pedro Florimon","- - -","321","867","12","96","73","26","7.3 %","28.0 %",".108",".287",".211",".270",".319",".262","59","6.6","-33.5","18.1","1.3","8385"
"Clete Thomas","- - -","249","794","13","95","65","6","9.7 %","26.6 %",".120",".313",".233",".311",".353",".298","79","4.0","-15.7","2.0","1.3","3373"
"Ryan Shealy","- - -","169","598","19","75","94","2","7.7 %","25.1 %",".156",".337",".268",".331",".424",".331","96","-6.2","-9.6","2.6","1.3","4443"
"Rufino Linares","- - -","207","577","11","66","63","15","4.2 %","12.8 %",".110",".292",".270",".299",".380",".305","86","0.7","-8.4","2.6","1.3","1007610"
"Ed Lucas","Marlins","163","573","5","62","37","2","5.9 %","22.0 %",".068",".325",".255",".302",".323",".280","76","2.6","-12.9","7.8","1.3","7532"
"Mike Felder","- - -","899","2497","14","318","173","161","6.7 %","8.7 %",".073",".269",".249",".301",".322",".283","74","13.2","-66.2","-2.2","1.3","1003970"
"Luis Rivera","- - -","781","2453","28","249","209","20","7.0 %","18.1 %",".100",".278",".233",".291",".333",".284","71","-5.3","-87.0","20.7","1.3","1011003"
"Bob Knepper","- - -","382","813","6","41","49","2","3.7 %","34.1 %",".067",".221",".142",".178",".209",".178","7","0.3","-86.4","72.1","1.3","1007031"
"Carlos Hernandez","- - -","488","1337","24","102","141","5","4.7 %","14.7 %",".100",".282",".253",".298",".354",".291","77","-2.5","-41.7","11.1","1.3","1005696"
"Tom Seaver","- - -","138","327","3","20","21","0","7.3 %","31.8 %",".080",".247",".164",".229",".244",".221","31","0.0","-25.7","27.2","1.3","1011708"
"Mikie Mahtook","- - -","291","965","33","112","97","14","6.1 %","26.4 %",".170",".291",".235",".292",".405",".300","86","1.4","-15.1","-5.3","1.3","13130"
"Jeff Suppan","- - -","433","537","1","27","24","1","4.5 %","18.8 %",".023",".222",".173",".221",".195",".194","9","-0.4","-62.5","57.9","1.3","633"
"Rick Mahler","- - -","392","671","1","40","37","0","3.0 %","17.4 %",".034",".222",".179",".208",".213",".194","9","-0.5","-70.3","60.9","1.3","1007988"
"Josh Phegley","- - -","377","1185","34","127","160","2","4.6 %","19.6 %",".155",".255",".227",".269",".383",".280","75","-7.3","-43.2","15.6","1.3","9308"
"Bryn Smith","- - -","365","605","3","34","37","1","4.8 %","23.1 %",".042",".205",".153",".199",".196",".185","9","0.1","-62.7","55.3","1.3","1012104"
"Hanser Alberto","- - -","228","742","12","76","60","6","2.7 %","11.9 %",".096",".300",".276",".299",".373",".287","73","-2.8","-26.7","14.1","1.3","11902"
"Steve Nicosia","- - -","355","1038","11","86","88","5","8.2 %","8.7 %",".098",".265",".250",".311",".347",".293","80","-1.4","-25.1","2.8","1.2","1009575"
"Jorge Bonifacio","Royals","187","713","21","89","66","1","9.1 %","27.5 %",".161",".322",".247",".319",".408",".314","94","0.4","-5.1","-6.5","1.2","12174"
"Lyle Mouton","- - -","328","890","22","96","116","9","8.0 %","23.5 %",".140",".349",".280",".339",".420",".334","97","0.0","-3.1","-15.2","1.2","1009269"
"Wes Chamberlain","- - -","385","1352","43","144","167","20","5.7 %","18.4 %",".169",".286",".255",".299",".424",".318","94","1.1","-9.5","-24.2","1.2","1002126"
"Luke Maile","- - -","216","657","10","53","60","4","6.1 %","27.2 %",".106",".263",".198",".252",".304",".244","48","1.1","-40.7","30.1","1.2","13355"
"Omar Daal","- - -","331","315","2","23","21","0","4.4 %","19.4 %",".052",".246",".196",".236",".248",".220","23","0.0","-31.6","34.2","1.2","646"
"Josh Thole","- - -","478","1499","9","99","111","2","9.0 %","14.3 %",".064",".280",".242",".313",".306",".278","73","-14.1","-61.7","26.9","1.2","9689"
"Larry Harlow","- - -","252","690","4","87","46","6","13.9 %","18.0 %",".081",".316",".254",".362",".334",".326","101","-2.4","-1.2","-10.1","1.2","1005369"
"Terrmel Sledge","- - -","291","803","25","81","100","6","10.2 %","18.8 %",".172",".279",".247",".327",".418",".323","93","-0.8","-8.1","-6.4","1.2","1878"
"Elliott Maddox","Mets","216","727","5","56","46","4","9.9 %","9.8 %",".072",".277",".254",".336",".326",".305","90","-3.5","-11.7","0.1","1.2","1007947"
"George Williams","- - -","172","518","10","62","48","0","14.3 %","19.9 %",".124",".295",".243",".362",".367",".332","97","-0.5","-3.0","-3.3","1.2","1013999"
"Josh Barfield","- - -","309","1075","16","133","112","35","4.1 %","17.5 %",".112",".307",".264",".295",".375",".290","75","10.7","-23.2","-0.9","1.2","3622"
"Phil Clark","- - -","264","588","17","62","65","4","4.6 %","12.9 %",".149",".291",".276",".317",".425",".325","96","-0.9","-4.9","-4.6","1.2","1002303"
"Adam Hyzdu","- - -","221","407","19","54","61","1","10.1 %","24.1 %",".209",".257",".229",".310",".439",".325","94","1.1","-2.0","0.6","1.2","1543"
"Alex Dickerson","- - -","163","483","16","68","65","6","8.1 %","18.4 %",".200",".297",".264",".331",".464",".336","110","-0.8","5.6","-9.2","1.2","12649"
"Luis Rengifo","Angels","108","406","7","44","33","2","9.9 %","22.9 %",".126",".300",".238",".321",".364",".298","86","0.5","-6.7","4.3","1.2","19858"
"Chris Parmelee","- - -","311","1011","30","89","98","1","7.8 %","23.6 %",".157",".302",".248",".313",".405",".316","98","-4.9","-7.2","-14.6","1.2","2554"
"Dallas McPherson","- - -","139","414","18","54","45","5","6.5 %","32.1 %",".205",".319",".241",".292",".446",".316","92","-1.9","-6.1","4.0","1.2","2194"
"Dave Berg","- - -","582","1781","21","190","163","8","7.5 %","17.3 %",".104",".318",".269",".328",".373",".312","84","-0.7","-36.8","-10.4","1.2","1288"
"Kurt Stillwell","- - -","998","3478","34","362","310","38","7.9 %","13.1 %",".100",".280",".249",".311",".349",".298","82","-5.1","-80.0","-25.5","1.2","1012536"
"Charles Gipson","- - -","373","366","0","78","30","16","8.2 %","19.4 %",".090",".303",".237",".311",".327",".288","71","-1.6","-15.2","13.7","1.2","1078"
"Cecil Espy","- - -","546","1385","7","160","108","103","7.5 %","20.0 %",".077",".305",".244",".301",".321",".284","75","4.6","-35.1","1.6","1.2","1003832"
"Stephen Strasburg","Nationals","240","514","4","23","29","0","4.5 %","29.4 %",".048",".221",".152",".196",".200",".180","2","-0.2","-61.2","56.4","1.1","10131"
"John Baker","- - -","359","1228","14","124","120","2","10.3 %","21.9 %",".094",".315",".247",".330",".341",".299","82","-3.1","-28.3","2.9","1.1","4756"
"Munenori Kawasaki","- - -","276","738","1","80","51","12","9.5 %","16.1 %",".052",".288",".237",".320",".289",".280","74","2.2","-19.4","6.1","1.1","13047"
"Brendan Harris","- - -","529","1876","33","208","167","5","7.0 %","18.3 %",".125",".301",".256",".314",".381",".308","85","-3.3","-36.9","-15.7","1.1","2178"
"Austin Slater","Giants","176","544","9","56","60","8","9.2 %","28.9 %",".114",".357",".254",".335",".368",".307","92","3.8","-1.3","-4.8","1.1","16153"
"Ruben Amaro","- - -","485","1051","16","99","100","15","8.4 %","12.2 %",".118",".255",".235",".310",".353",".301","81","-1.2","-25.3","2.9","1.1","1000207"
"Daniel Vogelbach","Mariners","205","704","34","82","91","0","15.5 %","27.0 %",".207",".237",".205",".332",".413",".322","104","-2.7","1.0","-14.1","1.1","14130"
"Kristopher Negron","- - -","170","416","9","47","32","10","7.7 %","25.7 %",".115",".286",".221",".291",".336",".280","73","4.5","-9.4","6.2","1.1","5306"
"Steve Avery","- - -","306","495","4","35","32","1","2.4 %","27.3 %",".078",".238",".174",".194",".252",".198","11","-0.2","-54.1","48.6","1.1","1706"
"Jacob Brumfield","- - -","568","1747","32","260","162","74","7.8 %","16.6 %",".137",".294",".257",".318",".393",".314","84","0.3","-35.5","-13.9","1.1","1001583"
"Kip Wells","- - -","297","371","4","30","17","1","1.1 %","38.5 %",".073",".321",".190",".205",".263",".205","14","0.1","-40.3","39.2","1.1","1012"
"Victor Caratini","Cubs","202","545","14","58","57","1","8.3 %","20.9 %",".130",".300",".252",".326",".382",".308","89","-1.5","-8.9","2.7","1.1","14968"
"Aaron Altherr","- - -","359","1156","37","142","151","21","9.5 %","28.7 %",".182",".285",".219",".308",".402",".307","89","-2.2","-18.4","-8.5","1.1","11270"
"Matt den Dekker","- - -","166","415","7","46","30","12","9.9 %","24.1 %",".114",".286",".223",".305",".337",".289","83","4.7","-3.7","0.7","1.1","11385"
"Steve Cox","Devil Rays","378","1399","39","146","158","8","9.2 %","17.2 %",".156",".294",".262",".340",".417",".332","99","-2.4","-4.4","-32.5","1.1","1200"
"Gene Larkin","Twins","758","2670","32","275","266","23","10.0 %","10.4 %",".108",".288",".266",".348",".374",".326","98","-3.3","-9.3","-67.9","1.1","1007347"
"Dave Clark","- - -","905","2211","62","248","284","19","10.0 %","20.4 %",".144",".311",".264",".338",".408",".330","99","-1.6","-3.4","-58.4","1.1","1002277"
"Jim Pankovits","Astros","316","620","9","62","55","8","7.1 %","18.5 %",".099",".299",".250",".307",".349",".296","89","0.2","-7.7","-2.5","1.0","1009979"
"Chris Donnels","- - -","450","910","17","83","86","5","11.3 %","18.1 %",".122",".272",".233",".319",".355",".302","83","0.4","-17.5","-1.6","1.0","1396"
"Jesus Flores","Nationals","311","1014","23","84","127","1","5.7 %","23.5 %",".133",".297",".241",".289",".375",".289","73","-7.2","-40.1","18.5","1.0","4166"
"Paulo Orlando","Royals","278","918","14","98","81","18","2.4 %","22.1 %",".121",".327",".263",".289",".384",".290","78","2.2","-21.8","0.5","1.0","8628"
"John Rodriguez","Cardinals","158","388","7","46","43","2","10.3 %","23.2 %",".136",".382",".298",".378",".434",".352","113","-0.6","6.0","-8.5","1.0","2338"
"Tommy Medica","Padres","121","338","12","40","37","6","7.1 %","29.0 %",".172",".320",".246",".308",".417",".321","108","2.1","5.1","-6.0","1.0","11147"
"Bo Hart","Cardinals","88","335","4","46","30","3","3.9 %","20.0 %",".113",".335",".272",".313",".385",".307","84","1.7","-5.2","4.5","1.0","1743"
"Dann Bilardello","- - -","382","1041","18","79","91","4","6.2 %","16.3 %",".100",".230",".204",".257",".305",".251","51","-0.9","-59.4","36.5","1.0","1000963"
"Carson Kelly","- - -","174","496","18","53","57","0","11.3 %","20.0 %",".179",".244",".220",".316",".399",".301","83","-2.3","-12.5","7.2","1.0","13620"
