"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"John Rheinecker","Rangers","8","9","0","44","20","121.0","5.06","3.50","1.12",".352","67.9 %","57.9 %","14.4 %","5.65","4.96","4.50","0.8","2165"
"Rowan Wick","- - -","2","1","2","41","0","41.2","9.07","3.67","0.22",".296","67.2 %","50.4 %","2.6 %","3.24","2.94","4.38","0.8","14646"
"Mike Mimbs","Phillies","12","19","1","73","37","264.2","6.05","4.86","0.99",".293","68.4 %","","","5.03","4.95","","0.8","1008970"
"Matt Albers","- - -","47","48","7","616","24","759.0","6.77","3.72","1.03",".291","71.7 %","51.8 %","12.4 %","4.35","4.50","4.33","0.8","4300"
"Skip Lockwood","- - -","5","6","11","51","1","88.0","5.42","3.17","0.72",".306","75.5 %","","","3.48","3.63","","0.8","1007696"
"Alan Hargesheimer","- - -","5","9","0","31","17","110.2","4.47","4.07","0.41",".324","69.0 %","","","4.72","3.73","","0.8","1005357"
"Jonathan Pettibone","Phillies","5","5","0","20","20","109.1","5.93","3.38","0.91",".324","71.5 %","49.3 %","10.9 %","4.45","4.31","4.25","0.8","7106"
"Jesse Carlson","Blue Jays","8","8","3","162","0","141.1","7.26","2.99","1.02",".261","75.4 %","37.6 %","9.2 %","3.63","4.11","4.25","0.8","4391"
"Anthony Banda","- - -","3","3","0","14","5","44.1","7.51","2.64","0.41",".313","59.4 %","37.9 %","3.8 %","5.28","3.16","4.66","0.8","14706"
"Shawn Tolleson","- - -","14","8","46","215","0","218.0","8.79","3.18","1.28",".290","77.1 %","43.0 %","13.7 %","3.92","4.14","3.76","0.8","10481"
"Bob Wolcott","- - -","16","21","0","66","58","325.2","4.92","3.12","1.71",".302","68.5 %","","","5.86","5.70","","0.8","1014184"
"Hector Velazquez","Red Sox","11","7","0","89","19","166.0","6.56","3.31","0.98",".315","73.9 %","45.3 %","10.6 %","3.90","4.41","4.85","0.8","19341"
"Rich DeLucia","- - -","38","51","7","320","49","624.0","7.24","4.31","1.31",".276","71.8 %","","","4.62","4.78","","0.8","1003185"
"Kevin Cameron","- - -","2","0","1","69","0","86.1","7.30","5.00","0.10",".299","69.5 %","46.1 %","1.1 %","3.02","3.39","4.56","0.8","3523"
"Dave Pavlas","- - -","2","0","1","34","0","51.0","5.82","2.29","0.53",".320","79.3 %","","","2.65","3.30","","0.8","1010085"
"Travis Driskill","- - -","11","14","1","57","19","196.0","5.65","2.80","1.38",".315","68.6 %","44.7 %","14.4 %","5.23","4.80","4.30","0.8","134"
"Warren Brusstar","- - -","15","11","11","236","0","324.2","4.63","3.58","0.58",".292","72.6 %","","","4.02","3.82","","0.8","1001599"
"Jim Poole","- - -","22","12","4","431","0","363.0","6.35","3.87","1.02",".297","70.1 %","","","4.31","4.51","","0.8","1010435"
"Jim Rooker","Pirates","6","9","0","23","21","121.2","3.85","3.77","0.81",".274","68.5 %","","","4.44","4.31","","0.8","1011183"
"Jared Fernandez","- - -","4","7","0","37","17","108.2","5.05","3.98","0.83",".315","66.5 %","47.7 %","8.3 %","5.05","4.60","4.90","0.8","324"
"Blake Stein","- - -","21","28","2","117","66","475.2","6.98","5.32","1.48",".271","70.2 %","28.9 %","8.5 %","5.41","5.58","5.20","0.8","632"
"Todd Redmond","- - -","5","8","1","67","16","171.1","7.93","3.26","1.16",".297","72.4 %","30.6 %","8.7 %","4.25","4.24","4.53","0.8","9943"
"Chris Leroux","- - -","1","3","0","65","0","71.2","8.29","4.40","0.38",".368","60.1 %","48.9 %","4.7 %","6.03","3.32","3.92","0.8","7645"
"Gary Majewski","- - -","9","13","2","231","0","242.1","5.31","3.34","0.71",".332","69.2 %","49.0 %","7.3 %","4.75","4.28","4.72","0.8","2131"
"Oswaldo Peraza","Orioles","5","7","0","19","15","86.0","6.38","3.87","1.05",".312","61.0 %","","","5.55","4.22","","0.8","1010176"
"James Pazos","- - -","9","6","0","149","0","122.1","9.27","3.46","1.03",".305","76.1 %","48.7 %","13.7 %","3.38","3.99","3.92","0.8","13323"
"Yoshihisa Hirano","Diamondbacks","9","8","4","137","0","119.1","9.05","3.39","0.98",".279","73.6 %","47.7 %","11.7 %","3.47","3.85","4.11","0.8","19756"
