"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Joakim Soria","- - -","33","39","221","710","1","703.1","9.81","2.67","0.77",".282","77.2 %","43.5 %","9.0 %","3.02","3.07","3.35","14.7","6941"
"Octavio Dotel","- - -","59","50","109","758","34","951.0","10.82","3.90","1.11",".280","74.7 %","32.6 %","9.7 %","3.78","3.70","3.60","14.7","555"
"LaTroy Hawkins","- - -","75","94","127","1042","98","1467.1","6.03","2.80","1.00",".307","71.2 %","48.0 %","8.5 %","4.31","4.18","3.71","14.7","729"
"Duane Ward","- - -","32","37","121","462","2","666.1","9.17","3.86","0.43",".293","72.5 %","","","3.27","2.77","","14.7","1013609"
"Bob Forsch","- - -","107","88","3","343","273","1819.2","3.47","2.43","0.72",".274","69.2 %","","","3.95","3.87","","14.7","1004233"
"Tanner Roark","- - -","74","64","1","213","172","1100.1","7.28","2.57","1.03",".288","75.4 %","44.0 %","11.3 %","3.71","4.02","4.17","14.7","8753"
"Carlos Martinez","Cardinals","58","40","31","253","118","864.2","8.88","3.40","0.70",".301","75.9 %","53.1 %","10.2 %","3.36","3.48","3.71","14.6","11682"
"Larry Andersen","- - -","40","38","49","685","1","975.1","6.88","2.77","0.53",".290","73.0 %","","","3.14","3.00","","14.6","1000236"
"Jaime Garcia","- - -","70","62","0","218","188","1135.0","7.33","2.93","0.87",".301","70.9 %","55.3 %","12.1 %","3.85","3.77","3.69","14.5","8137"
"Bobby Jones","- - -","89","83","0","246","241","1518.2","5.26","2.45","1.15",".290","69.1 %","37.3 %","13.9 %","4.36","4.49","4.34","14.5","1039"
"Dan Quisenberry","- - -","56","46","244","674","0","1043.1","3.27","1.40","0.51",".276","76.2 %","","","2.77","3.24","","14.5","1010622"
"Tim Leary","- - -","78","105","1","292","224","1491.1","5.36","3.23","0.89",".296","70.0 %","","","4.36","4.09","","14.5","1007438"
"Jose Fernandez","Marlins","38","17","0","76","76","471.1","11.25","2.67","0.59",".292","77.2 %","43.0 %","8.5 %","2.58","2.44","2.72","14.5","11530"
"Phil Niekro","Braves","71","59","1","175","172","1192.1","5.42","3.26","0.89",".270","73.8 %","","","3.56","3.94","","14.5","1009583"
"Paul Quantrill","- - -","68","78","21","841","64","1255.2","5.20","2.41","0.80",".316","73.3 %","47.2 %","5.1 %","3.83","3.98","4.16","14.4","669"
"Matt Harvey","- - -","44","49","0","145","140","827.0","8.29","2.52","1.08",".293","72.5 %","43.8 %","12.1 %","4.04","3.78","3.81","14.4","11713"
"Randy Myers","- - -","44","63","347","728","12","884.2","8.99","4.03","0.70",".289","77.4 %","","","3.19","3.32","","14.4","1009427"
"Wade Davis","- - -","63","51","137","512","88","943.1","8.47","3.50","0.89",".287","74.3 %","39.7 %","9.0 %","3.73","3.76","4.00","14.3","7441"
"Brett Anderson","- - -","59","61","3","188","176","997.1","6.15","2.40","0.88",".307","70.6 %","56.8 %","12.3 %","4.05","3.91","3.83","14.3","8223"
"David Robertson","- - -","53","33","137","661","0","663.2","11.93","3.61","0.77",".292","78.8 %","43.5 %","10.3 %","2.90","2.84","2.94","14.3","8241"
"Roberto Hernandez","- - -","67","71","326","1010","3","1071.1","7.94","3.88","0.81",".293","75.0 %","48.1 %","11.9 %","3.45","3.86","4.44","14.3","605"
"Kirk Rueter","- - -","130","92","0","340","336","1918.0","3.84","2.73","1.03",".285","70.9 %","46.7 %","9.5 %","4.27","4.66","5.00","14.2","1128"
"Danny Duffy","Royals","60","61","1","209","181","1055.0","7.90","3.31","1.09",".293","75.1 %","36.8 %","10.0 %","3.98","4.19","4.53","14.0","3542"
"Danny Cox","- - -","74","75","8","278","174","1298.0","5.01","3.00","0.71",".284","71.3 %","","","3.64","3.76","","14.0","1002695"
"Eric Gagne","- - -","33","26","187","402","48","643.2","10.04","3.16","1.06",".274","75.9 %","40.0 %","9.4 %","3.47","3.59","2.56","14.0","650"
"Mike Pelfrey","- - -","68","103","1","275","256","1476.1","5.11","3.30","0.85",".314","70.1 %","48.7 %","9.1 %","4.68","4.46","4.67","13.8","5203"
"Dennis Leonard","Royals","71","56","0","162","157","1106.1","4.82","2.38","1.00",".275","70.7 %","","","3.96","3.92","","13.8","1007531"
"Colby Lewis","- - -","77","72","0","233","195","1215.0","7.12","2.79","1.32",".294","69.9 %","35.5 %","10.8 %","4.70","4.47","4.42","13.7","1259"
"Bob Wickman","- - -","63","61","267","835","28","1059.0","6.67","3.67","0.68",".299","74.7 %","47.3 %","9.7 %","3.57","3.91","3.92","13.7","413"
"Bruce Ruffin","- - -","60","82","63","469","152","1268.0","5.98","4.01","0.65",".309","69.4 %","","","4.19","3.85","","13.7","1011294"
"Julio Teheran","Braves","77","73","0","229","226","1360.0","7.84","3.03","1.16",".268","75.9 %","38.0 %","11.2 %","3.67","4.23","4.37","13.7","6797"
"Bill Wegman","Brewers","81","90","2","262","216","1482.2","4.22","2.14","1.14",".277","70.1 %","","","4.16","4.35","","13.7","1013727"
"Jake Odorizzi","- - -","62","55","1","191","188","1028.2","8.60","3.11","1.20",".277","74.5 %","33.1 %","10.4 %","3.88","4.09","4.43","13.7","6397"
"Jay Howell","- - -","58","53","155","568","21","844.2","7.10","3.10","0.61",".286","74.8 %","","","3.34","3.20","","13.7","1006098"
"Mark Clark","- - -","74","71","0","219","197","1246.1","5.26","2.65","1.11",".296","69.4 %","","","4.61","4.46","","13.6","1002296"
"Alex Wood","- - -","53","43","0","179","136","839.0","8.24","2.55","0.85",".300","74.9 %","49.0 %","11.3 %","3.40","3.49","3.53","13.6","13781"
"Kevin Gausman","- - -","47","63","0","191","154","925.2","8.31","2.72","1.26",".314","74.0 %","43.1 %","13.5 %","4.30","4.12","3.98","13.5","14107"
"Dustin Hermanson","- - -","73","78","56","357","180","1283.0","6.13","3.23","1.12",".284","71.0 %","40.8 %","9.6 %","4.21","4.51","4.47","13.5","195"
"Joe Magrane","- - -","57","67","0","190","166","1096.2","4.63","3.21","0.65",".278","71.0 %","","","3.81","3.96","","13.5","1007973"
"Ivan Nova","- - -","89","76","1","236","223","1328.2","6.46","2.43","1.23",".305","73.4 %","48.8 %","14.1 %","4.32","4.43","4.19","13.4","1994"
"Sterling Hitchcock","- - -","74","76","3","281","200","1285.2","6.98","3.30","1.27",".302","70.3 %","37.2 %","11.7 %","4.80","4.58","4.55","13.3","824"
"Jim Gott","- - -","56","74","91","554","96","1120.0","6.73","3.74","0.68",".291","70.6 %","","","3.87","3.60","","13.2","1004898"
"Atlee Hammaker","- - -","59","67","5","249","152","1078.2","5.13","2.39","0.78",".273","70.4 %","","","3.66","3.59","","13.1","1005281"
"Derek Holland","- - -","78","78","0","295","222","1375.2","7.49","3.26","1.32",".295","71.2 %","41.4 %","12.8 %","4.54","4.53","4.34","13.1","4141"
"Jon Gray","Rockies","43","33","0","115","114","641.1","9.40","2.96","1.09",".323","70.5 %","47.1 %","14.7 %","4.46","3.77","3.62","13.1","14916"
"Mike Stanton","- - -","68","63","84","1178","1","1114.0","7.23","3.39","0.75",".299","72.1 %","40.3 %","6.0 %","3.92","3.75","4.63","13.1","849"
"Chris Young","- - -","79","67","1","271","221","1297.2","7.37","3.48","1.29",".255","75.5 %","27.2 %","9.1 %","3.95","4.59","4.89","13.0","3196"
"Rick Helling","- - -","93","81","0","301","234","1526.1","6.24","3.31","1.46",".278","72.5 %","33.4 %","12.0 %","4.68","5.00","4.65","13.0","58"
"Kyle Gibson","Twins","67","68","0","193","188","1087.0","7.00","3.25","1.05",".308","70.7 %","51.5 %","14.1 %","4.52","4.29","4.10","13.0","10123"
"Rob Dibble","- - -","27","25","89","384","0","477.0","12.17","4.49","0.51",".289","75.9 %","","","2.98","2.43","","12.9","1003269"
"Bob Walk","- - -","105","81","5","350","259","1666.0","4.58","3.27","0.77",".278","70.3 %","","","4.04","4.06","","12.9","1013507"
"Rheal Cormier","- - -","71","64","2","683","108","1221.2","5.60","2.34","0.89",".288","70.0 %","52.2 %","12.0 %","4.03","3.97","4.10","12.8","952"
"Burt Hooton","- - -","57","53","5","223","159","1075.2","4.88","2.80","0.71",".277","71.7 %","","","3.62","3.62","","12.8","1006005"
"Luis Severino","Yankees","42","26","0","99","88","530.0","10.00","2.55","1.02",".294","75.0 %","46.2 %","13.4 %","3.46","3.35","3.30","12.8","15890"
"Jose Mesa","- - -","80","109","321","1022","95","1548.2","6.03","3.78","0.88",".301","71.8 %","44.4 %","9.5 %","4.36","4.31","4.92","12.7","961"
"J.R. Richard","Astros","28","17","0","55","55","406.0","9.58","3.06","0.33",".263","73.3 %","","","2.48","2.13","","12.7","1010913"
"Wade Miller","- - -","62","46","0","151","147","894.1","7.54","3.79","1.09",".284","73.3 %","42.5 %","9.9 %","4.10","4.29","4.30","12.6","568"
"Darren Dreifort","Dodgers","48","60","11","274","113","872.2","8.27","4.01","0.93",".298","70.0 %","56.0 %","15.9 %","4.36","4.09","3.24","12.6","647"
"Lary Sorensen","- - -","68","81","5","286","179","1313.1","2.97","2.17","0.84",".298","68.4 %","","","4.32","4.07","","12.6","1012279"
"Greg Harris","- - -","74","90","54","703","98","1467.0","7.00","4.00","0.79",".278","72.6 %","","","3.69","3.85","","12.6","1005415"
"Zack Wheeler","Mets","44","38","0","126","126","749.1","8.72","3.24","0.90",".300","73.6 %","46.5 %","10.9 %","3.77","3.71","3.91","12.6","10310"
"Paul Assenmacher","- - -","61","44","56","884","1","855.2","8.49","3.31","0.77",".304","74.4 %","","","3.53","3.31","","12.6","1000344"
"Andrew Miller","- - -","54","54","59","556","66","780.0","10.65","4.18","0.87",".305","71.3 %","46.5 %","11.9 %","4.02","3.61","3.52","12.6","6785"
"Cal Eldred","- - -","86","74","9","341","192","1368.0","6.18","3.79","1.14",".278","72.5 %","38.5 %","11.9 %","4.42","4.71","4.18","12.5","1653"
"Jon Niese","- - -","69","68","0","211","197","1189.1","6.92","2.78","0.99",".310","72.1 %","50.1 %","12.3 %","4.07","4.02","3.82","12.5","4424"
"Edinson Volquez","- - -","93","88","0","287","273","1540.2","7.71","4.28","0.93",".299","71.1 %","48.4 %","11.1 %","4.45","4.32","4.29","12.5","3990"
"Mike LaCoss","- - -","94","95","12","399","228","1643.2","4.12","3.72","0.51",".288","69.1 %","","","3.99","3.88","","12.4","1007240"
"Mark Gardner","- - -","99","93","1","345","275","1764.2","6.41","3.20","1.21",".283","70.3 %","","","4.56","4.53","","12.4","1004529"
"Scott Feldman","- - -","78","84","0","342","204","1386.1","5.73","2.85","1.05",".292","69.3 %","47.1 %","11.4 %","4.43","4.43","4.32","12.4","6283"
"Brandon Morrow","- - -","51","43","40","334","113","859.0","9.19","3.86","0.92",".294","72.6 %","39.6 %","9.3 %","3.96","3.77","3.91","12.4","9346"
"Jesse Orosco","- - -","84","76","141","1131","4","1234.1","8.22","4.00","0.77",".263","77.2 %","","","3.04","3.55","","12.3","667"
"Ryan Madson","- - -","61","48","91","740","18","869.2","8.02","2.59","0.85",".302","75.9 %","48.1 %","10.4 %","3.48","3.57","3.62","12.3","1852"
"Francisco Cordero","- - -","47","53","329","800","0","824.2","8.69","4.09","0.70",".300","76.3 %","42.9 %","7.1 %","3.38","3.63","3.78","12.3","1243"
"Keith Foulke","- - -","41","37","191","619","8","786.2","8.21","2.22","1.08",".259","77.8 %","31.2 %","9.2 %","3.33","3.72","4.23","12.3","231"
"Norm Charlton","- - -","51","54","97","605","37","899.1","8.09","4.09","0.70",".288","71.9 %","","","3.71","3.62","","12.2","1002160"
"Robbie Ray","- - -","47","46","0","149","146","790.2","11.09","4.05","1.25",".313","75.0 %","41.0 %","15.1 %","4.11","3.97","3.72","12.2","11486"
"Jason Jennings","- - -","62","74","1","225","180","1128.1","5.97","4.03","1.09",".309","70.7 %","45.2 %","11.7 %","4.95","4.75","4.63","12.2","434"
"Joaquin Benoit","- - -","58","49","53","764","55","1068.2","8.91","3.68","1.09",".265","74.0 %","36.1 %","9.8 %","3.83","3.99","4.11","12.2","1437"
"Omar Daal","- - -","68","78","1","392","164","1198.2","6.05","3.31","1.05",".295","70.2 %","40.6 %","11.4 %","4.55","4.45","4.31","12.2","646"
"Ken Forsch","- - -","59","51","1","158","144","1033.2","3.26","2.04","0.77",".262","71.7 %","","","3.54","3.86","","12.2","1004234"
"Gil Heredia","- - -","57","51","4","267","128","954.0","5.16","2.08","1.08",".303","69.0 %","","","4.46","4.29","","12.1","1005686"
"Bruce Berenyi","- - -","44","55","0","142","131","781.2","6.99","4.89","0.37",".299","68.9 %","","","4.03","3.36","","12.1","1000864"
"Jeff Montgomery","- - -","46","52","304","700","1","868.2","7.59","3.07","0.84",".281","76.5 %","","","3.27","3.59","","12.1","1009071"
"Collin McHugh","- - -","58","43","0","210","119","800.2","8.67","2.61","1.05",".303","73.6 %","40.8 %","11.0 %","3.95","3.73","3.88","12.0","7531"
"Joe Hesketh","- - -","60","47","21","339","114","961.2","6.79","3.54","0.80",".296","71.2 %","","","3.78","3.68","","12.0","1005747"
"Nathan Eovaldi","- - -","46","54","0","179","160","917.2","6.96","2.88","0.94",".307","71.2 %","46.7 %","10.5 %","4.30","3.97","4.10","12.0","9132"
"Hisashi Iwakuma","Mariners","63","39","2","150","136","883.2","7.27","1.88","1.17",".279","77.9 %","47.6 %","13.4 %","3.42","3.87","3.60","12.0","13048"
"Mike Smithson","- - -","76","86","2","240","204","1356.1","4.85","2.54","1.11",".290","69.9 %","","","4.59","4.30","","12.0","1012181"
"Chris Hammond","- - -","66","62","3","441","136","1123.2","5.70","3.10","0.84",".295","70.4 %","44.4 %","7.8 %","4.14","4.07","4.03","12.0","92"
"Oliver Perez","- - -","72","91","4","669","195","1440.0","9.54","4.71","1.23",".294","73.7 %","33.9 %","11.1 %","4.38","4.51","4.45","12.0","1514"
"Francisco Cordova","Pirates","42","47","12","166","112","753.2","6.41","2.81","0.90",".294","71.2 %","","","3.96","4.02","","11.9","1002623"
"Omar Olivares","- - -","77","86","4","349","229","1591.2","4.82","3.87","0.90",".293","70.0 %","","","4.67","4.70","","11.9","1009771"
"Pat Rapp","- - -","70","91","0","259","239","1387.1","5.35","4.43","0.86",".300","70.0 %","","","4.68","4.75","","11.9","1010700"
"Shaun Marcum","- - -","61","48","1","195","167","1030.0","7.30","2.74","1.22",".274","74.9 %","38.2 %","10.8 %","3.93","4.26","4.14","11.9","6204"
"Mike Timlin","- - -","75","73","141","1058","4","1204.1","6.52","2.82","0.88",".286","74.2 %","46.6 %","11.1 %","3.63","3.94","4.03","11.9","1187"
"Koji Uehara","- - -","22","26","95","436","12","480.2","10.71","1.46","1.12",".253","80.2 %","30.0 %","9.8 %","2.66","2.85","3.01","11.9","9227"
"Dick Ruthven","- - -","70","62","0","190","175","1104.1","4.25","2.82","0.76",".291","68.0 %","","","4.29","3.87","","11.8","1011330"
"Brian Lawrence","- - -","50","63","0","168","152","963.0","5.58","2.50","0.94",".296","71.3 %","50.7 %","11.1 %","4.19","4.13","4.14","11.7","1045"
"Dennis Rasmussen","- - -","91","77","0","256","235","1460.2","5.14","3.22","1.08",".269","70.9 %","","","4.15","4.34","","11.6","1010703"
"Mark Hendrickson","- - -","58","74","1","328","166","1169.0","5.13","2.66","1.12",".308","66.0 %","44.8 %","10.8 %","5.03","4.51","4.47","11.6","1574"
"Jeremy Guthrie","- - -","91","109","0","306","273","1765.1","5.33","2.60","1.27",".285","72.5 %","40.7 %","11.0 %","4.42","4.78","4.64","11.6","2072"
"Jason Johnson","- - -","56","100","0","255","221","1357.0","5.37","3.30","1.20",".301","68.3 %","49.2 %","11.8 %","4.99","4.83","4.38","11.6","147"
"Jose Rosado","Royals","37","45","1","125","112","720.1","6.05","2.96","1.07",".279","69.2 %","","","4.27","4.42","","11.6","1011192"
"Marco Estrada","- - -","62","68","0","283","194","1251.1","7.87","2.84","1.43",".264","72.6 %","32.3 %","11.0 %","4.29","4.45","4.59","11.6","1118"
"Eric Show","- - -","101","89","7","332","235","1655.0","5.28","3.32","0.93",".262","74.3 %","","","3.66","4.12","","11.6","1011937"
"Greg Holland","- - -","24","22","206","466","0","459.0","11.53","4.06","0.59",".292","75.7 %","43.6 %","7.6 %","2.96","2.77","3.22","11.6","7196"
"Wei-Yin Chen","- - -","59","51","0","219","170","1064.2","7.15","2.28","1.32",".293","73.6 %","38.4 %","11.9 %","4.18","4.27","4.23","11.5","13071"
"Troy Percival","- - -","35","43","358","703","1","708.2","9.92","3.89","1.08",".230","78.1 %","28.1 %","9.4 %","3.17","3.87","4.82","11.5","29"
"Brad Lidge","- - -","26","32","225","603","1","603.1","11.92","4.28","0.85",".308","75.8 %","40.9 %","10.4 %","3.54","3.27","3.27","11.5","563"
"Jaret Wright","- - -","68","60","2","226","171","972.2","6.42","4.32","0.92",".311","67.6 %","41.7 %","7.8 %","5.09","4.58","4.73","11.4","415"
"Mike Sirotka","White Sox","45","42","0","125","111","710.1","5.51","2.62","1.09",".309","69.0 %","","","4.31","4.39","","11.4","1012015"
"Rudy May","- - -","38","30","7","157","52","541.0","6.32","2.28","0.55",".281","71.8 %","","","3.13","2.89","","11.3","1008310"
"Frank Pastore","- - -","48","58","6","220","139","986.1","4.94","2.75","0.73",".290","67.9 %","","","4.29","3.64","","11.3","1010048"
"Garrett Richards","- - -","45","39","2","173","118","753.1","7.84","3.27","0.76",".283","70.2 %","52.4 %","10.5 %","3.60","3.64","3.70","11.3","9784"
"Mike Henneman","- - -","57","42","193","561","0","732.1","6.55","3.33","0.58",".285","74.2 %","","","3.21","3.45","","11.3","1005656"
"Andrew Cashner","- - -","57","87","1","300","188","1196.0","6.78","3.33","0.98",".292","70.7 %","47.8 %","11.1 %","4.10","4.25","4.38","11.3","8782"
"Dellin Betances","Yankees","21","22","36","358","1","381.2","14.64","4.01","0.61",".286","80.2 %","47.6 %","11.5 %","2.36","2.31","2.33","11.3","6216"
"Terry Adams","- - -","51","62","42","574","41","869.1","7.15","3.93","0.65",".312","70.0 %","57.7 %","11.1 %","4.17","3.80","3.93","11.3","946"
"Mike Bielecki","- - -","70","73","5","347","178","1231.0","5.72","3.63","0.85",".286","70.4 %","","","4.18","4.08","","11.2","1000951"
"Jason Isringhausen","- - -","51","55","300","724","52","1007.2","7.41","3.90","0.76",".278","73.6 %","45.7 %","8.7 %","3.64","3.95","4.04","11.2","1158"
"Rodrigo Lopez","- - -","81","89","0","257","215","1350.2","5.76","2.77","1.35",".299","69.8 %","41.8 %","12.2 %","4.82","4.73","4.43","11.2","150"
"Todd Jones","- - -","58","63","319","982","1","1071.2","7.29","3.72","0.78",".305","72.7 %","45.7 %","8.8 %","3.97","3.95","4.16","11.1","436"
"Sean Doolittle","- - -","23","21","111","390","0","388.0","10.60","1.76","0.88",".270","75.0 %","29.8 %","7.6 %","3.02","2.69","3.45","11.1","1581"
"Mike Clevinger","Indians","41","21","0","97","84","500.2","10.12","3.47","0.93",".285","78.7 %","40.0 %","10.9 %","3.20","3.48","3.81","11.0","12808"
"Blake Snell","Rays","38","28","0","97","97","506.0","10.41","3.81","0.89",".294","76.3 %","41.8 %","10.7 %","3.24","3.42","3.76","11.0","13543"
"Tomo Ohka","- - -","51","68","0","202","178","1070.0","4.96","2.54","1.18",".293","71.9 %","42.3 %","10.9 %","4.26","4.59","4.56","11.0","788"
"Bud Norris","- - -","67","90","47","355","188","1221.1","8.50","3.57","1.15",".308","71.8 %","41.7 %","11.9 %","4.45","4.20","4.02","11.0","9492"
"Jamey Wright","- - -","97","130","2","719","248","2036.2","5.25","4.32","0.88",".302","69.3 %","55.9 %","11.3 %","4.81","4.87","4.49","11.0","715"
"Byung-Hyun Kim","- - -","54","60","86","394","87","841.0","8.63","4.02","1.01",".295","71.1 %","43.8 %","10.5 %","4.42","4.25","4.37","11.0","61"
"Justin Thompson","- - -","36","43","0","103","101","648.2","5.94","3.26","1.01",".281","71.9 %","50.0 %","100.0 %","4.02","4.41","3.48","11.0","8217"
"B.J. Ryan","- - -","21","28","117","560","0","536.2","10.48","4.43","0.70",".288","75.7 %","41.9 %","7.5 %","3.37","3.33","3.41","11.0","168"
"Jeff Russell","- - -","56","73","186","589","79","1099.2","5.67","3.40","0.82",".279","71.9 %","","","3.75","3.96","","11.0","1011314"
"Matt Thornton","- - -","36","46","23","748","1","662.2","8.72","3.41","0.71",".296","74.7 %","48.2 %","8.7 %","3.41","3.41","3.61","10.9","1918"
"Ugueth Urbina","- - -","44","49","237","583","21","697.1","10.51","3.96","1.11",".266","77.0 %","25.7 %","9.4 %","3.45","3.70","4.13","10.9","216"
"Greg Hibbard","- - -","57","50","1","165","158","990.0","3.71","2.62","0.78",".284","68.5 %","","","4.05","4.11","","10.9","1005764"
"Michael Wacha","Cardinals","59","39","0","165","151","867.2","7.87","3.12","1.01",".299","73.5 %","45.8 %","12.0 %","3.91","3.96","4.00","10.8","14078"
"Matt Belisle","- - -","52","58","14","693","44","928.2","6.89","2.31","0.94",".319","69.4 %","46.9 %","10.7 %","4.32","3.84","3.82","10.8","1837"
"Jeremy Hellickson","- - -","76","75","0","232","224","1269.1","6.59","2.73","1.30",".269","73.3 %","39.3 %","11.9 %","4.13","4.55","4.48","10.8","4371"
"Elmer Dessens","- - -","52","64","5","441","140","1174.1","5.31","2.67","1.11",".300","71.1 %","47.7 %","11.7 %","4.44","4.44","4.36","10.8","317"
"Tyson Ross","- - -","44","70","1","203","142","904.2","8.12","3.86","0.73",".303","70.2 %","53.5 %","11.1 %","4.04","3.80","3.82","10.7","7872"
"Eduardo Rodriguez","Red Sox","51","31","0","127","122","699.0","9.10","3.18","1.13",".299","75.2 %","40.4 %","11.6 %","4.03","3.94","4.18","10.7","13164"
"Brian Anderson","- - -","82","83","1","291","245","1547.0","4.21","1.96","1.54",".285","69.1 %","38.6 %","12.3 %","4.74","5.06","4.73","10.7","44"
"Mike Fiers","- - -","69","59","0","205","186","1082.2","7.92","2.66","1.42",".284","76.3 %","39.0 %","13.7 %","4.02","4.45","4.29","10.7","7754"
"Jonathan Broxton","- - -","43","38","118","694","0","676.0","10.09","3.57","0.68",".304","73.2 %","47.3 %","9.1 %","3.41","3.14","3.31","10.7","4759"
"Alex Cobb","- - -","53","52","0","146","146","864.2","7.08","2.59","1.02",".290","73.4 %","53.0 %","13.8 %","3.85","4.00","3.79","10.6","6562"
"Ron Robinson","- - -","48","39","19","232","102","800.0","5.32","2.85","0.69",".292","71.0 %","","","3.63","3.61","","10.6","1011076"
"Huston Street","- - -","42","34","324","668","0","680.0","8.80","2.42","0.93",".263","78.1 %","36.9 %","8.9 %","2.95","3.33","3.55","10.6","8258"
"Luis Leal","Blue Jays","51","58","1","165","151","946.0","4.67","3.04","0.96",".278","71.4 %","","","4.14","4.16","","10.6","1007431"
"Steve Sparks","- - -","59","76","3","270","182","1319.2","4.49","3.55","1.05",".292","67.7 %","44.9 %","10.6 %","4.88","4.90","4.94","10.6","499"
"Dave Dravecky","- - -","64","57","10","226","146","1062.2","4.73","2.67","0.82",".258","75.5 %","","","3.13","3.83","","10.6","1003486"
"Julian Tavarez","- - -","88","82","23","828","108","1404.1","5.40","3.61","0.72",".310","68.2 %","54.7 %","8.0 %","4.46","4.35","4.52","10.5","541"
"Martin Perez","- - -","53","56","0","173","157","926.2","5.80","3.27","1.01",".313","68.5 %","50.6 %","12.3 %","4.72","4.48","4.54","10.5","6902"
"Bryan Harvey","- - -","17","25","177","321","0","387.0","10.42","3.35","0.70",".259","79.1 %","","","2.49","2.67","","10.5","1005469"
"Danny Salazar","Indians","38","34","0","109","105","591.1","10.47","3.24","1.14",".309","75.3 %","41.3 %","12.8 %","3.82","3.61","3.45","10.5","5867"
"Pete Vuckovich","- - -","67","45","1","151","146","988.1","4.94","3.28","0.75",".284","72.3 %","","","3.71","3.85","","10.5","1013461"
"Scott Garrelts","Giants","69","53","48","352","89","959.1","6.60","3.87","0.69",".263","74.4 %","","","3.29","3.65","","10.5","1004546"
"Scott Bankhead","- - -","57","48","1","267","110","901.0","6.13","2.89","1.11",".275","71.2 %","","","4.18","4.09","","10.4","1000510"
"Mark Melancon","- - -","28","26","194","583","0","583.1","8.25","2.14","0.52",".294","74.2 %","56.3 %","9.2 %","2.85","2.86","3.05","10.4","4264"
"Carlos Silva","- - -","70","70","2","316","180","1241.2","4.02","1.73","1.11",".310","69.8 %","47.9 %","11.0 %","4.68","4.49","4.40","10.4","973"
"Bill Krueger","- - -","68","66","4","301","164","1194.1","4.82","3.72","0.78",".300","67.8 %","","","4.35","4.18","","10.4","1007175"
"Kip Wells","- - -","69","103","2","296","219","1338.1","6.48","4.27","1.02",".298","70.2 %","49.3 %","11.6 %","4.71","4.68","4.52","10.4","1012"
"Jose Lima","- - -","89","102","5","348","235","1567.2","5.63","2.26","1.53",".297","67.8 %","39.1 %","12.4 %","5.26","4.91","5.02","10.4","475"
"Sergio Romo","- - -","40","32","129","708","5","623.0","10.00","2.09","0.95",".269","77.9 %","38.1 %","9.6 %","2.92","3.08","3.34","10.3","9817"
"J.J. Putz","- - -","37","33","189","572","0","566.2","9.51","2.92","0.79",".284","77.9 %","47.9 %","9.4 %","3.08","3.21","3.31","10.2","1795"
"Dave Bush","- - -","56","69","0","211","187","1144.1","6.04","2.33","1.34",".287","68.7 %","42.2 %","11.9 %","4.73","4.69","4.40","10.2","4635"
"Ramiro Mendoza","- - -","59","40","16","342","62","797.0","5.23","2.04","0.93",".304","70.1 %","50.0 %","12.2 %","4.30","4.08","3.98","10.2","836"
"German Marquez","Rockies","38","24","0","96","93","552.2","9.23","2.39","1.30",".313","72.6 %","47.5 %","17.0 %","4.32","3.93","3.58","10.2","15038"
"Rafael Soriano","- - -","24","28","207","591","8","636.1","9.07","2.79","0.88",".258","79.5 %","32.2 %","7.7 %","2.89","3.35","3.76","10.1","1100"
"Scott Karl","- - -","54","56","0","178","161","1002.0","4.61","3.31","1.08",".306","69.5 %","","","4.81","4.87","","10.1","1006703"
"Steve Howe","- - -","47","41","91","497","0","606.0","4.87","2.06","0.48",".276","72.2 %","","","3.03","3.21","","10.0","1006107"
"Chien-Ming Wang","- - -","68","34","1","174","126","845.2","4.19","2.68","0.69",".299","69.0 %","58.5 %","9.7 %","4.36","4.19","4.27","10.0","2074"
"Jeff Reardon","- - -","73","77","367","880","0","1132.1","6.97","2.85","0.87",".266","77.8 %","","","3.16","3.49","","10.0","1010741"
"Pete Schourek","- - -","66","77","2","288","176","1149.0","6.37","3.29","1.10",".296","69.5 %","","","4.59","4.42","","10.0","1011608"
"Andy McGaffigan","- - -","38","33","24","363","62","833.1","6.59","3.18","0.59",".284","72.8 %","","","3.38","3.28","","10.0","1008497"
"Kent Tekulve","- - -","69","76","132","781","0","1030.2","4.72","3.06","0.41",".269","74.5 %","","","2.94","3.34","","10.0","1012905"
"Kelly Downs","- - -","57","53","1","237","135","963.2","5.58","3.48","0.68",".275","70.9 %","","","3.86","3.81","","9.9","1003453"
"Jose Berrios","Twins","43","34","0","104","103","596.2","8.82","2.94","1.18",".293","71.5 %","40.7 %","12.0 %","4.21","4.10","4.36","9.9","14168"
"Armando Benitez","- - -","40","47","289","762","0","779.0","10.93","4.66","1.10",".251","80.4 %","33.5 %","9.7 %","3.13","3.86","4.27","9.9","865"
"Heath Bell","- - -","38","32","168","590","0","628.2","9.12","3.06","0.69",".312","74.5 %","48.2 %","8.9 %","3.49","3.17","3.31","9.9","2080"
"Bruce Sutter","- - -","47","55","232","483","0","752.2","6.61","2.70","0.69",".270","76.0 %","","","3.01","3.20","","9.8","1012743"
"Donovan Osborne","- - -","49","46","0","163","140","873.2","5.75","2.53","1.03",".287","70.4 %","35.4 %","9.5 %","4.03","4.15","4.91","9.8","299"
