"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Arquimedes Caminero","- - -","7","5","1","149","0","155.0","8.30","4.01","1.05",".296","76.1%","43.6%","11.0%","98.5","3.83","","4.36","4.46","-0.3","8992","491708"
"Kevin Frederick","- - -","0","2","0","30","0","40.1","6.02","5.80","1.56",".297","61.1%","44.8%","13.7%","","7.59","","5.95","5.51","-0.3","1536","407864"
"Ryan Hendrix","CIN","5","1","0","45","0","40.0","9.90","4.95","1.80",".330","69.9%","42.2%","21.1%","96.4","5.85","","5.43","4.46","-0.3","19535","641682"
"Juan Moreno","- - -","3","3","0","49","0","47.1","7.42","7.23","1.33",".171","69.4%","14.3%","6.7%","","4.37","","5.72","10.44","-0.4","1465","276539"
"Mike Porzio","CHW","3","3","0","35","3","57.0","6.63","3.79","1.89",".272","74.1%","36.4%","15.8%","","5.21","","5.77","4.91","-0.4","252","150053"
"Michael Roth","- - -","2","1","0","23","1","36.0","7.25","4.00","1.25",".385","57.1%","47.9%","14.7%","87.7","8.50","","4.95","4.46","-0.4","13736","607706"
"Brad Thompson","- - -","21","21","1","201","32","405.1","4.22","2.69","1.09",".289","71.3%","51.9%","12.0%","86.9","4.46","","4.92","4.66","-0.4","4911","433581"
"Parker Mushinski","HOU","0","0","0","31","0","33.0","7.09","3.27","1.64",".293","69.5%","45.2%","18.2%","92.7","5.45","","5.62","4.82","-0.4","21324","656786"
"Justin Wrobleski","LAD","1","2","1","8","6","36.1","6.44","3.96","2.23",".245","70.3%","30.9%","18.4%","95.1","5.70","","6.36","5.18","-0.4","31204","680736"
"Cody Ponce","PIT","1","7","0","20","5","55.1","7.81","2.77","2.11",".331","66.4%","40.4%","18.8%","93.4","5.86","","5.47","4.69","-0.4","17920","664074"
"Roberto Novoa","- - -","7","7","0","131","0","141.2","7.31","4.00","1.46",".296","72.4%","40.6%","13.1%","","4.51","","5.08","4.71","-0.4","2217","430604"
"Kelvin Jimenez","STL","3","0","0","49","0","66.0","4.77","4.36","0.95",".330","62.9%","44.3%","9.7%","93.6","6.82","","5.20","5.22","-0.4","2902","459376"
"Anthony Castro","- - -","1","2","1","38","0","39.0","10.38","4.38","2.31",".324","64.7%","48.2%","25.6%","94.9","6.00","","5.87","4.22","-0.4","19789","621593"
"Jake Latz","TEX","2","4","0","50","1","54.2","8.07","4.94","1.48",".250","83.6%","34.4%","12.3%","94.9","3.46","","5.23","5.17","-0.4","21306","656641"
"Victor Alcantara","DET","4","3","0","79","0","80.0","5.63","2.81","1.58",".275","77.7%","52.3%","17.3%","93.2","4.28","","5.30","4.90","-0.4","15028","622505"
"Josh Lueke","- - -","2","5","0","72","0","87.2","7.70","3.39","1.23",".335","63.8%","38.5%","10.5%","94.6","6.16","","4.34","4.24","-0.4","5722","518961"
"Gregg Olson","LAD","0","2","0","41","0","42.1","8.29","5.74","1.70",".310","62.7%","","","","6.80","","5.68","","-0.4","1009791","120002"
"Daniel Gossett","OAK","4","14","0","23","23","115.2","6.54","3.03","2.02",".314","69.2%","42.9%","19.8%","92.1","5.91","","5.67","4.72","-0.4","16164","605254"
"Max Meyer","MIA","3","6","0","13","13","63.0","7.43","3.00","2.29",".291","70.8%","49.5%","21.9%","94.2","5.86","","5.96","4.40","-0.4","27474","676974"
"Jacob Nix","SDP","2","5","0","9","9","42.1","4.46","2.76","1.70",".306","62.3%","39.7%","14.0%","93.0","7.02","","5.83","5.60","-0.4","17775","656798"
"Josh Banks","- - -","4","8","0","27","19","119.1","4.15","3.17","1.51",".300","69.6%","36.7%","11.6%","87.4","5.66","","5.54","5.26","-0.4","5570","457468"
"Brett de Geus","- - -","3","4","0","60","0","61.1","7.04","4.26","0.88",".357","54.8%","52.5%","13.3%","94.0","7.48","","4.83","4.83","-0.4","23592","676969"
"Yasuhiko Yabuta","KCR","3","4","0","43","0","51.2","5.92","4.18","1.57",".343","63.9%","42.7%","12.9%","90.6","7.14","","5.46","4.98","-0.4","3277","493161"
"Rony Garcia","DET","4","3","0","33","10","75.2","7.61","2.85","2.02",".239","65.5%","31.7%","17.0%","93.1","5.35","","5.48","4.70","-0.4","20430","665621"
