"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Robb Nen","SFG","14","10","129","215","0","217.1","11.02","2.53","0.50",".279","78.2%","46.6%","3.3%","","2.28","","2.21","2.77","8.0","1123","119718"
"Rick Helling","- - -","49","47","0","169","132","847.1","6.29","3.06","1.46",".284","72.3%","33.4%","12.0%","","4.65","","4.89","4.65","8.0","58","115727"
"Damaso Marte","- - -","23","26","36","565","0","495.0","9.64","4.05","0.82",".276","76.2%","36.1%","8.2%","93.1","3.38","","3.62","3.93","7.9","247","150122"
"Luke Weaver","- - -","34","45","4","206","106","658.1","9.21","2.93","1.37",".318","69.3%","38.7%","13.7%","94.0","4.85","","4.19","4.11","7.9","16918","596133"
"Tommy Hanson","- - -","49","35","0","123","121","708.0","8.24","3.17","0.99",".292","74.0%","39.5%","9.4%","92.0","3.80","","3.86","3.97","7.9","9129","462102"
"Trevor Rosenthal","- - -","12","25","132","373","0","364.0","12.12","4.38","0.47",".331","75.1%","44.3%","6.4%","98.1","3.36","","2.75","3.29","7.8","10745","572096"
"Daniel Cabrera","- - -","48","65","1","162","155","892.1","6.80","5.24","0.93",".293","68.5%","47.2%","9.8%","93.4","5.10","","4.89","4.98","7.8","1931","425555"
"Bobby Jenks","- - -","16","20","173","348","0","357.1","8.84","3.10","0.65",".301","73.1%","53.6%","9.4%","95.2","3.53","","3.21","3.27","7.8","8645","408057"
"Jordan Lyles","- - -","72","107","2","357","245","1509.0","6.83","2.94","1.41",".299","66.7%","43.8%","13.7%","92.7","5.22","","4.78","4.57","7.8","7593","543475"
"Jesus Luzardo","- - -","26","34","2","105","89","512.0","9.83","3.16","1.25",".296","71.7%","40.0%","13.4%","96.3","4.29","","3.97","3.89","7.7","19959","666200"
"Kevin Slowey","- - -","43","36","0","137","106","662.0","6.73","1.51","1.35",".317","71.6%","31.8%","9.8%","90.3","4.62","","4.16","4.18","7.7","9918","458713"
"Clayton Richard","- - -","69","84","1","275","210","1284.2","5.77","3.07","1.04",".305","69.9%","53.6%","13.5%","91.2","4.51","","4.45","4.19","7.7","3551","453385"
"Brian Fuentes","- - -","26","43","204","650","0","613.1","9.38","3.79","0.94",".280","75.9%","34.1%","8.7%","90.9","3.62","","3.87","4.08","7.7","429","150118"
"Bailey Ober","MIN","25","21","0","88","88","471.1","9.24","1.95","1.39",".270","75.1%","32.9%","11.6%","91.8","3.76","","3.90","4.02","7.7","21224","641927"
"Shelby Miller","- - -","47","66","3","254","133","875.2","7.55","3.54","1.01",".283","71.8%","41.9%","9.8%","94.3","4.11","","4.18","4.41","7.7","10197","571946"
"Glen Perkins","MIN","35","25","120","409","44","624.1","7.27","2.28","1.07",".305","74.2%","40.6%","9.9%","94.3","3.88","","3.90","3.96","7.7","8041","450282"
"Miguel Gonzalez","- - -","52","57","0","155","148","883.2","6.28","2.91","1.25",".280","75.1%","38.1%","11.0%","91.9","4.06","","4.62","4.72","7.7","7024","456068"
"Devin Williams","MIL","27","10","68","241","0","235.2","14.32","4.28","0.57",".260","81.8%","48.1%","10.1%","95.0","1.83","","2.39","2.62","7.6","15816","642207"
"Jesse Chavez","- - -","51","65","9","653","85","1134.0","8.22","2.84","1.29",".302","72.8%","41.7%","13.3%","93.8","4.24","","4.21","3.99","7.6","5448","445926"
"Noah Lowry","SFG","40","31","0","106","100","618.1","6.11","3.62","0.93",".283","73.4%","40.6%","8.3%","85.9","4.03","","4.40","4.76","7.6","1833","430161"
"Brad Keller","- - -","38","57","2","166","116","720.1","6.72","3.97","0.89",".300","71.7%","51.6%","11.0%","94.1","4.34","","4.40","4.65","7.5","15734","641745"
"Paul Wilson","- - -","35","46","0","144","127","792.2","5.79","3.01","1.26",".299","70.6%","41.9%","12.7%","","4.77","","4.75","4.69","7.5","1234","124417"
"Brett Cecil","- - -","44","47","12","443","74","756.0","7.98","3.20","1.14",".303","72.9%","43.5%","11.8%","91.1","4.29","","4.13","3.95","7.5","2660","446399"
"Yusei Kikuchi","- - -","41","47","1","166","154","809.2","9.30","3.13","1.57",".304","72.7%","44.1%","17.3%","94.7","4.57","","4.53","3.98","7.5","20633","579328"
"Jason Isringhausen","- - -","33","33","291","644","0","648.2","8.12","3.84","0.75",".258","75.6%","45.7%","8.7%","91.3","3.18","","3.73","4.04","7.4","1158","116414"
"Hunter Greene","CIN","18","25","0","72","72","388.0","11.25","3.55","1.28",".281","76.7%","32.6%","12.0%","98.4","3.90","","3.99","3.96","7.4","22182","668881"
"Mike Adams","- - -","21","20","4","408","0","407.1","9.04","2.78","0.73",".262","81.1%","44.9%","8.0%","92.7","2.41","","3.09","3.39","7.3","1937","430606"
"Cole Ragans","- - -","18","17","0","70","53","322.1","10.14","3.46","0.78",".287","72.8%","40.9%","8.7%","95.4","3.46","","3.29","3.71","7.3","21846","666142"
"Will Smith","- - -","33","45","114","618","17","652.1","10.32","3.28","1.16",".296","72.4%","38.2%","12.2%","92.8","3.85","","3.70","3.69","7.3","8048","519293"
"Tom Gorzelanny","- - -","50","53","2","314","121","883.2","7.27","3.94","1.00",".300","72.3%","41.5%","9.2%","90.9","4.40","","4.37","4.50","7.3","6244","452733"
"Tyler Skaggs","- - -","28","38","0","96","96","520.2","8.23","3.06","1.09",".306","70.7%","43.4%","11.9%","91.9","4.41","","4.05","4.11","7.3","10190","572140"
"Hector Neris","- - -","43","41","107","608","0","600.2","11.09","3.40","1.15",".282","78.1%","38.6%","12.6%","94.1","3.33","","3.68","3.72","7.3","11804","593576"
"Jakob Junis","- - -","42","45","2","192","116","780.1","8.22","2.28","1.44",".306","72.6%","42.0%","14.6%","91.6","4.48","","4.38","4.19","7.3","13619","596001"
"Matt Strahm","- - -","32","35","9","329","35","455.0","10.13","2.57","1.13",".278","76.6%","36.2%","11.3%","93.4","3.44","","3.64","3.93","7.2","13799","621381"
"Tommy Hunter","- - -","56","47","22","508","76","917.1","6.27","2.04","1.27",".284","73.5%","43.3%","12.1%","94.2","4.07","","4.32","4.12","7.2","1157","488984"
"Andrew Chafin","- - -","21","27","20","601","3","508.1","9.83","3.81","0.66",".300","73.8%","48.1%","9.0%","93.0","3.42","","3.29","3.67","7.2","12988","605177"
"Kelvin Herrera","- - -","27","32","61","522","0","513.2","8.94","2.80","0.88",".290","77.5%","45.7%","10.8%","98.3","3.21","","3.44","3.60","7.1","6033","516969"
"Joe Kelly","- - -","54","38","7","485","81","839.0","8.23","3.81","0.78",".301","71.9%","51.8%","11.5%","97.7","3.98","","3.87","3.89","7.1","9761","523260"
"Jeff D'Amico","- - -","30","39","0","98","91","561.1","5.61","2.36","1.19",".291","68.4%","37.3%","10.2%","","4.47","","4.39","4.54","7.1","871","113026"
"Matt Shoemaker","- - -","46","41","0","128","115","662.2","7.88","2.36","1.36",".286","73.1%","41.3%","13.2%","91.6","4.24","","4.26","4.10","7.1","4776","533167"
"Jaret Wright","- - -","40","37","2","152","97","556.0","6.47","4.34","0.81",".321","66.9%","41.7%","7.8%","","5.10","","4.37","4.74","7.1","415","124605"
"A.J. Minter","ATL","24","29","36","384","0","348.2","10.89","3.17","0.70",".311","73.6%","39.9%","8.0%","96.1","3.28","","2.89","3.49","7.0","18655","621345"
"Steve Sparks","- - -","32","43","3","167","96","752.2","4.52","2.89","0.99",".296","66.0%","44.9%","10.6%","","4.74","","4.55","4.96","7.0","499","122562"
"Mike Stanton","- - -","33","34","19","567","0","516.2","7.04","3.36","0.63",".308","72.8%","40.3%","6.0%","88.4","3.83","","3.64","4.64","7.0","849","122681"
"Tommy Milone","- - -","53","53","3","198","148","953.1","6.73","2.20","1.53",".295","70.3%","37.6%","13.2%","87.9","4.58","","4.64","4.41","6.9","7608","543548"
"John Means","BAL","23","26","0","78","73","401.0","7.50","1.77","1.62",".241","77.9%","32.3%","12.5%","92.4","3.68","","4.56","4.88","6.9","16269","607644"
"Joe Ross","- - -","29","34","0","123","86","517.1","8.16","2.96","1.15",".304","72.6%","42.8%","12.2%","94.2","4.19","","4.13","4.23","6.9","12972","605452"
"Mike Foltynewicz","- - -","46","54","0","166","142","825.0","8.20","3.00","1.48",".289","72.9%","38.7%","14.1%","95.8","4.52","","4.62","4.47","6.9","10811","592314"
"Yordano Ventura","KCR","38","31","0","94","93","547.2","7.72","3.47","0.89",".295","74.9%","49.9%","11.0%","97.3","3.89","","3.98","4.00","6.9","11855","570649"
"Jamey Wright","- - -","72","97","2","627","157","1495.0","5.72","4.32","0.84",".296","70.2%","55.9%","11.3%","91.7","4.53","","4.70","4.49","6.9","715","124604"
"Bob Howry","- - -","40","46","29","656","0","665.2","7.06","2.65","1.05",".281","72.8%","34.5%","8.4%","92.4","3.92","","4.04","4.33","6.8","237","133982"
"Todd Jones","- - -","30","39","191","590","1","605.1","6.68","3.15","0.83",".318","70.8%","45.7%","8.8%","90.9","4.30","","3.95","4.17","6.8","436","116734"
"Kyle Farnsworth","- - -","38","57","57","866","5","858.2","9.36","3.77","1.09",".302","72.8%","41.2%","11.1%","96.1","4.14","","3.92","3.75","6.8","278","150035"
"Joba Chamberlain","- - -","25","21","7","385","43","555.1","8.85","3.66","0.92",".313","74.5%","46.8%","11.0%","94.8","3.81","","3.83","3.73","6.8","2692","501955"
"Cody Allen","- - -","24","31","153","481","0","463.2","11.51","3.75","1.07",".293","79.6%","33.9%","10.8%","95.1","3.14","","3.43","3.61","6.8","12183","592102"
"Drew Rasmussen","- - -","20","12","2","99","50","310.2","8.72","2.38","0.67",".276","74.6%","48.5%","8.6%","96.7","2.95","","3.01","3.42","6.8","25385","656876"
"Todd Ritchie","- - -","26","42","0","99","94","564.1","5.49","2.73","1.20",".303","65.2%","40.5%","11.9%","","5.06","","4.58","5.04","6.8","253","121234"
"Cal Quantrill","- - -","43","34","1","161","123","719.0","6.72","2.93","1.13",".288","74.2%","42.9%","11.4%","94.3","4.07","","4.46","4.66","6.8","19312","615698"
"Chris Martin","- - -","16","18","14","369","0","346.2","9.27","1.17","0.93",".323","74.7%","48.4%","12.8%","95.4","3.38","","2.96","2.96","6.8","11847","455119"
"Chad Bradford","- - -","34","27","10","529","0","481.1","5.65","2.34","0.50",".300","74.9%","63.7%","7.8%","80.5","3.14","","3.52","3.76","6.8","904","136268"
"Grant Balfour","- - -","30","23","84","534","1","539.2","9.52","4.20","0.78",".263","75.1%","36.0%","7.7%","94.0","3.49","","3.55","3.86","6.8","718","346797"
"Joe Smith","- - -","55","34","30","866","0","762.1","7.86","3.00","0.78",".276","77.0%","54.2%","11.6%","90.0","3.14","","3.66","3.63","6.8","3281","501925"
"Trevor Rogers","- - -","15","34","0","84","84","410.1","9.17","3.64","0.92",".320","70.4%","43.7%","10.2%","94.0","4.36","","3.81","4.08","6.7","22286","669432"
"Josh Tomlin","- - -","69","56","2","286","150","1067.0","6.21","1.29","1.66",".288","69.3%","37.8%","14.1%","88.9","4.77","","4.65","4.28","6.7","9388","458708"
"Tony Armas Jr.","- - -","53","64","0","184","166","919.2","6.64","4.20","1.19",".277","71.1%","39.3%","12.2%","89.5","4.67","","4.89","4.92","6.7","761","150393"
"Chase Anderson","- - -","59","58","4","247","201","1107.1","7.50","3.09","1.48",".279","74.0%","37.4%","13.6%","92.6","4.41","","4.81","4.68","6.7","6895","502624"
"Kirby Yates","- - -","26","21","95","422","0","411.1","12.49","3.59","1.18",".270","80.2%","38.9%","13.4%","93.7","3.17","","3.51","3.40","6.7","9073","489446"
"Spencer Turnbull","- - -","15","29","0","78","67","356.2","8.53","3.51","0.76",".300","69.1%","49.6%","9.5%","93.8","4.26","","3.83","4.36","6.7","16207","605513"
"Yusmeiro Petit","- - -","50","44","8","515","59","904.0","7.64","2.04","1.36",".269","73.9%","33.8%","11.0%","88.9","3.93","","4.12","4.26","6.7","4020","433589"
"Jose Leclerc","TEX","12","20","41","350","3","360.1","11.81","5.00","0.72",".263","75.0%","32.9%","7.4%","95.8","3.27","","3.44","4.23","6.7","14524","600917"
"Ryan Drese","- - -","34","39","0","105","96","565.2","4.79","3.39","0.78",".323","65.3%","50.5%","9.5%","","5.31","","4.38","4.60","6.7","379","400181"
"Cristian Javier","HOU","33","18","2","116","82","501.0","10.13","3.66","1.31",".244","78.6%","26.4%","10.8%","93.2","3.59","","4.18","4.51","6.7","17606","664299"
"Michael Lorenzen","- - -","47","44","15","368","93","854.1","7.36","3.67","1.05",".277","74.6%","46.2%","12.4%","95.1","3.99","","4.41","4.43","6.6","14843","547179"
"David Phelps","- - -","34","40","7","367","67","682.2","8.78","3.60","0.94",".297","74.8%","42.1%","10.5%","92.7","3.80","","3.87","4.00","6.6","6316","475479"
"Ryan Yarbrough","- - -","53","40","3","196","68","768.0","7.02","2.07","1.16",".279","70.8%","39.3%","11.2%","87.9","4.21","","4.24","4.53","6.6","16502","642232"
"Zach McAllister","- - -","29","35","1","287","68","597.0","8.25","3.03","1.07",".319","70.5%","39.4%","10.0%","93.8","4.15","","3.91","4.12","6.6","2895","502083"
"Jeff Niemann","TBR","40","26","0","97","92","544.1","6.76","2.93","1.07",".281","72.7%","43.9%","10.4%","92.0","4.08","","4.23","4.14","6.6","8591","435298"
"Cristopher Sanchez","PHI","17","16","1","72","53","333.2","8.01","2.27","0.89",".302","71.0%","57.1%","14.2%","","3.70","","3.51","3.31","6.6","20778","650911"
"Chris Paddack","- - -","27","24","0","85","82","423.2","8.86","1.89","1.42",".293","69.8%","41.3%","14.3%","94.2","4.38","","3.98","3.90","6.6","20099","663978"
"Paul Quantrill","- - -","29","21","6","459","0","485.0","5.10","2.06","0.54",".317","72.2%","47.2%","5.1%","","3.69","","3.50","4.17","6.6","669","120824"
"Dylan Floro","- - -","32","26","32","396","0","402.2","7.93","2.73","0.54",".315","71.1%","50.6%","7.1%","92.8","3.49","","3.16","3.79","6.6","13394","571670"
"Braden Looper","- - -","69","61","103","594","97","1089.2","5.08","2.82","1.02",".286","72.3%","48.4%","11.3%","87.8","4.17","","4.50","4.36","6.5","526","131702"
"Tanner Scott","- - -","31","24","55","383","0","368.2","11.86","4.93","0.68",".314","73.5%","49.6%","12.2%","96.9","3.56","","3.35","3.38","6.5","17586","656945"
"Brian Wilson","- - -","24","25","172","394","0","382.0","9.59","4.12","0.52",".311","76.4%","48.1%","6.4%","96.3","3.30","","3.20","3.61","6.4","6485","451216"
"Archie Bradley","- - -","30","29","32","333","35","489.0","8.96","3.70","0.85",".313","73.1%","48.5%","11.1%","94.6","4.03","","3.76","4.00","6.4","12918","605151"
"Pedro Strop","- - -","29","30","32","561","0","505.2","9.86","4.13","0.61",".260","74.8%","54.0%","10.0%","95.7","3.20","","3.41","3.58","6.4","4070","467008"
"John Patterson","- - -","18","25","1","88","78","454.1","8.22","3.55","1.19",".292","74.1%","31.0%","10.1%","87.8","4.32","","4.25","4.36","6.4","71","279568"
"Josh Fogg","- - -","62","69","0","243","194","1159.0","4.87","3.08","1.28",".294","69.0%","42.8%","11.7%","87.7","5.03","","5.02","4.89","6.3","989","150319"
"Hong-Chih Kuo","LAD","13","17","13","218","14","292.1","10.62","3.91","0.55",".289","69.7%","40.9%","6.2%","94.3","3.73","","2.97","3.45","6.3","7016","425539"
"Will Harris","- - -","23","20","21","447","0","420.0","9.69","2.44","0.86",".287","77.6%","49.0%","12.3%","92.6","2.94","","3.11","3.12","6.3","3192","501789"
"Tanner Bibee","CLE","22","12","0","56","56","315.2","9.35","2.54","1.00",".286","78.5%","35.6%","9.4%","94.8","3.25","","3.54","3.95","6.3","30134","676440"
"Jonathan Sanchez","- - -","39","58","0","194","137","786.1","9.11","5.00","1.04",".294","70.9%","40.7%","10.3%","91.2","4.70","","4.42","4.38","6.3","7507","456043"
"Addison Reed","- - -","19","27","125","465","0","458.2","9.20","2.34","1.04",".297","76.4%","35.6%","9.5%","93.2","3.53","","3.42","3.76","6.3","10586","592665"
"Aaron Sanchez","- - -","38","38","3","174","113","685.0","7.11","3.84","0.95",".288","72.3%","52.7%","12.7%","94.3","4.16","","4.39","4.42","6.3","11490","592717"
"Mike Maroth","- - -","50","67","0","161","150","918.0","4.34","2.57","1.30",".303","68.2%","45.1%","12.3%","85.1","5.05","","4.94","4.70","6.3","1508","400077"
"Alex Colome","- - -","34","35","159","450","19","539.0","7.96","3.14","0.83",".283","72.4%","47.1%","9.9%","95.0","3.36","","3.74","4.07","6.3","6661","517008"
"Vance Worley","- - -","35","36","2","163","97","667.0","6.71","2.97","0.90",".321","73.1%","46.0%","9.9%","90.6","4.09","","4.02","4.17","6.3","6435","474699"
"Pat Neshek","- - -","36","25","16","544","0","488.0","8.69","2.45","1.05",".247","80.1%","33.9%","9.0%","77.4","2.82","","3.60","3.98","6.2","4682","450212"
"Jason Grilli","- - -","34","47","79","595","16","684.2","9.12","3.84","1.00",".303","73.1%","37.7%","9.4%","93.6","4.22","","3.96","4.09","6.2","521","276351"
"Adrian Houser","- - -","32","39","1","152","104","608.2","7.16","3.61","0.93",".295","69.3%","51.8%","12.3%","94.1","4.21","","4.27","4.35","6.2","12718","605288"
"Bob Wickman","- - -","13","24","193","383","0","370.2","7.36","2.94","0.66",".299","76.2%","47.3%","9.7%","90.9","3.08","","3.47","3.93","6.2","413","124233"
"Jose Alvarado","- - -","15","25","45","380","1","342.1","11.49","4.94","0.58",".296","71.5%","52.4%","9.7%","98.2","3.44","","3.21","3.48","6.2","17780","621237"
"Garrett Crochet","CHW","9","19","0","104","32","219.0","12.08","3.00","0.86",".309","74.3%","43.4%","10.6%","97.2","3.29","","2.84","3.05","6.1","27463","676979"
"Tony Gonsolin","LAD","34","11","1","79","71","375.2","8.36","3.14","1.05",".226","77.1%","38.8%","10.2%","93.5","3.19","","4.00","4.40","6.1","19388","664062"
"Jason Frasor","- - -","35","35","36","679","0","646.2","8.56","3.94","0.78",".289","76.3%","43.5%","8.7%","93.7","3.49","","3.74","3.95","6.1","1906","430630"
"Carlos Villanueva","- - -","51","55","11","476","76","998.2","7.77","2.91","1.25",".288","73.8%","39.7%","11.8%","89.4","4.31","","4.27","4.05","6.1","4138","453646"
"Justin Duchscherer","- - -","33","25","14","224","32","454.2","6.87","2.40","0.93",".265","77.6%","41.9%","8.6%","86.3","3.13","","3.86","4.00","6.1","910","407113"
"Brian Anderson","- - -","42","52","0","170","141","897.0","4.15","2.02","1.54",".288","68.4%","38.6%","12.3%","","4.68","","5.05","4.75","6.1","44","110230"
"Josh Towers","- - -","45","55","1","139","112","731.1","4.79","1.51","1.50",".307","69.1%","42.6%","13.3%","87.6","4.95","","4.83","4.43","6.1","1489","346869"
"Jim Johnson","- - -","38","46","178","674","2","704.2","6.78","3.03","0.69",".303","71.8%","56.4%","10.2%","94.6","3.79","","3.76","3.85","6.1","3656","462382"
"Brandon Lyon","- - -","42","47","79","572","21","681.1","6.14","2.91","0.91",".299","71.9%","41.7%","8.6%","92.3","4.16","","4.08","4.36","6.0","1312","407193"
"Brad Ziegler","- - -","37","38","105","739","0","717.1","6.01","3.11","0.40",".288","76.6%","66.7%","9.3%","85.6","2.75","","3.50","3.59","6.0","7293","446899"
"Frank Castillo","- - -","26","30","1","90","74","443.1","6.27","3.15","1.04",".278","68.9%","41.9%","9.4%","","4.38","","4.31","4.53","6.0","180","112113"
"Jon Rauch","- - -","43","40","62","556","11","595.0","7.18","2.71","1.06",".277","72.4%","34.4%","8.3%","91.6","3.90","","4.00","4.36","6.0","1475","400010"
"Carlos Marmol","- - -","23","35","117","519","13","577.0","11.60","6.16","0.76",".262","77.3%","35.2%","8.0%","94.4","3.57","","3.95","4.26","6.0","2790","461791"
"Justin Wilson","- - -","34","29","20","587","0","513.2","9.83","3.91","0.84",".298","75.6%","45.9%","10.1%","95.5","3.61","","3.57","3.82","5.9","4301","458677"
"Tony Watson","- - -","47","29","32","689","0","648.1","7.91","2.42","0.87",".261","79.3%","44.5%","10.0%","93.5","2.90","","3.59","3.86","5.9","3132","453265"
"Scott Barlow","- - -","23","21","58","365","0","387.0","10.72","3.81","0.81",".303","75.2%","43.2%","10.1%","93.9","3.49","","3.39","3.74","5.9","14993","605130"
"Luis Garcia","HOU","28","19","0","69","63","352.0","9.31","2.86","1.18",".274","76.1%","37.3%","11.5%","93.7","3.61","","3.79","3.94","5.9","23735","677651"
"Ramon Ortiz","- - -","85","83","0","294","209","1400.0","5.47","3.05","1.47",".286","70.9%","40.6%","13.0%","90.6","4.89","","5.13","4.80","5.9","27","150009"
"Juan Rincon","- - -","35","29","3","444","3","507.0","8.33","3.87","0.73",".304","69.9%","45.4%","8.3%","92.9","4.03","","3.69","3.94","5.9","752","346799"
"Casey Janssen","- - -","31","29","90","437","22","533.0","6.67","2.18","0.88",".287","73.6%","45.8%","9.4%","91.2","3.63","","3.77","3.89","5.9","7355","445163"
"Tyler Chatwood","- - -","52","60","5","229","143","878.2","6.76","4.73","0.90",".300","72.7%","53.9%","13.4%","94.2","4.45","","4.62","4.48","5.9","4338","543022"
"Denny Neagle","- - -","34","32","0","106","98","579.1","6.48","3.36","1.52",".290","70.8%","38.4%","14.7%","","5.19","","5.05","4.77","5.9","441","119673"
"Kyle Bradish","BAL","18","14","0","61","61","325.2","9.18","2.90","0.91",".287","75.3%","48.4%","11.8%","","3.56","","3.60","3.63","5.8","24586","680694"
"Ryan Helsley","STL","28","14","84","239","0","263.2","10.72","3.65","0.75",".259","78.8%","37.2%","8.2%","99.0","2.63","","3.12","3.74","5.8","18138","664854"
"Mychal Givens","- - -","32","24","31","425","1","461.2","10.51","3.72","1.05",".282","76.3%","38.0%","12.1%","95.0","3.47","","3.76","3.91","5.8","10430","571710"
"Giovanny Gallegos","- - -","18","21","45","311","0","335.2","10.62","2.36","1.18",".265","74.5%","34.3%","11.4%","94.0","3.49","","3.39","3.67","5.8","14986","606149"
"Nick Martinez","- - -","37","45","9","240","103","774.1","6.44","2.87","1.26",".283","73.9%","42.0%","11.8%","92.3","4.09","","4.63","4.59","5.7","12730","607259"
"John Maine","- - -","41","36","0","112","105","593.0","7.57","4.10","1.23",".267","71.5%","37.7%","10.9%","92.3","4.45","","4.70","4.57","5.7","4773","429720"
"Shane Reynolds","- - -","35","35","0","94","93","557.0","5.43","2.71","1.24",".305","68.3%","46.0%","12.8%","","4.94","","4.65","4.56","5.7","574","121110"
"Domingo German","- - -","31","29","0","119","91","543.0","9.30","2.88","1.62",".267","71.1%","39.4%","15.7%","93.3","4.54","","4.56","4.21","5.7","17149","593334"
"Henderson Alvarez","- - -","27","35","0","95","95","577.2","4.71","2.18","0.87",".291","72.7%","54.8%","11.9%","94.3","3.82","","4.15","4.00","5.7","5669","506693"
"David Hernandez","- - -","38","47","24","547","27","648.2","9.21","3.51","1.22",".290","75.0%","32.5%","10.6%","94.7","4.12","","4.12","4.22","5.7","4259","456696"
"Trevor May","- - -","36","28","33","358","26","450.1","10.39","3.30","1.20",".310","72.4%","35.0%","11.5%","95.0","4.24","","3.79","3.93","5.6","6398","543507"
"Brent Suter","- - -","41","22","3","300","44","529.2","7.53","2.29","1.10",".288","74.4%","43.9%","12.2%","86.5","3.45","","3.96","4.04","5.6","13942","608718"
"Brian Bannister","- - -","37","50","0","117","114","667.1","5.18","3.02","1.16",".290","66.3%","42.3%","10.0%","89.6","5.08","","4.77","4.76","5.6","5718","446454"
"Scott Williamson","- - -","16","21","36","282","10","346.0","10.48","5.23","0.70",".287","74.7%","40.8%","8.9%","86.2","3.62","","3.61","3.82","5.6","361","150182"
"Austin Gomber","- - -","35","40","0","156","112","648.0","7.01","2.82","1.44",".297","70.6%","41.2%","13.6%","91.3","4.86","","4.71","4.52","5.6","16561","596295"
"Chad Qualls","- - -","52","48","74","844","0","807.1","6.96","2.35","0.93",".301","71.9%","57.7%","13.4%","92.5","3.89","","3.80","3.51","5.6","2170","430589"
"Dinelson Lamet","- - -","17","24","1","121","60","367.2","11.60","4.16","1.30",".298","69.3%","37.4%","14.2%","95.6","4.63","","4.04","3.98","5.6","17186","659275"
"Jason Bere","- - -","24","31","0","81","81","449.2","7.67","3.92","1.24",".296","67.6%","39.7%","11.0%","","5.00","","4.52","4.40","5.6","266","110891"
"Brendan Donnelly","- - -","32","10","6","387","0","385.1","8.62","3.60","0.82",".276","76.9%","36.2%","7.5%","90.8","3.22","","3.68","4.16","5.5","1441","407791"
"Hunter Brown","HOU","24","22","0","69","61","346.0","9.86","3.17","1.14",".316","73.8%","51.5%","15.9%","96.0","4.06","","3.84","3.45","5.5","25880","686613"
"Kyle Kendrick","- - -","81","83","0","255","214","1289.1","4.92","2.59","1.24",".291","70.6%","45.3%","12.0%","90.8","4.68","","4.81","4.55","5.5","6230","452718"
"Jeremy Affeldt","- - -","43","46","28","774","42","926.0","7.00","3.85","0.74",".296","71.8%","52.3%","9.8%","94.6","3.97","","4.01","4.11","5.5","583","346793"
"Aaron Loup","- - -","23","30","8","591","2","515.0","8.39","2.83","0.68",".305","72.3%","51.9%","9.8%","90.6","3.43","","3.50","3.71","5.5","10343","571901"
"Michael Gonzalez","- - -","17","24","56","509","0","444.1","10.35","4.15","0.85",".292","77.8%","39.1%","9.6%","92.9","3.14","","3.50","3.60","5.4","1794","283166"
"Alek Manoah","TOR","29","20","0","75","75","420.0","8.83","3.39","1.03",".257","76.6%","37.7%","10.2%","93.5","3.34","","4.13","4.43","5.4","26410","666201"
"Jesse Crain","- - -","45","30","4","532","0","532.0","7.44","3.48","0.74",".268","76.5%","43.1%","7.4%","95.2","3.05","","3.77","4.18","5.4","4817","430884"
"Dane Dunning","- - -","28","32","0","124","102","572.2","8.13","3.35","1.18",".304","73.9%","49.3%","14.2%","91.2","4.35","","4.38","4.18","5.4","19409","641540"
"Joe Mays","- - -","42","59","0","157","136","826.0","4.33","2.85","1.24",".296","67.3%","45.9%","13.2%","","5.19","","4.90","4.91","5.4","740","150222"
"Frank Francisco","- - -","20","22","73","391","0","386.1","9.92","4.01","0.96",".297","73.5%","34.3%","9.0%","94.9","4.01","","3.68","3.86","5.4","1933","407911"
"David Peterson","NYM","28","24","0","101","85","454.0","9.20","3.91","1.01",".311","74.1%","50.3%","14.6%","93.1","4.08","","4.08","3.88","5.3","20302","656849"
"Robert Person","- - -","28","19","1","84","77","481.0","7.82","4.38","1.12",".267","72.6%","30.5%","8.1%","","4.30","","4.53","5.77","5.3","966","120447"
"Jeurys Familia","- - -","34","29","127","561","1","555.2","9.35","4.31","0.71",".303","74.2%","54.5%","10.9%","96.8","3.58","","3.64","3.78","5.3","5114","544727"
"Aaron Bummer","- - -","18","18","5","345","0","327.1","10.39","4.04","0.55",".317","69.8%","64.9%","13.2%","94.0","3.79","","3.18","3.18","5.3","16258","607481"
"Nick Vincent","- - -","23","23","7","412","2","411.2","8.85","2.30","0.94",".287","76.8%","33.5%","8.7%","90.1","3.30","","3.41","4.01","5.3","7555","543883"
"Reid Detmers","LAA","16","28","0","75","75","385.2","9.75","3.62","1.28",".313","69.9%","36.6%","12.3%","93.8","4.90","","4.27","4.24","5.3","27468","672282"
"Alexi Ogando","- - -","33","19","4","284","48","504.1","7.28","3.32","0.95",".270","76.2%","38.8%","9.0%","95.8","3.50","","4.04","4.27","5.3","10261","468396"
"Brian Duensing","- - -","46","38","3","484","61","762.2","6.17","3.04","0.92",".303","71.9%","46.3%","9.4%","92.3","4.19","","4.14","4.30","5.3","4064","488846"
"Braxton Garrett","MIA","16","19","0","65","63","326.1","8.83","2.26","1.10",".317","74.0%","48.2%","14.5%","90.9","4.03","","3.84","3.60","5.3","21844","666129"
"Ugueth Urbina","- - -","15","25","135","345","0","350.2","10.60","3.88","1.15",".259","77.5%","25.7%","9.4%","","3.49","","3.67","4.15","5.2","216","123584"
