"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Nick Johnson","- - -","832","3316","95","430","398","29","15.7%","17.2%",".173",".307",".268",".399",".441",".370","","126","-14.8","95.4","-53.9","14.9","828","276376"
"Yoan Moncada","- - -","735","3097","93","372","339","31","9.7%","29.3%",".171",".343",".254",".331",".425",".327","","106","12.4","38.7","3.0","14.8","17232","660162"
"Melky Cabrera","- - -","1887","7527","144","895","854","101","6.8%","11.8%",".132",".308",".285",".334",".417",".326","","101","-11.8","-3.1","-103.8","14.8","4022","466320"
"Garret Anderson","- - -","1500","6142","215","729","972","46","4.7%","13.7%",".181",".304",".289",".320",".470",".334","","102","-4.0","11.3","-69.2","14.8","2","110236"
"Stephen Drew","- - -","1268","4917","123","565","524","41","8.8%","18.8%",".171",".290",".252",".318",".423",".321","","92","1.0","-47.1","33.4","14.8","4251","452220"
"Sean Murphy","- - -","438","1698","67","214","215","1","10.3%","22.9%",".201",".279",".240",".336",".441",".338","","119","-7.1","32.0","56.8","14.8","19352","669221"
"Alex Avila","- - -","1052","3638","105","352","397","8","14.5%","29.4%",".159",".319",".233",".348",".393",".328","","104","-28.8","-11.9","33.0","14.7","7476","488671"
"Kyle Schwarber","- - -","979","3968","246","579","548","22","13.9%","28.6%",".265",".258",".227",".340",".492",".352","","120","-2.1","97.0","-85.8","14.7","16478","656941"
"Kole Calhoun","- - -","1239","4988","179","636","582","34","9.0%","22.6%",".175",".282",".242",".315",".417",".317","","100","4.3","6.5","-32.2","14.7","11200","594777"
"Bryan Reynolds","PIT","638","2654","98","359","323","28","9.5%","21.7%",".199",".327",".277",".354",".476",".354","","122","1.8","73.4","-19.0","14.6","19326","668804"
"Pete Alonso","NYM","684","2912","192","402","498","14","9.9%","22.3%",".277",".259",".251",".342",".528",".363","","133","-13.5","108.2","-58.8","14.5","19251","624413"
"Cesar Hernandez","- - -","1186","4797","71","590","369","91","9.4%","19.3%",".108",".325",".267",".341",".375",".315","","96","5.7","-17.0","3.5","14.5","10556","514917"
"Rafael Palmeiro","- - -","891","3782","208","506","608","11","13.8%","11.7%",".249",".253",".270",".373",".519",".377","","125","-11.4","110.3","-91.3","14.5","1266","120191"
"Wil Myers","- - -","1100","4290","156","533","533","107","9.7%","27.2%",".185",".320",".252",".326",".437",".328","","107","16.4","56.5","-54.6","14.5","10047","571976"
"Reggie Sanders","- - -","839","3201","154","446","480","110","8.2%","22.8%",".232",".295",".260",".327",".492",".348","","109","12.0","46.9","-6.8","14.5","1129","121673"
"Edgar Martinez","SEA","668","2805","111","339","481","9","14.5%","16.3%",".204",".321",".295",".401",".499",".386","","138","-16.8","120.5","-67.7","14.5","1086","118365"
"Ian Happ","CHC","836","3129","125","391","392","51","11.9%","27.4%",".205",".315",".249",".343",".454",".342","","115","2.1","60.7","-24.3","14.4","17919","664023"
"Edgardo Alfonzo","- - -","829","3390","84","414","405","22","10.2%","9.0%",".142",".286",".280",".357",".422",".342","","106","1.9","30.5","6.7","14.4","859","110135"
"Jose Iglesias","- - -","1096","4043","47","438","366","59","4.3%","12.4%",".103",".310",".279",".319",".382",".305","","87","-5.5","-71.1","78.1","14.4","10231","578428"
"Jackie Bradley Jr.","- - -","1182","4192","109","514","449","69","8.6%","25.4%",".157",".283",".225",".303",".381",".297","","82","20.2","-70.9","73.0","14.4","12984","598265"
"Bill Mueller","- - -","772","3091","67","427","335","9","10.6%","11.0%",".153",".305",".288",".367",".440",".352","","112","-15.4","29.9","11.5","14.3","295","119482"
"Brandon Inge","- - -","1532","5617","152","563","648","45","7.9%","23.3%",".152",".281",".233",".301",".384",".301","","81","-4.0","-135.0","86.6","14.3","470","276346"
"Mark Canha","- - -","924","3541","113","468","417","43","9.9%","20.5%",".172",".291",".250",".349",".422",".337","","117","3.5","76.6","-56.9","14.2","11445","592192"
"Joc Pederson","- - -","1140","3856","186","516","485","22","11.5%","23.7%",".227",".268",".237",".336",".464",".342","","117","-2.2","78.5","-66.0","14.1","11899","592626"
"Gregg Zaun","- - -","925","3146","75","347","356","14","12.0%","13.8%",".143",".278",".256",".349",".399",".331","","96","-16.3","-31.8","67.8","14.1","580","124748"
"Morgan Ensberg","- - -","731","2580","110","340","347","22","12.9%","16.9%",".205",".280",".263",".362",".468",".360","","116","-12.1","39.9","17.6","14.1","556","348563"
"Brandon Lowe","TBR","504","2016","105","280","305","25","10.5%","27.6%",".239",".294",".245",".334",".484",".348","","126","17.0","82.4","-8.2","14.1","18882","664040"
"Josh Harrison","- - -","1209","4347","73","500","388","91","4.3%","15.2%",".125",".305",".270",".316",".396",".310","","95","11.4","-17.1","11.5","14.0","8202","543281"
"Julio Lugo","- - -","1352","5338","80","688","475","198","8.2%","16.4%",".115",".312",".269",".333",".384",".317","","88","14.6","-64.8","27.0","13.9","565","150061"
"Gleyber Torres","NYY","734","3008","123","380","378","49","8.9%","20.3%",".187",".300",".267",".334",".454",".338","","116","-6.6","52.6","-16.3","13.8","16997","650402"
"Cameron Maybin","- - -","1162","4251","72","556","354","187","8.7%","21.7%",".120",".317",".254",".323",".374",".307","","93","32.6","-1.5","-1.3","13.7","5223","457727"
"Ryan Ludwick","- - -","1065","3986","154","454","587","17","8.5%","22.3%",".191",".303",".260",".330",".451",".340","","110","-2.4","49.2","-36.8","13.7","1260","407886"
"Alcides Escobar","- - -","1554","6182","45","670","478","178","4.1%","14.0%",".087",".296",".258",".295",".345",".281","","72","41.0","-165.0","91.7","13.7","6310","444876"
"Jose Cruz","- - -","1073","4179","153","536","469","81","11.9%","20.1%",".198",".279",".247",".336",".445",".337","","101","9.8","16.3","-17.8","13.7","1296","112903"
"Jarrod Dyson","- - -","992","2833","21","387","185","266","8.5%","16.9%",".088",".291",".244",".314",".332",".286","","76","55.0","-27.3","64.8","13.6","4866","502481"
"Nick Castellanos","- - -","1379","5702","210","675","762","32","6.3%","23.6%",".199",".331",".276",".324",".475",".340","","112","-19.1","67.1","-126.2","13.5","11737","592206"
"Aaron Hicks","- - -","963","3588","108","463","387","71","12.7%","21.5%",".154",".273",".233",".332",".387",".316","","99","22.0","21.5","-7.8","13.5","5297","543305"
"J.P. Crawford","- - -","668","2781","46","341","249","22","11.3%","18.0%",".124",".299",".252",".344",".376",".319","","106","-0.9","18.7","20.4","13.4","15491","641487"
"Eddie Rosario","- - -","1030","4028","159","533","548","56","5.2%","19.6%",".192",".299",".268",".305",".460",".323","","102","15.0","24.4","-32.1","13.4","12155","592696"
"Hideki Matsui","- - -","1236","5066","175","656","760","13","10.8%","13.6%",".180",".297",".282",".360",".462",".357","","119","-1.4","118.9","-158.5","13.3","1659","425686"
"Seth Smith","- - -","1249","4084","126","525","458","22","10.6%","19.5%",".185",".300",".261",".344",".446",".342","","112","-3.9","51.4","-55.3","13.3","7331","452234"
"Christian Vazquez","- - -","835","2988","61","317","308","29","6.3%","18.6%",".121",".300",".257",".306",".378",".297","","82","-33.4","-98.3","129.5","13.2","9774","543877"
"Steve Finley","- - -","1045","4059","151","538","518","78","9.2%","13.1%",".195",".274",".267",".337",".462",".342","","101","13.3","20.1","-18.5","13.2","54","114135"
"Cody Ross","- - -","1073","3806","132","449","508","33","7.4%","21.0%",".183",".303",".262",".322",".445",".333","","103","7.6","23.7","-13.8","13.2","1760","425496"
"Gary Matthews Jr.","- - -","1258","4572","108","608","477","93","9.7%","18.4%",".149",".299",".258",".331",".407",".323","","93","15.0","-26.6","4.2","13.1","153","150439"
"Odubel Herrera","PHI","817","3181","78","376","305","68","6.6%","20.8%",".148",".326",".271",".326",".419",".321","","99","8.9","5.2","19.4","13.1","11476","546318"
"Joe Crede","- - -","888","3377","140","392","470","4","5.9%","13.6%",".190",".255",".254",".304",".444",".322","","90","-4.6","-45.4","61.7","13.1","227","150317"
"Phil Nevin","- - -","836","3414","157","445","564","15","9.7%","21.2%",".206",".318",".280",".352",".486",".358","","119","-5.8","82.2","-59.7","13.0","1049","119732"
"Will Venable","- - -","967","3146","81","378","307","135","8.1%","23.8%",".155",".310",".249",".315",".404",".314","","101","29.5","32.3","-4.2","13.0","211","461416"
"Andrew Benintendi","- - -","896","3784","78","468","429","82","9.5%","17.5%",".142",".320",".276",".347",".418",".331","","106","11.4","36.3","-37.7","12.9","17901","643217"
"Corey Hart","- - -","1048","4114","162","549","538","85","7.0%","20.7%",".207",".308",".271",".329",".478",".348","","113","0.7","65.4","-67.1","12.9","1945","430611"
"Harrison Bader","- - -","635","2108","59","273","217","77","7.3%","24.3%",".153",".299",".243",".310",".396",".304","","92","21.8","1.0","56.5","12.9","18030","664056"
"Adam Duvall","- - -","922","3393","184","427","536","22","6.7%","28.7%",".240",".271",".232",".291",".472",".322","","98","10.0","1.5","16.6","12.9","10950","594807"
"Wilmer Flores","- - -","1141","4001","149","455","506","5","6.8%","13.7%",".178",".272",".264",".319",".441",".326","","108","-21.2","19.2","-23.7","12.8","5827","527038"
"Yandy Diaz","- - -","609","2483","61","337","276","8","12.2%","14.9%",".148",".326",".290",".381",".438",".357","","132","-17.9","77.3","-33.3","12.8","16578","650490"
"Jerry Hairston","- - -","1386","4767","66","552","403","138","7.6%","11.5%",".110",".279",".257",".325",".366",".308","","87","10.9","-68.0","40.0","12.8","144","150020"
"Jamey Carroll","- - -","1276","4225","13","560","265","74","9.7%","13.8%",".066",".318",".272",".349",".338",".311","","87","13.8","-53.7","41.9","12.8","1591","425206"
"Omar Infante","- - -","1507","5698","82","609","542","80","5.2%","13.6%",".116",".301",".271",".308",".387",".304","","86","13.7","-83.6","22.4","12.7","1609","408299"
"Mike Lieberthal","- - -","757","2949","83","324","360","3","7.2%","11.0%",".161",".289",".278",".344",".438",".339","","102","-17.0","-10.5","43.1","12.7","959","117759"
"Roberto Alomar","- - -","657","2817","59","391","305","97","9.7%","12.2%",".143",".316",".291",".362",".435",".348","","108","7.0","37.1","-2.7","12.6","860","110183"
"Teoscar Hernandez","- - -","811","3209","159","422","473","42","7.0%","29.7%",".225",".330",".261",".316",".486",".340","","117","-3.9","60.4","-42.7","12.6","13066","606192"
"Martin Maldonado","- - -","1119","3720","111","349","361","3","7.7%","26.9%",".142",".259",".207",".282",".349",".277","","72","-25.9","-151.1","149.1","12.5","6887","455117"
"Jack Wilson","- - -","1370","5339","61","565","426","43","5.1%","11.6%",".101",".290",".265",".306",".366",".294","","75","9.0","-161.4","112.0","12.5","1017","333292"
"Didi Gregorius","- - -","1077","4259","134","503","530","37","6.0%","14.4%",".163",".271",".257",".308",".420",".312","","94","23.5","-7.7","-11.7","12.5","6012","544369"
"Christian Walker","- - -","702","2718","121","355","359","23","9.7%","22.4%",".212",".283",".250",".329",".462",".338","","111","5.2","42.8","-10.7","12.4","13419","572233"
"Brad Wilkerson","- - -","972","3753","122","500","399","53","13.1%","25.2%",".193",".311",".247",".350",".440",".343","","105","5.0","27.4","-27.4","12.4","804","150415"
"Rajai Davis","- - -","1448","4607","62","637","387","415","5.8%","18.3%",".117",".312",".262",".311",".379",".303","","86","65.5","-9.4","-26.2","12.3","3708","434658"
"Russell Branyan","- - -","1047","3352","193","401","461","16","11.9%","32.7%",".254",".295",".233",".329",".488",".349","","112","1.5","52.1","-41.9","12.3","370","137140"
"Nick Ahmed","ARI","888","3163","70","344","322","41","6.8%","19.8%",".142",".273",".234",".288",".376",".285","","73","5.8","-98.7","119.3","12.3","12147","605113"
"Craig Biggio","HOU","1151","5068","139","724","469","68","7.4%","15.4%",".163",".293",".266",".338",".428",".335","","98","13.7","-0.1","-41.8","12.3","549","110987"
"David Bell","- - -","945","3784","88","413","422","9","8.4%","12.1%",".140",".272",".257",".325",".396",".316","","88","-8.8","-66.9","63.2","12.1","1108","110816"
"Rougned Odor","- - -","1154","4424","178","541","568","70","6.1%","23.6%",".192",".264",".230",".288",".422",".304","","85","13.6","-66.8","34.6","12.1","12282","596059"
"Randal Grichuk","- - -","1142","4261","191","536","556","27","5.5%","25.5%",".215",".295",".249",".296",".465",".323","","100","-7.4","-10.2","-13.4","12.1","10243","545341"
"Joe Randa","- - -","958","3859","84","449","493","12","6.9%","11.9%",".144",".300",".281",".335",".425",".330","","93","-3.2","-38.0","27.3","11.9","623","120922"
"Desmond Jennings","TBR","567","2351","55","311","191","95","9.3%","20.5%",".148",".292",".245",".322",".393",".317","","103","20.5","27.9","6.5","11.9","1965","457775"
"Corey Dickerson","- - -","1084","3938","136","483","469","30","5.8%","20.3%",".196",".324",".280",".323",".476",".339","","110","-10.5","37.1","-48.1","11.9","10762","572816"
"Andres Gimenez","- - -","416","1515","40","187","159","69","5.5%","20.2%",".152",".312",".264",".332",".417",".326","","112","11.6","30.8","36.4","11.9","19950","665926"
"Jay Payton","- - -","1231","4458","119","558","521","46","5.7%","11.1%",".147",".291",".278",".323",".426",".325","","92","-6.1","-48.7","19.1","11.9","890","134341"
"Drew Stubbs","- - -","911","3167","92","444","283","161","8.7%","30.7%",".149",".333",".242",".313",".391",".311","","89","40.0","-0.5","14.7","11.8","9328","453211"
"Addison Russell","CHC","615","2212","60","256","253","17","8.4%","24.1%",".150",".299",".242",".312",".392",".304","","87","6.6","-28.9","73.9","11.8","14106","608365"
"Chris Davis","- - -","1417","5630","295","707","780","19","9.9%","32.9%",".226",".301",".233",".315",".459",".332","","105","2.2","33.3","-114.3","11.8","9272","448801"
"Cedric Mullins II","BAL","546","2220","68","277","224","93","8.0%","19.8%",".173",".296",".257",".323",".429",".325","","108","14.7","34.5","7.9","11.7","17929","656775"
"Leonys Martin","- - -","770","2792","58","334","228","126","6.8%","22.8%",".123",".302",".244",".301",".367",".293","","81","23.3","-40.5","58.0","11.7","11846","547982"
"Adam Frazier","- - -","962","3500","56","433","317","52","7.4%","13.0%",".124",".298",".269",".331",".393",".315","","98","5.4","-3.2","3.2","11.7","15223","624428"
"Billy Hamilton","- - -","951","3285","24","454","189","326","7.0%","21.6%",".087",".303",".239",".292",".325",".273","","66","68.2","-70.3","76.5","11.6","10199","571740"
"Jedd Gyorko","- - -","847","2983","121","317","370","14","8.3%","22.5%",".180",".279",".245",".310",".424",".318","","101","-10.7","-5.4","23.8","11.6","10816","576397"
"Luis Robert","CHW","367","1519","74","219","210","46","5.3%","25.2%",".221",".334",".279",".327",".500",".351","","124","9.5","54.1","8.3","11.6","20043","673357"
"Rhys Hoskins","PHI","667","2877","148","392","405","15","13.5%","23.9%",".250",".273",".242",".353",".492",".360","","126","-3.9","87.9","-65.3","11.6","16472","656555"
"Adam LaRoche","- - -","1605","6329","255","752","882","13","10.3%","22.2%",".202",".300",".260",".336",".462",".343","","110","-30.2","47.2","-133.5","11.5","1904","425560"
"Jeimer Candelario","- - -","746","3036","88","360","318","15","9.6%","23.5%",".172",".297",".243",".325",".414",".321","","102","2.6","9.7","0.5","11.5","13621","600869"
"Tim Salmon","ANA","717","2900","103","378","356","19","13.5%","18.6%",".193",".304",".269",".374",".462",".364","","121","-0.7","76.1","-57.9","11.4","32","121640"
"Frank Catalanotto","- - -","1063","3714","67","496","394","39","8.1%","10.7%",".151",".314",".293",".361",".444",".352","","110","1.3","46.3","-56.6","11.4","1241","112131"
"Luke Scott","- - -","889","3193","135","370","436","17","10.5%","20.7%",".223",".290",".258",".340",".481",".352","","115","-2.4","57.2","-51.5","11.4","3469","432928"
"Mitch Haniger","- - -","625","2666","118","371","351","19","8.7%","24.3%",".210",".301",".256",".329",".466",".339","","118","-4.4","52.7","-30.7","11.4","14274","571745"
"Cristian Guzman","- - -","1275","5329","61","680","441","116","4.6%","13.0%",".117",".308",".275",".311",".392",".306","","81","14.7","-111.5","48.8","11.4","728","150217"
"Andres Torres","- - -","650","2157","32","277","174","77","9.5%","22.1%",".140",".305",".242",".317",".382",".309","","94","15.3","0.8","41.7","11.3","1488","400083"
"Julio Rodriguez","SEA","287","1274","60","186","178","62","6.8%","25.1%",".216",".336",".279",".338",".495",".356","","135","11.3","62.5","5.5","11.3","23697","677594"
"Eric Hinske","- - -","1387","4310","137","549","522","61","10.5%","22.0%",".181",".295",".249",".332",".430",".331","","99","11.8","7.9","-39.3","11.2","1305","400134"
"Eric Byrnes","- - -","963","3531","109","482","396","129","7.1%","15.2%",".181",".279",".258",".320",".439",".328","","94","26.2","-0.8","-1.9","11.2","905","291565"
"Charles Johnson","- - -","575","2085","88","241","315","5","10.9%","23.3%",".210",".294",".253",".337",".463",".343","","101","-5.6","-1.5","47.8","11.2","523","116569"
"Adolis Garcia","- - -","477","1935","97","276","299","50","7.1%","29.1%",".224",".297",".244",".302",".468",".328","","108","8.1","26.7","18.5","11.1","19287","666969"
"Nyjer Morgan","- - -","598","2206","12","288","136","120","6.6%","16.0%",".084",".336",".282",".343",".366",".317","","93","13.5","-4.7","45.7","11.1","4885","460579"
"Freddy Galvis","- - -","1102","4238","109","436","426","57","5.7%","20.1%",".141",".287",".246",".292",".387",".292","","80","4.4","-98.3","69.1","11.1","6609","520471"
"Mike Yastrzemski","SFG","554","2107","88","305","261","15","10.4%","25.3%",".221",".288",".241",".327",".462",".336","","114","9.1","46.9","-7.2","11.1","14854","573262"
"Marwin Gonzalez","- - -","1139","3882","107","420","415","44","6.7%","20.9%",".147",".298",".252",".310",".399",".308","","94","-13.8","-39.1","16.2","11.0","5497","503556"
"Nico Hoerner","CHC","397","1583","22","203","169","71","6.9%","12.6%",".105",".310",".279",".339",".384",".317","","100","12.3","11.7","42.3","11.0","21479","663538"
"Jake Cronenworth","SDP","491","2041","52","262","227","16","9.3%","17.1%",".168",".281",".249",".331",".418",".324","","109","11.1","34.5","4.5","11.0","18036","630105"
"Damian Miller","- - -","821","2984","71","304","332","4","9.1%","21.4%",".146",".315",".259",".331",".406",".320","","88","-15.6","-61.9","75.5","11.0","65","119064"
"Dee Strange-Gordon","- - -","1025","4162","18","538","236","336","4.0%","14.8%",".074",".334",".286",".319",".360",".297","","88","46.1","-14.6","-16.1","10.9","8203","543829"
"Khris Davis","- - -","980","3804","221","506","590","18","8.6%","26.7%",".249",".274",".242",".314",".491",".342","","117","-15.9","59.0","-80.7","10.9","9112","501981"
"Bernie Williams","NYY","980","4128","136","612","576","41","11.5%","12.9%",".177",".305",".288",".372",".466",".361","","120","-8.8","96.4","-124.9","10.9","857","124288"
"Jordy Mercer","- - -","950","3416","66","330","308","13","7.2%","17.2%",".129",".296",".256",".315",".386",".300","","88","0.8","-49.9","46.4","10.9","6547","474568"
"Corey Patterson","- - -","1230","4499","118","571","431","218","4.6%","20.7%",".148",".296",".252",".290",".400",".298","","77","42.4","-88.9","50.3","10.9","300","279913"
"Kevin Pillar","- - -","1114","4052","106","489","423","96","3.9%","17.0%",".151",".287",".257",".294",".409",".300","","86","25.8","-42.0","13.5","10.8","12434","607680"
"Randy Arozarena","- - -","487","2002","71","280","254","80","9.5%","25.4%",".186",".331",".265",".351",".451",".347","","128","-0.3","66.1","-25.2","10.8","19290","668227"
"Jacque Jones","- - -","1207","4646","156","578","586","79","6.4%","19.1%",".172",".314",".276",".326",".448",".332","","97","-10.1","-27.4","-21.4","10.8","735","150218"
"Mark Reynolds","- - -","1688","6243","298","794","871","64","11.3%","30.9%",".216",".303",".236",".328",".453",".338","","103","-11.3","13.9","-108.0","10.8","7619","448602"
"Enrique Hernandez","- - -","1057","3503","108","441","393","17","8.9%","19.8%",".170",".271",".239",".311",".409",".310","","94","6.9","-20.5","10.5","10.8","10472","571771"
"Maicer Izturis","- - -","909","3350","39","406","334","93","8.0%","10.6%",".103",".292",".269",".331",".372",".312","","91","9.5","-27.1","20.3","10.7","2437","430895"
"Ramon Laureano","- - -","512","2044","71","271","219","57","7.4%","26.8%",".184",".309",".245",".320",".429",".323","","109","11.7","35.1","1.2","10.6","17128","657656"
"Jermaine Dye","- - -","1372","5722","274","806","871","39","8.8%","17.9%",".223",".293",".275",".344",".498",".359","","114","-23.1","82.8","-169.9","10.6","911","113679"
"Carlos Quentin","- - -","834","3247","154","416","491","16","9.2%","15.9%",".232",".255",".252",".347",".484",".361","","121","-4.7","77.7","-82.2","10.6","6274","435041"
"Luis Arraez","- - -","536","2186","24","287","201","11","7.9%","7.5%",".101",".343",".326",".379",".427",".350","","124","-0.9","61.3","-31.5","10.6","18568","650333"
"Bengie Molina","- - -","1329","5049","143","449","701","3","4.0%","9.2%",".139",".276",".274",".307",".413",".310","","85","-63.3","-157.3","95.4","10.5","24","134260"
"Adley Rutschman","BAL","267","1157","33","154","122","5","13.6%","16.2%",".171",".298",".268",".369",".439",".353","","130","2.0","42.9","21.3","10.5","26288","668939"
"Ellis Burks","- - -","450","1808","91","282","290","15","10.6%","16.4%",".238",".314",".299",".376",".536",".388","","137","1.4","88.1","-41.6","10.4","372","111736"
"Lyle Overbay","- - -","1587","5801","151","645","675","19","11.0%","19.1%",".163",".310",".266",".347",".429",".338","","105","-23.6","15.0","-103.5","10.4","1617","407489"
"Sean Casey","- - -","1152","4612","98","542","583","17","8.1%","9.6%",".137",".316",".300",".362",".437",".347","","106","-19.1","16.5","-63.8","10.4","314","112087"
"Mark DeRosa","- - -","1229","4083","100","536","494","23","8.8%","17.2%",".144",".306",".269",".340",".412",".331","","97","-9.7","-26.2","-3.6","10.3","1392","136660"
"Jeromy Burnitz","- - -","1016","4012","192","536","575","32","10.2%","20.6%",".219",".266",".246",".330",".464",".339","","101","2.0","5.5","-33.1","10.3","867","111742"
"Dave Roberts","- - -","791","2936","21","411","201","232","10.1%","11.8%",".101",".301",".268",".346",".369",".319","","94","32.1","10.3","-3.4","10.2","670","150353"
"Doug Mientkiewicz","- - -","961","3436","64","387","371","12","11.4%","12.2%",".138",".301",".277",".364",".414",".342","","106","-13.1","11.8","-24.7","10.2","741","137006"
"Nate McLouth","- - -","1045","3737","101","521","333","133","9.8%","17.1%",".163",".277",".247",".332",".410",".326","","99","40.4","35.2","-53.3","10.2","3190","434661"
"Jeff Cirillo","- - -","828","2918","46","356","355","31","8.0%","11.0%",".120",".305",".284",".346",".404",".329","","88","0.5","-44.1","50.4","10.2","1073","112297"
"Robin Ventura","- - -","664","2290","91","260","321","8","14.5%","17.9%",".185",".258",".240",".351",".425",".337","","104","-5.6","4.9","21.5","10.1","854","123697"
"Michael A. Taylor","- - -","969","3176","95","359","332","108","6.8%","29.9%",".150",".319",".239",".294",".389",".295","","82","13.9","-55.8","53.6","10.1","11489","572191"
"Vladimir Guerrero Jr.","TOR","660","2843","130","377","404","18","9.7%","16.0%",".211",".294",".279",".355",".490",".360","","130","-22.7","80.7","-75.8","10.1","19611","665489"
"Zack Cozart","- - -","839","3388","87","408","305","21","6.5%","16.2%",".151",".273",".247",".300",".399",".303","","86","4.3","-49.7","39.0","10.0","2616","446359"
"Ke'Bryan Hayes","PIT","380","1576","33","186","151","40","7.4%","21.1%",".145",".321",".264",".320",".409",".316","","98","0.7","-3.1","47.5","9.9","18577","663647"
"Hunter Renfroe","- - -","841","3231","177","405","454","14","7.6%","25.4%",".239",".267",".239",".300",".478",".328","","106","-6.4","16.6","-25.1","9.9","15464","592669"
"Eric Hosmer","- - -","1689","6977","198","812","893","76","8.1%","17.7%",".151",".314",".276",".335",".427",".329","","107","-21.2","32.8","-167.5","9.9","3516","543333"
"Scooter Gennett","- - -","793","2911","87","365","360","24","5.4%","19.6%",".163",".333",".286",".327",".449",".333","","105","-2.0","15.7","-12.8","9.9","10339","571697"
"Nori Aoki","- - -","759","3044","33","377","219","98","7.7%","8.5%",".102",".304",".285",".350",".387",".327","","105","-6.0","12.8","-15.4","9.9","13075","493114"
"Avisail Garcia","- - -","1086","4247","138","492","522","51","6.1%","24.1%",".154",".322",".263",".317",".417",".316","","99","-12.0","-16.3","-29.9","9.8","5760","541645"
"Tony Graffanino","- - -","711","2429","43","350","239","43","8.7%","13.9%",".125",".304",".272",".342",".397",".326","","93","9.5","-12.9","29.6","9.8","235","115017"
"Brett Lawrie","- - -","588","2417","71","266","253","41","6.3%","20.1%",".158",".303",".261",".315",".419",".320","","100","10.1","11.2","0.6","9.7","5247","543434"
"Felipe Lopez","- - -","1185","4864","90","600","439","124","9.1%","18.8%",".127",".314",".264",".333",".391",".320","","91","7.9","-46.8","-13.4","9.7","1311","150479"
"Yuli Gurriel","- - -","909","3634","98","432","462","27","5.9%","11.4%",".159",".292",".281",".326",".440",".327","","108","-8.2","29.0","-55.0","9.7","19198","493329"
"Yorvit Torrealba","- - -","907","3183","56","306","339","19","7.0%","17.1%",".123",".297",".256",".315",".379",".305","","79","-16.1","-96.6","89.7","9.7","1135","150275"
"Jon Jay","- - -","1201","4314","37","532","341","55","6.6%","16.6%",".090",".338",".283",".348",".373",".319","","100","2.8","2.4","-46.9","9.7","5227","445055"
"Adam Lind","- - -","1344","5029","200","588","723","7","7.8%","18.8%",".193",".302",".272",".330",".465",".341","","111","-20.4","44.2","-120.7","9.6","8027","452252"
"Derek Norris","- - -","610","2195","63","242","247","26","8.9%","24.6%",".150",".284",".230",".304",".380",".300","","91","0.6","-25.5","45.0","9.6","6867","519083"
"Adam Everett","- - -","880","3070","40","334","283","67","5.7%","14.8%",".103",".275",".242",".294",".346",".282","","65","22.5","-113.5","108.5","9.6","1430","276361"
"Manuel Margot","- - -","788","2848","52","315","283","91","6.9%","17.8%",".130",".297",".255",".309",".385",".300","","90","8.9","-26.1","29.2","9.6","14712","622534"
"Alex Gonzalez","- - -","1448","5559","140","575","624","27","5.0%","18.4%",".150",".277",".244",".289",".393",".294","","76","-8.4","-178.9","92.6","9.6","520","136460"
"Tyler O'Neill","STL","477","1636","78","239","217","40","8.3%","30.0%",".210",".314",".248",".318",".458",".333","","111","8.5","31.5","6.9","9.5","15711","641933"
"Kevin Kouzmanoff","- - -","685","2730","87","273","371","6","4.6%","18.3%",".166",".286",".257",".302",".424",".315","","95","-7.7","-24.7","29.4","9.5","5995","450260"
"Miguel Rojas","- - -","1080","3505","44","358","300","54","6.3%","12.4%",".096",".284",".257",".311",".354",".290","","82","-13.5","-89.1","70.4","9.5","7802","500743"
"Scott Podsednik","- - -","1079","4346","42","563","312","309","7.7%","14.5%",".099",".324",".281",".339",".379",".319","","89","37.0","-21.2","-31.0","9.4","1095","325392"
"David Murphy","- - -","1110","3847","104","440","472","54","8.2%","14.9%",".158",".299",".274",".333",".432",".333","","102","-3.7","6.7","-44.1","9.4","6035","461815"
"Jason LaRue","- - -","886","3000","93","295","338","10","7.5%","24.3%",".165",".283",".232",".316",".397",".310","","83","-13.0","-79.9","75.7","9.4","337","150178"
"Paul DeJong","- - -","729","2810","116","341","344","23","7.6%","26.7%",".188",".275",".229",".299",".417",".307","","92","-2.5","-27.3","27.4","9.4","18015","657557"
"Roberto Perez","- - -","516","1769","55","165","193","2","10.9%","29.8%",".151",".273",".207",".298",".358",".288","","77","-11.4","-60.7","91.2","9.3","2900","547379"
"Wander Franco","TBR","265","1143","30","164","130","40","8.0%","12.2%",".173",".299",".282",".340",".454",".341","","124","7.1","39.2","14.3","9.3","23667","677551"
"Gregor Blanco","- - -","1060","3349","26","394","235","122","10.8%","19.7%",".094",".319",".255",".338",".348",".307","","93","19.6","-11.7","-5.7","9.3","3123","453923"
"Jonathan Villar","- - -","1032","3934","101","482","343","239","8.7%","26.6%",".142",".332",".255",".322",".397",".312","","94","29.6","3.1","-39.7","9.3","10071","542340"
"Ryan Freel","- - -","594","2274","22","306","122","143","9.8%","15.4%",".101",".316",".268",".354",".369",".326","","92","14.7","-9.3","28.4","9.3","1207","150472"
"Daulton Varsho","- - -","441","1603","61","201","182","41","8.3%","23.7%",".188",".266",".229",".298",".416",".309","","96","11.1","2.3","33.3","9.2","19918","662139"
