"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Nick Solak","- - -","255","974","21","118","93","19","7.6%","20.2%",".120",".302",".252",".327",".372",".308","","91","3.1","-7.0","-17.3","1.0","19294","669256"
"Ryon Healy","- - -","405","1606","69","177","214","0","4.7%","22.2%",".190",".297",".261",".298",".450",".318","","101","-11.0","-8.5","-36.7","1.0","15447","592387"
"Brook Fordyce","- - -","406","1335","28","120","116","4","5.6%","15.2%",".124",".280",".252",".301",".376",".297","","77","-4.5","-42.9","7.9","1.0","138","114309"
"Ian Kennedy","- - -","500","399","1","21","18","0","8.3%","38.6%",".050",".244",".131",".213",".181",".188","","8","-0.2","-43.0","40.1","1.0","6986","453178"
"Willie Bloomquist","- - -","1055","3136","18","398","225","133","6.0%","15.8%",".073",".317",".269",".316",".342",".293","","78","13.4","-72.9","-21.5","1.0","1066","217100"
"Craig Tatum","- - -","100","299","1","21","22","2","8.4%","17.4%",".041",".272",".223",".291",".264",".255","","50","-1.9","-19.9","19.2","1.0","7468","461874"
"Shane Robinson","- - -","461","849","7","105","66","19","8.6%","14.1%",".071",".251",".221",".288",".292",".261","","61","5.2","-33.9","16.1","1.0","4249","453203"
"Max Scherzer","- - -","464","529","1","31","30","3","2.5%","30.4%",".019",".254",".168",".194",".188",".172","","-2","0.4","-67.9","60.2","1.0","3137","453286"
"Brett Carroll","- - -","180","324","5","48","28","2","6.5%","25.9%",".118",".264",".201",".280",".319",".266","","56","2.5","-15.4","14.7","1.0","8066","448276"
"Paulo Orlando","KCR","278","918","14","98","81","18","2.4%","22.1%",".121",".327",".263",".289",".384",".290","","78","2.2","-21.8","0.0","1.0","8628","449181"
"Ezequiel Duran","TEX","180","659","19","80","71","12","5.3%","26.4%",".155",".336",".262",".309",".417",".314","","98","-4.0","-5.1","-7.3","1.0","23733","677649"
"Dave Magadan","SDP","186","308","3","25","33","0","14.3%","14.0%",".088",".300",".262",".367",".350",".327","","98","0.0","-0.7","0.5","0.9","1007961","118132"
"Roger Bernadina","- - -","548","1480","28","159","121","59","8.2%","21.3%",".118",".288",".236",".307",".354",".295","","81","8.7","-24.2","-11.7","0.9","6421","465668"
"Mikie Mahtook","- - -","291","965","33","112","97","14","6.1%","26.4%",".170",".291",".235",".292",".405",".300","","86","1.4","-15.3","-8.5","0.9","13130","543484"
"Sam Hilliard","- - -","254","717","32","99","77","19","9.8%","33.8%",".209",".286",".215",".294",".424",".307","","78","6.6","-11.9","-2.6","0.9","17954","656541"
"Sergio Alcantara","- - -","192","502","12","58","47","4","8.8%","26.9%",".135",".266",".209",".281",".343",".273","","72","0.7","-16.7","8.8","0.9","16417","642727"
"Jerry Owens","CHW","129","430","1","49","18","36","7.0%","16.7%",".043",".319",".262",".319",".305",".286","","65","6.7","-12.0","6.7","0.9","6002","435539"
"Corky Miller","- - -","216","616","11","43","67","1","8.0%","20.0%",".113",".226",".193",".277",".306",".263","","54","-1.9","-38.1","26.9","0.9","342","280061"
"Andres Blanco","- - -","536","1321","18","137","109","5","6.0%","15.3%",".122",".293",".256",".310",".378",".302","","82","-5.6","-35.9","1.1","0.9","1907","433217"
"Zach Duke","- - -","576","375","2","17","23","0","3.2%","31.5%",".041",".275",".179",".208",".220",".194","","9","-0.2","-43.0","40.2","0.9","3840","435043"
"Skip Schumaker","- - -","1149","3582","28","416","284","26","7.8%","13.3%",".086",".317",".278",".337",".364",".312","","93","-8.5","-38.9","-61.2","0.9","3704","435401"
"Kennys Vargas","MIN","236","859","35","104","116","0","7.6%","29.2%",".185",".322",".252",".311",".437",".322","","100","-1.9","-1.5","-17.7","0.9","12101","573627"
"Brady Anderson","- - -","306","1220","28","143","100","32","13.9%","16.6%",".130",".254",".226",".345",".356",".315","","88","0.1","-17.6","-14.5","0.9","364","110229"
"Rusty Greer","TEX","218","951","16","127","111","6","10.2%","11.6%",".148",".314",".290",".362",".438",".350","","103","-0.4","4.1","-26.9","0.9","1252","115114"
"Frank Schwindel","- - -","145","566","22","67","79","2","6.2%","17.8%",".188",".295",".269",".314",".456",".329","","109","-3.4","3.6","-13.5","0.9","15351","643524"
"Oswaldo Cabrera","NYY","159","501","11","56","48","11","8.0%","23.2%",".119",".274",".223",".288",".343",".278","","78","1.9","-11.4","3.0","0.9","21707","665828"
"Robert Machado","- - -","188","526","8","47","42","0","6.7%","19.2%",".112",".277",".232",".286",".344",".273","","62","0.7","-25.0","16.6","0.9","289","118079"
"Brayan Pena","- - -","638","1950","23","136","164","6","5.4%","11.0%",".092",".280",".259",".299",".351",".286","","75","-28.2","-85.5","30.5","0.9","3231","430910"
"Colin Moran","- - -","502","1692","50","167","239","1","8.4%","22.3%",".152",".315",".263",".327",".415",".319","","98","-17.9","-22.9","-24.8","0.9","16909","592567"
