player,med,avg,law,plive,ftrax,espn,fg,ba,mlb,bp
Bayron Lora,195.0,195.0,,287,103,,,,,
Braxton Garrett,196.5,196.5,,176,217,,,,,
Brent Honeywell,197.5,197.5,,231,164,,,,,
Estevan Florial,199.5,199.5,,206,193,,,,,
Kyle Muller,220.0,200.7,,320,220,,,,,62
Seth Johnson,201.5,201.5,,281,,,122,,,
Jared Kelley,206.5,206.5,,270,143,,,,,
Jairo Pomares,207.0,207.0,,222,192,,,,,
Daniel Cabrera,208.5,208.5,,254,163,,,,,
Adam Kloffenstein,212.0,212.0,,230,194,,,,,
Oswald Peraza,233.0,212.7,,338,233,,67,,,
Carson Tucker,213.0,213.0,,148,278,,,,,
Tanner Houck,214.5,214.5,,172,257,,,,,
Seth Corry,274.0,217.0,71,306,274,,,,,
Arol Vera,220.0,220.0,,241,199,,,,,
Luis Gil,220.5,220.5,,244,197,,,,,
Hunter Brown,224.5,224.5,,329,,,120,,,
Keoni Cavaco,225.0,225.0,,279,171,,,,,
Ryan Rolison,292.0,225.7,82,303,292,,,,,
Cole Wilcox,226.5,226.5,,266,187,,,,,
Alex De Jesus,228.5,228.5,,280,177,,,,,
Luis Frias,229.5,229.5,,273,186,,,,,
Jhon Torres,230.0,230.0,,275,185,,,,,
Nick Yorke,234.0,234.0,,177,291,,,,,
Blake Walston,235.5,235.5,,341,130,,,,,
Gabriel Moreno,299.0,237.0,,319,299,,93,,,
Brennan Malone,237.5,237.5,,325,150,,,,,
Miguel Hiraldo,237.5,237.5,,314,161,,,,,
Bryce Ball,241.5,241.5,,283,200,,,,,
Jake Fraley,242.5,242.5,,304,181,,,,,
Zach DeLoach,243.0,243.0,,313,173,,,,,
Ismael Mena,246.5,246.5,,321,172,,,,,
Miguel Yajure,249.0,249.0,,382,,,116,,,
Gage Workman,252.5,252.5,,307,198,,,,,
Jared Jones,258.5,258.5,,326,191,,,,,
Gabriel Rodriguez,258.5,258.5,,322,195,,,,,
Matt Wallner,271.5,271.5,,364,179,,,,,
JT Ginn,273.0,273.0,,368,178,,,,,
Aaron Ashby,291.5,291.5,,456,,,127,,,
Blake Hunt,294.5,294.5,,463,,,126,,,
Yoelqui Cespedes,301.5,301.5,,434,169,,,,,
