"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Junior Lake","- - -","223","703","17","65","48","16","5.0%","31.0%",".141",".324",".235",".278",".376",".288","81","88.0","1.4","-14.2","-8.1","-0.1","4672"
"Conor Jackson","- - -","174","631","7","57","59","9","10.0%","12.7%",".095",".268",".241",".320",".336",".295","82","","-1.2","-14.9","-6.3","-0.1","5997"
"Carlos Guillen","Tigers","96","377","9","34","47","2","6.9%","15.1%",".144",".288",".261",".310",".405",".313","91","","-4.8","-8.7","-5.1","-0.1","1079"
"Brennan Boesch","- - -","481","1713","48","192","195","22","6.4%","20.1%",".150",".289",".250",".303",".400",".307","89","86.9","4.2","-17.6","-40.7","-0.1","914"
"Chone Figgins","- - -","346","1285","4","112","62","61","10.0%","17.0%",".056",".276",".227",".306",".282",".271","71","","6.9","-36.3","-8.5","-0.1","1580"
"Logan Schafer","- - -","318","720","5","71","53","10","8.6%","18.9%",".104",".265",".214",".292",".318",".273","66","88.0","5.0","-22.9","0.2","-0.1","7937"
"Chad Tracy","- - -","234","401","8","24","40","0","7.0%","19.0%",".117",".276",".236",".294",".353",".286","74","","-1.7","-13.6","0.8","-0.1","1888"
"Francisco Mejia","- - -","128","362","12","39","33","1","5.5%","24.0%",".162",".267",".225",".282",".386",".284","75","87.5","-0.1","-11.6","-1.2","-0.1","16403"
"Daniel Robertson","- - -","148","386","1","43","36","6","7.0%","10.6%",".066",".294",".262",".314",".328",".285","76","85.3","-1.9","-13.0","-0.9","-0.1","6266"
"Nate Freiman","Athletics","116","301","9","22","39","0","6.3%","17.9%",".152",".287",".256",".309",".408",".315","101","","-4.5","-4.1","-6.7","-0.1","6582"
"Ryan Theriot","- - -","386","1507","3","163","104","37","6.2%","10.7%",".054",".303",".270",".319",".324",".289","79","","-6.8","-43.7","-3.2","-0.1","3811"
"Charlie Culberson","- - -","428","916","23","98","111","12","5.0%","26.4%",".143",".317",".247",".292",".390",".293","75","86.3","3.8","-23.1","-5.7","-0.1","3298"
"Brandon Hicks","- - -","126","340","11","43","30","1","11.8%","35.0%",".156",".206",".153",".258",".310",".256","63","","0.9","-13.7","1.8","-0.1","4003"
"Derek Fisher","- - -","168","458","17","62","52","10","10.9%","35.8%",".182",".272",".194",".286",".376",".286","78","91.3","0.3","-11.9","-5.1","-0.1","16192"
