"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","1252","5514","302","944","798","201","15.2%","21.3%",".278",".346",".304",".418",".582",".418","172","91.3","60.6","531.3","17.5","76.0","10155"
"Buster Posey","Giants","1251","5136","140","594","673","23","9.4%","12.3%",".155",".322",".302",".371",".458",".357","129","89.2","-28.9","142.9","203.4","53.0","9166"
"Joey Votto","Reds","1465","6373","242","879","781","67","17.0%","17.7%",".210",".345",".303",".425",".513",".401","152","88.7","-33.1","360.9","-93.8","48.7","4314"
"Robinson Cano","- - -","1500","6410","247","851","908","34","7.6%","13.3%",".197",".316",".301",".359",".497",".364","132","90.8","-21.2","216.3","26.2","47.6","3269"
"Andrew McCutchen","- - -","1509","6521","231","900","799","169","12.1%","18.4%",".194",".323",".285",".377",".479",".369","135","89.8","10.2","274.8","-36.1","46.3","9847"
"Miguel Cabrera","Tigers","1417","6026","278","827","976","15","11.8%","16.4%",".224",".341",".315",".397",".539",".395","151","92.4","-53.0","300.7","-93.3","43.6","1744"
"Adrian Beltre","- - -","1252","5253","227","696","801","10","7.0%","12.3%",".208",".313",".307",".358",".514",".371","130","89.0","-9.0","172.3","59.4","42.8","639"
"Josh Donaldson","- - -","1066","4578","225","666","656","38","12.6%","19.9%",".236",".298",".272",".369",".508",".375","139","92.1","2.1","213.7","41.1","42.3","5038"
"Yadier Molina","Cardinals","1356","5353","125","524","669","53","6.3%","11.2%",".135",".303",".287",".335",".422",".328","106","87.3","-46.8","-8.6","243.1","42.2","7007"
"Paul Goldschmidt","- - -","1311","5621","249","837","828","128","13.7%","22.6%",".229",".349",".293",".392",".522",".387","141","91.0","26.5","303.2","-82.7","41.4","9218"
"Mookie Betts","- - -","849","3875","155","660","509","136","10.2%","13.0%",".221",".312",".301",".373",".522",".378","136","90.3","46.2","213.9","50.3","40.2","13611"
"Giancarlo Stanton","- - -","1185","4991","312","698","796","42","11.7%","28.1%",".278",".321",".268",".359",".546",".381","142","93.4","-4.5","246.4","-22.1","39.7","4949"
"Evan Longoria","- - -","1463","6201","244","749","845","41","8.5%","19.5%",".198",".293",".264",".330",".462",".338","116","89.2","-1.2","112.1","55.8","39.1","9368"
"Freddie Freeman","Braves","1406","5965","240","849","858","45","11.6%","20.2%",".214",".341",".295",".383",".509",".379","139","90.2","-2.6","279.6","-94.9","38.0","5361"
"Jonathan Lucroy","- - -","1203","4568","108","481","545","30","8.0%","14.4%",".143",".300",".274",".335",".416",".327","102","87.0","-26.8","-17.8","222.3","37.0","7870"
"Bryce Harper","- - -","1142","4883","232","749","668","98","15.0%","21.6%",".237",".315",".276",".387",".513",".380","138","91.0","9.8","236.3","-32.1","36.7","11579"
"Russell Martin","- - -","1123","4322","142","501","497","41","12.1%","20.9%",".158",".269",".233",".339",".391",".324","103","89.2","-19.3","-4.2","209.1","36.4","4616"
"Ben Zobrist","- - -","1354","5707","125","743","620","92","12.3%","14.1%",".152",".295",".267",".359",".419",".341","116","88.5","9.9","117.5","38.5","36.1","7435"
"Manny Machado","- - -","1142","4989","223","647","645","64","7.8%","16.7%",".208",".298",".280",".337",".488",".350","120","91.1","-9.2","108.3","72.5","35.8","11493"
"Anthony Rendon","- - -","968","4159","145","600","577","45","10.7%","15.4%",".200",".314",".290",".372",".490",".368","129","90.5","13.9","166.0","49.6","35.4","12861"
"Jose Bautista","- - -","1223","5206","285","781","764","56","15.6%","18.4%",".255",".256",".251",".373",".506",".378","139","90.6","-4.4","230.8","-71.2","35.3","1887"
"Jose Altuve","Astros","1291","5668","133","766","556","256","6.7%","11.7%",".147",".334",".311",".361",".458",".352","125","87.0","5.8","176.3","-21.0","35.2","5417"
"Nelson Cruz","- - -","1438","6027","362","807","994","50","8.9%","22.6%",".258",".312",".282",".352",".540",".377","139","93.5","-31.9","246.9","-113.6","34.8","2434"
"Ian Kinsler","- - -","1373","6036","174","879","636","152","8.1%","12.5%",".161",".280",".266",".332",".427",".331","105","86.1","27.3","61.9","68.5","34.8","6195"
"Christian Yelich","- - -","978","4290","151","626","522","128","11.5%","21.2%",".192",".354",".296",".381",".488",".372","135","92.2","31.4","218.6","-20.4","34.3","11477"
"Yasmani Grandal","- - -","925","3486","149","401","443","11","14.0%","23.8%",".204",".281",".240",".348",".445",".343","118","90.0","-33.8","41.1","180.9","34.3","11368"
"Brett Gardner","Yankees","1398","5728","126","830","500","231","10.6%","18.8%",".146",".305",".259",".344",".404",".329","106","87.5","62.5","100.5","38.3","34.2","9927"
"Brian McCann","- - -","1144","4478","191","479","629","13","9.8%","16.8%",".182",".256",".245",".327",".427",".327","105","88.5","-34.7","-9.9","186.0","33.4","4810"
"Jason Heyward","- - -","1427","5761","150","731","601","112","10.5%","17.4%",".152",".298",".261",".345",".414",".332","108","88.0","32.7","83.0","50.5","32.9","4940"
"Dustin Pedroia","Red Sox","1031","4658","98","598","513","91","9.6%","10.9%",".136",".315",".296",".363",".432",".348","115","87.4","-7.9","73.3","82.8","32.8","8370"
"Kyle Seager","Mariners","1321","5534","207","632","706","52","8.6%","17.3%",".187",".277",".256",".326",".443",".331","112","89.4","-5.8","74.3","51.2","32.3","9785"
"Nolan Arenado","Rockies","1079","4558","235","649","760","16","7.9%","15.0%",".248",".299",".293",".349",".541",".372","118","89.5","-3.0","99.7","72.0","32.2","9777"
"Justin Upton","- - -","1450","6073","264","856","820","124","10.2%","25.5%",".209",".319",".263",".344",".472",".352","121","90.0","24.7","174.5","-63.7","31.9","5222"
"Ryan Braun","Brewers","1344","5477","249","784","837","167","8.4%","18.3%",".226",".321",".292",".357",".518",".372","132","91.1","5.5","214.9","-81.0","31.8","3410"
"Anthony Rizzo","- - -","1265","5416","229","689","753","60","11.2%","15.8%",".215",".286",".271",".372",".485",".367","131","89.0","-23.3","177.9","-57.3","30.3","3473"
"Matt Carpenter","Cardinals","1199","4976","152","734","555","25","13.3%","20.0%",".191",".312",".266",".371",".457",".358","127","89.6","6.8","167.1","-35.8","30.2","8090"
"Lorenzo Cain","- - -","1050","4316","78","569","409","175","7.6%","17.8%",".125",".339",".288",".348",".413",".332","106","89.3","28.6","59.4","78.0","29.0","9077"
"Francisco Lindor","Indians","777","3510","138","508","411","99","8.1%","14.1%",".202",".298",".285",".346",".488",".351","118","89.9","1.5","75.8","87.3","28.9","12916"
"Edwin Encarnacion","- - -","1404","5945","345","838","975","41","11.9%","17.4%",".254",".260",".260",".353",".514",".369","133","89.8","-18.1","208.6","-135.6","28.7","2151"
"Kris Bryant","Cubs","740","3252","142","506","414","34","11.7%","23.8%",".228",".339",".280",".380",".508",".378","136","87.9","23.7","170.8","2.6","28.3","15429"
"Troy Tulowitzki","- - -","859","3576","160","494","537","26","9.3%","16.1%",".213",".312",".293",".363",".506",".373","125","89.2","-15.7","85.8","64.2","27.8","3531"
"Jose Ramirez","Indians","828","3392","127","496","437","127","9.8%","11.9%",".214",".287",".281",".354",".494",".359","123","88.5","34.5","130.3","26.5","27.7","13510"
"Curtis Granderson","- - -","1383","5410","242","782","638","86","12.0%","24.0%",".220",".271",".236",".334",".455",".341","115","88.5","21.9","117.5","-32.1","27.4","4747"
"Justin Turner","- - -","1102","3980","124","502","492","35","8.7%","14.6%",".178",".319",".293",".369",".471",".362","131","89.9","-2.8","147.0","-5.2","27.4","5235"
"Alex Gordon","Royals","1419","5889","153","707","608","85","9.4%","21.0%",".150",".310",".259",".340",".409",".328","104","87.6","9.7","34.1","22.7","27.2","5209"
"George Springer","Astros","795","3567","174","567","458","48","11.1%","22.0%",".222",".306",".270",".361",".491",".365","134","89.3","5.4","153.6","-12.1","26.6","12856"
"Xander Bogaerts","Red Sox","970","4155","118","578","531","61","8.2%","18.2%",".165",".332",".289",".351",".454",".346","114","89.1","21.0","91.6","32.2","26.4","12161"
"Chase Headley","- - -","1181","4760","109","540","494","79","10.1%","22.2%",".136",".324",".262",".343",".399",".327","108","87.0","6.9","49.8","51.1","26.4","4720"
"Adam Jones","- - -","1499","6336","251","797","806","72","4.3%","18.2%",".182",".306",".278",".318",".460",".334","108","87.7","14.9","72.8","-34.6","26.4","6368"
"Shin-Soo Choo","- - -","1337","5882","181","777","602","127","12.3%","21.9%",".168",".329",".270",".374",".438",".356","121","90.3","11.7","158.3","-105.9","26.0","3174"
"Michael Brantley","- - -","1217","5186","114","645","629","119","7.9%","10.7%",".146",".314",".297",".354",".442",".344","117","89.1","19.6","125.5","-51.9","25.7","4106"
"Andrelton Simmons","- - -","1060","4280","67","456","406","67","6.2%","9.0%",".110",".283",".269",".317",".379",".303","91","87.0","-5.2","-51.7","159.9","25.5","10847"
"Starling Marte","- - -","1014","4236","114","591","447","249","4.9%","20.1%",".164",".341",".287",".341",".450",".342","116","87.5","31.3","111.2","0.8","25.4","9241"
"Elvis Andrus","Rangers","1507","6538","70","821","596","272","7.3%","13.5%",".098",".310",".274",".330",".372",".309","86","87.4","45.2","-61.2","78.7","24.7","8709"
"Matt Holliday","- - -","1049","4343","164","584","628","28","11.0%","17.4%",".198",".314",".283",".371",".480",".369","135","91.3","-14.7","160.6","-65.8","24.2","1873"
"Todd Frazier","- - -","1231","4909","218","601","636","73","8.9%","22.0%",".205",".270",".242",".319",".448",".331","108","88.8","2.2","47.6","26.7","24.1","785"
"Howie Kendrick","- - -","1264","5024","105","608","557","93","6.0%","17.3%",".138",".337",".291",".338",".429",".333","111","90.1","-7.7","58.3","7.8","24.1","4229"
"Joe Mauer","Twins","1159","4966","71","599","526","18","11.5%","14.9%",".118",".339",".294",".376",".412",".343","115","90.2","-10.3","78.1","-15.7","24.0","1857"
"Brian Dozier","- - -","1144","4900","192","664","561","105","10.0%","19.9%",".197",".271",".244",".325",".441",".331","106","87.7","18.5","56.0","10.6","23.7","9810"
"Jason Kipnis","- - -","1165","4984","126","607","545","136","9.4%","19.1%",".156",".303",".260",".333",".416",".326","103","88.2","28.6","44.2","12.1","23.4","9776"
"J.D. Martinez","- - -","1122","4661","238","622","738","25","8.8%","24.2%",".240",".341",".290",".354",".530",".372","134","91.5","-30.5","158.7","-87.1","23.1","6184"
"Jacoby Ellsbury","- - -","904","3946","84","537","387","214","7.6%","14.4%",".139",".311",".279",".339",".419",".331","106","86.5","38.1","65.8","18.7","22.8","4727"
"Marcell Ozuna","- - -","991","4128","166","505","594","26","8.0%","21.2%",".190",".319",".276",".335",".466",".343","117","91.4","3.7","90.5","3.5","22.8","10324"
"Chase Utley","- - -","1046","4050","98","501","440","71","9.0%","14.5%",".156",".279",".256",".338",".411",".327","105","87.7","34.0","58.7","32.8","22.8","1679"
"Carlos Gonzalez","- - -","1203","4918","217","737","730","102","8.3%","22.1%",".220",".334",".287",".347",".508",".364","114","89.4","18.1","94.8","-31.3","22.7","7287"
"Adrian Gonzalez","- - -","1231","5108","180","596","778","5","9.0%","16.7%",".182",".320",".291",".355",".473",".353","125","88.3","-38.5","110.3","-58.7","22.5","1908"
"David Ortiz","Red Sox","957","4036","224","530","700","7","13.0%","15.9%",".269",".300",".292",".383",".562",".396","148","93.0","-49.2","176.9","-98.8","22.4","745"
"Asdrubal Cabrera","- - -","1422","5864","173","693","690","69","7.6%","18.0%",".165",".298",".264",".325",".429",".326","105","88.8","-17.0","21.1","3.0","22.3","4962"
"Brandon Crawford","Giants","1305","4911","106","509","564","32","8.4%","20.0%",".143",".295",".250",".317",".392",".305","93","88.4","-0.4","-41.9","100.7","22.2","5343"
"Miguel Montero","- - -","897","3405","95","343","433","4","10.8%","21.0%",".149",".300",".253",".342",".401",".325","100","86.9","-30.5","-31.6","135.7","22.1","3364"
"Neil Walker","- - -","1289","5112","149","606","609","31","8.9%","18.0%",".160",".303",".268",".339",".428",".333","111","87.8","4.1","70.7","-19.9","22.0","7539"
"Brandon Belt","Giants","1135","4400","138","538","502","43","12.1%","23.2%",".190",".323",".263",".356",".453",".349","123","88.2","1.2","123.5","-49.6","22.0","10264"
"Charlie Blackmon","Rockies","1119","4754","178","744","553","131","6.7%","16.8%",".201",".337",".304",".360",".505",".368","115","87.6","10.5","103.2","-39.8","21.8","7859"
"Daniel Murphy","- - -","1248","5048","124","626","655","64","6.1%","12.1%",".158",".320",".299",".343",".457",".342","114","88.9","4.5","88.3","-37.7","21.7","4316"
"Jose Reyes","- - -","1086","4589","82","629","394","216","7.2%","11.1%",".140",".302",".281",".332",".420",".326","105","84.7","30.9","55.7","5.2","21.6","1736"
"Alex Bregman","Astros","559","2418","105","365","342","34","12.8%","14.2%",".239",".293",".283",".381",".521",".381","145","88.7","1.8","135.4","-3.4","21.5","17678"
"Hunter Pence","- - -","1283","5233","177","680","718","84","7.6%","19.2%",".175",".314",".276",".332",".451",".339","115","89.8","20.8","107.5","-67.0","21.4","8252"
"Yoenis Cespedes","- - -","834","3490","165","475","528","43","6.9%","21.3%",".224",".305",".273",".327",".497",".350","124","91.5","10.3","108.4","-18.3","21.3","13110"
"Brandon Phillips","- - -","1166","4988","117","632","568","100","5.0%","12.7%",".133",".303",".281",".324",".415",".321","98","85.7","-2.3","-11.6","60.4","21.3","791"
"Carlos Santana","- - -","1495","6402","240","799","796","46","15.5%","16.5%",".197",".266",".248",".366",".446",".352","121","89.8","-13.3","147.9","-157.0","21.2","2396"
"Carlos Gomez","- - -","1113","4125","133","531","447","209","6.4%","24.7%",".176",".313",".253",".318",".429",".326","102","87.9","26.0","34.0","31.5","20.9","4881"
"David Wright","Mets","738","3206","102","397","409","77","10.9%","20.4%",".178",".332",".282",".362",".460",".356","128","90.0","1.7","106.4","-8.0","20.7","3787"
"Denard Span","- - -","1121","4869","57","606","375","144","8.1%","11.6%",".117",".305",".276",".338",".393",".322","102","86.3","20.7","29.0","9.7","20.7","8347"
"Ryan Zimmerman","Nationals","1087","4503","179","586","651","25","8.9%","19.1%",".197",".307",".276",".341",".473",".349","117","92.0","0.4","93.8","-35.0","20.7","4220"
"Dexter Fowler","- - -","1305","5336","123","738","482","121","12.6%","22.5%",".162",".324",".259",".359",".421",".342","109","86.9","24.5","81.1","-50.2","20.6","4062"
"Jose Abreu","White Sox","961","4168","198","526","671","10","6.3%","20.0%",".226",".328",".294",".350",".520",".366","134","91.0","-19.4","147.1","-90.4","20.6","15676"
"Tyler Flowers","- - -","792","2756","86","264","301","2","8.1%","30.6%",".155",".323",".237",".319",".392",".313","93","90.7","-15.1","-36.4","147.1","20.5","9134"
"Corey Seager","Dodgers","541","2301","88","340","307","11","9.0%","18.9%",".205",".336",".295",".362",".500",".365","130","90.4","8.1","95.5","30.1","20.1","13624"
"Josh Hamilton","- - -","692","2944","139","416","470","30","7.8%","22.7%",".230",".333",".289",".346",".519",".368","131","88.2","12.0","117.6","-24.3","20.1","1875"
"Carlos Correa","Astros","604","2583","107","334","397","33","10.5%","21.1%",".204",".316",".276",".353",".480",".354","127","89.8","7.5","91.6","11.7","19.4","14162"
"Josh Reddick","- - -","1224","4659","142","577","550","61","8.3%","15.9%",".166",".288",".264",".323",".430",".324","106","87.1","19.5","51.4","-23.6","19.2","3892"
"Jayson Werth","- - -","964","4079","136","556","478","68","11.9%","21.3%",".180",".318",".269",".360",".449",".354","121","90.2","23.6","123.4","-68.9","19.1","1327"
"A.J. Pollock","- - -","778","3059","105","446","345","110","7.2%","17.2%",".195",".309",".279",".335",".474",".346","114","89.0","15.6","67.2","18.8","19.1","9256"
"David Freese","- - -","1167","4195","112","478","528","8","8.8%","23.1%",".146",".344",".277",".351",".423",".339","115","89.9","-32.4","42.9","8.8","19.0","9549"
"DJ LeMahieu","- - -","1150","4670","85","651","478","83","7.3%","14.7%",".125",".345",".305",".357",".430",".340","100","90.9","-7.1","-0.1","41.8","19.0","9874"
"Didi Gregorius","- - -","911","3619","120","451","457","33","6.0%","14.1%",".168",".279",".265",".315",".433",".320","99","85.8","19.8","16.1","50.9","18.9","6012"
"J.T. Realmuto","- - -","732","2940","95","380","358","44","6.1%","19.0%",".177",".316",".278",".328",".455",".333","109","89.0","15.6","50.0","47.3","18.9","11739"
"Adam Eaton","- - -","831","3622","60","528","289","84","8.9%","16.8%",".133",".332",".282",".360",".416",".340","112","88.4","21.0","74.3","-9.5","18.9","11205"
"Jed Lowrie","- - -","1005","4118","100","482","452","6","9.7%","16.0%",".153",".295",".264",".337",".417",".329","108","88.4","-4.4","35.8","9.4","18.8","4418"
"Kevin Kiermaier","Rays","729","2740","71","328","257","97","6.9%","21.0%",".166",".294",".248",".307",".413",".310","97","87.6","25.5","14.4","77.3","18.8","11038"
"Aaron Judge","Yankees","424","1832","119","313","268","18","15.6%","31.4%",".286",".352",".272",".390",".558",".396","151","94.9","1.5","117.6","9.0","18.8","15640"
"Jean Segura","- - -","1099","4657","83","591","401","183","5.1%","13.8%",".122",".317",".285",".327",".407",".318","97","87.9","21.1","5.4","32.1","18.8","5933"
"Austin Jackson","- - -","1115","4653","65","621","381","114","8.0%","24.1%",".124",".355",".273",".333",".396",".321","100","88.6","17.1","19.8","3.0","18.6","9848"
"Marcus Semien","- - -","858","3620","115","467","380","66","9.0%","20.2%",".171",".294",".254",".322",".425",".322","104","87.5","9.9","31.1","31.3","18.6","12533"
"Starlin Castro","- - -","1486","6233","135","673","640","89","5.0%","16.8%",".134",".319",".280",".319",".414",".316","97","87.9","-21.1","-45.5","25.2","18.2","4579"
"Yasiel Puig","- - -","861","3376","132","441","415","79","8.8%","20.2%",".198",".316",".277",".348",".475",".352","124","89.5","-8.1","85.7","-21.3","18.0","14225"
"Jhonny Peralta","- - -","966","3863","106","401","460","9","8.0%","17.9%",".153",".304",".268",".327",".421",".327","105","87.8","-28.4","-8.7","50.3","17.9","1738"
"Trevor Story","Rockies","603","2541","134","375","375","80","8.4%","28.6%",".258",".347",".277",".343",".535",".368","114","90.5","14.5","58.7","37.9","17.9","12564"
"Francisco Cervelli","- - -","685","2512","40","268","264","17","10.7%","19.5%",".116",".327",".268",".361",".383",".331","107","87.8","-7.4","12.1","77.1","17.8","5275"
"Martin Prado","- - -","1200","4993","86","556","516","36","6.4%","11.5%",".121",".306",".284",".331",".405",".321","101","88.0","-14.7","-10.7","25.0","17.7","3312"
"Jay Bruce","- - -","1431","5764","275","726","838","58","9.1%","23.8%",".225",".279",".245",".315",".470",".333","108","89.1","0.0","54.1","-62.8","17.7","9892"
"Ian Desmond","- - -","1457","5855","177","715","699","180","6.5%","23.7%",".163",".321",".263",".315",".425",".321","95","90.2","19.4","-17.7","-1.1","17.5","6885"
"Matt Kemp","- - -","1286","5182","226","683","789","99","7.6%","23.7%",".207",".329",".279",".334",".485",".349","122","88.7","-10.7","118.2","-114.9","17.5","5631"
"Hanley Ramirez","- - -","1050","4374","168","579","604","117","9.1%","18.0%",".186",".301",".272",".344",".458",".346","117","89.9","-6.3","78.2","-52.8","17.5","8001"
"Kole Calhoun","- - -","1020","4208","156","565","491","30","9.4%","21.7%",".181",".285",".248",".323",".429",".325","106","88.8","5.0","36.3","-8.8","17.4","11200"
"Trea Turner","Nationals","541","2383","75","378","257","171","7.6%","18.1%",".184",".339",".296",".353",".480",".355","118","89.7","30.6","85.4","10.2","17.1","16252"
"Albert Pujols","- - -","1463","6312","296","772","988","53","8.2%","11.6%",".206",".259",".267",".329",".473",".339","117","89.9","-49.9","73.7","-121.5","17.0","1177"
"Mike Moustakas","- - -","1175","4700","190","501","588","19","7.1%","16.0%",".191",".262",".251",".310",".442",".322","100","89.1","-21.3","-19.3","25.8","16.7","4892"
"Matt Chapman","Athletics","422","1764","84","263","224","2","9.7%","24.9%",".248",".300",".255",".336",".503",".354","126","92.5","5.6","62.1","44.5","16.7","16505"
"Cody Bellinger","Dodgers","506","2083","123","325","318","45","12.4%","21.5%",".274",".297",".273",".364",".547",".375","137","90.4","8.0","108.6","-8.3","16.7","15998"
"J.J. Hardy","- - -","990","4011","113","439","423","3","5.5%","15.8%",".144",".276",".253",".295",".398",".301","86","88.3","-14.6","-81.0","103.4","16.6","3797"
"Jimmy Rollins","- - -","869","3728","85","476","315","144","9.2%","13.4%",".136",".266",".246",".316",".382",".308","93","85.5","23.3","-8.7","50.1","16.5","971"
"Eugenio Suarez","- - -","856","3433","162","435","468","28","9.8%","25.1%",".212",".310",".261",".342",".473",".347","114","88.4","-12.9","48.7","3.0","16.5","12552"
"Matt Wieters","- - -","1071","4043","137","405","507","9","8.4%","18.8%",".163",".272",".246",".310",".409",".312","92","87.1","-24.2","-66.8","86.0","16.3","4298"
"Shane Victorino","- - -","656","2769","64","366","265","122","7.5%","12.6%",".156",".289",".267",".334",".423",".332","106","83.5","29.5","49.9","18.2","16.3","1677"
"Michael Bourn","- - -","944","3987","27","493","291","220","8.3%","21.3%",".093",".341",".267",".330",".360",".307","90","85.4","42.0","-3.2","32.1","16.1","6387"
"Michael Conforto","Mets","632","2501","118","348","341","17","12.1%","24.2%",".225",".305",".259",".358",".484",".358","128","89.3","5.9","93.5","-12.5","16.0","16376"
"Colby Rasmus","- - -","945","3599","150","464","439","32","9.1%","28.1%",".201",".298",".239",".310",".440",".325","104","89.0","20.3","36.8","-4.6","15.7","9893"
"Wilson Ramos","- - -","946","3623","128","347","514","1","6.5%","16.6%",".160",".298",".274",".321",".434",".324","103","90.0","-44.1","-29.7","66.8","15.6","1433"
"Matt Joyce","- - -","1254","3972","132","488","456","34","12.9%","21.3%",".179",".283",".244",".344",".423",".335","113","87.6","8.9","71.8","-53.2","15.4","3353"
"Tommy Pham","- - -","577","2237","82","341","251","75","12.2%","23.3%",".189",".334",".273",".369",".463",".358","126","91.4","13.6","87.6","-8.5","15.4","2967"
"Kolten Wong","Cardinals","852","3044","53","351","281","88","7.7%","15.2%",".123",".295",".261",".333",".384",".312","96","86.9","23.8","9.9","42.4","15.3","12532"
"Jackie Bradley Jr.","Red Sox","873","3281","98","435","376","60","9.3%","25.2%",".173",".298",".239",".321",".412",".316","93","90.0","18.4","-6.2","44.6","15.0","12984"
"Alexei Ramirez","- - -","1087","4390","79","465","445","116","4.5%","11.9%",".116",".288",".267",".302",".383",".300","85","84.6","5.7","-71.8","67.3","14.9","5133"
"Jason Castro","- - -","852","3114","88","340","301","5","10.1%","28.1%",".159",".302",".230",".312",".390",".308","93","89.1","-7.0","-32.3","73.0","14.9","8722"
"Andre Ethier","Dodgers","875","3196","87","359","385","12","9.6%","18.4%",".164",".325",".281",".356",".445",".347","122","86.2","-2.6","80.6","-37.7","14.9","6265"
"Torii Hunter","- - -","873","3684","118","465","512","32","6.7%","18.2%",".164",".318",".281",".334",".445",".340","116","88.4","-9.9","56.6","-38.7","14.8","731"
"Prince Fielder","- - -","936","4049","159","480","575","4","12.4%","15.3%",".193",".301",".282",".383",".475",".368","131","90.2","-36.6","107.1","-97.5","14.8","4613"
"Yunel Escobar","- - -","1063","4411","61","475","355","22","8.3%","11.7%",".097",".303",".276",".341",".373",".317","99","89.4","-25.9","-32.5","27.7","14.7","4191"
"Angel Pagan","- - -","857","3636","49","469","330","150","7.1%","13.9%",".120",".315",".280",".330",".400",".319","103","86.0","33.7","45.1","-16.5","14.7","2918"
"Nick Markakis","- - -","1528","6661","112","750","684","30","9.5%","12.5%",".121",".312",".284",".353",".404",".331","105","89.7","-20.5","16.1","-92.9","14.5","5930"
"Yan Gomes","- - -","779","2899","103","320","364","5","5.7%","24.7%",".175",".295",".246",".298",".422",".309","91","87.7","-6.6","-40.5","82.4","14.5","9627"
"Alex Avila","- - -","989","3455","99","338","374","8","14.4%","29.3%",".156",".320",".234",".347",".390",".327","103","90.7","-27.6","-13.8","35.0","14.2","7476"
"Mike Zunino","- - -","705","2460","108","244","283","2","6.7%","34.5%",".193",".264",".200",".270",".394",".288","83","89.3","-5.4","-55.7","108.5","13.9","13265"
"Javier Baez","Cubs","724","2708","118","371","378","63","4.7%","28.4%",".209",".333",".264",".304",".473",".325","101","89.7","12.4","17.0","32.7","13.9","12979"
"David Peralta","Diamondbacks","724","2880","90","348","364","30","7.2%","19.4%",".184",".338",".291",".346",".475",".350","116","90.1","4.9","58.9","-16.7","13.8","2136"
"Ender Inciarte","- - -","806","3325","40","435","253","117","7.0%","12.8%",".103",".315",".282",".335",".385",".314","92","84.2","19.2","-12.1","40.4","13.7","4922"
"Whit Merrifield","Royals","606","2669","58","355","271","119","6.2%","16.2%",".150",".336",".295",".342",".444",".336","109","87.2","17.0","45.0","-3.0","13.7","11281"
"Jarrod Dyson","- - -","890","2684","21","370","175","256","8.6%","16.6%",".089",".292",".246",".316",".334",".289","78","83.8","54.2","-17.7","58.7","13.6","4866"
"Cameron Maybin","- - -","1067","3930","67","507","337","176","8.7%","21.1%",".119",".315",".256",".324",".375",".308","94","87.8","28.3","2.1","3.0","13.5","5223"
"Carlos Beltran","- - -","1024","4154","162","497","552","26","8.5%","17.1%",".198",".295",".273",".335",".470",".345","118","89.4","-11.5","76.6","-80.6","13.5","589"
"Cesar Hernandez","- - -","890","3543","49","442","273","80","9.9%","19.1%",".106",".339",".277",".352",".383",".322","99","86.3","5.8","3.2","15.4","13.5","10556"
"Erick Aybar","- - -","1106","4445","49","497","355","129","5.2%","11.9%",".102",".295",".267",".310",".369",".298","89","84.7","12.4","-48.7","27.4","13.4","4082"
"Martin Maldonado","- - -","764","2508","69","236","244","3","7.5%","24.6%",".138",".269",".218",".293",".356",".284","75","86.6","-14.5","-89.2","135.9","13.2","6887"
"Jose Iglesias","- - -","841","3065","35","325","271","52","4.4%","12.1%",".103",".308",".278",".319",".381",".304","87","84.0","-2.0","-50.7","78.0","13.1","10231"
"Zack Cozart","- - -","839","3388","87","408","305","21","6.5%","16.2%",".151",".273",".247",".300",".399",".303","86","85.9","4.3","-48.8","68.7","13.0","2616"
"Joc Pederson","Dodgers","748","2517","130","345","303","17","12.1%","24.2%",".240",".257",".230",".336",".470",".344","118","91.4","0.1","55.8","-8.4","13.0","11899"
"Chris Young","- - -","993","3414","120","434","385","88","10.3%","21.7%",".188",".272",".236",".318",".423",".324","100","85.9","18.3","18.3","-2.4","13.0","3882"
"Melvin Upton Jr.","- - -","956","3678","115","434","360","177","9.3%","28.1%",".166",".297",".230",".303",".397",".306","94","88.3","24.7","-1.8","6.0","12.9","5015"
"Mark Teixeira","Yankees","802","3391","167","430","500","11","11.6%","18.7%",".222",".246",".239",".335",".461",".345","115","89.0","-9.6","50.9","-42.3","12.9","1281"
"Kevin Pillar","- - -","905","3486","82","419","344","88","4.1%","15.9%",".146",".292",".262",".299",".408",".303","88","86.5","24.3","-28.1","38.9","12.9","12434"
"Marlon Byrd","- - -","789","3154","99","360","375","15","5.3%","22.8%",".167",".326",".271",".319",".438",".329","106","86.5","-2.4","18.4","5.8","12.9","950"
"Aaron Hicks","- - -","708","2697","88","352","297","55","12.5%","20.8%",".167",".270",".235",".332",".402",".321","101","88.8","16.6","20.4","17.1","12.8","5297"
"Eduardo Escobar","- - -","982","3671","110","426","446","20","6.7%","19.4%",".174",".293",".257",".308",".430",".314","95","86.9","5.8","-18.0","20.7","12.8","6153"
"Aramis Ramirez","- - -","784","3161","122","366","471","14","6.6%","13.9%",".194",".290",".278",".335",".473",".349","117","87.4","-34.6","29.0","-5.0","12.7","1002"
"Alex Rodriguez","Yankees","618","2596","113","338","380","32","10.7%","21.1%",".199",".289",".258",".342",".457",".347","116","90.9","-2.8","46.2","-13.2","12.7","1274"
"Mike Napoli","- - -","1026","4036","201","511","563","22","12.2%","28.3%",".227",".299",".243",".343",".470",".352","118","88.9","-19.8","61.3","-78.1","12.6","3057"
"Pablo Sandoval","- - -","1117","4179","121","434","514","7","6.9%","15.2%",".157",".292",".269",".321",".426",".322","105","89.2","-31.3","-9.6","-2.1","12.6","5409"
